Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Гусь-Хрустальная городская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554					
1	"Число избирателей, внесенных в списки"	57824	1590	1670	1829	1671	1515	1332	1501	2136	2900	2525	1332	1043	1268	1272	2159	1390	1629	2802	1467	1770	2294	2446	2884	2103	1647	1947	2041	1943	2538	1640	1256	284					
2	"Число бюллетеней, полученных участковыми комиссиями"	55650	1500	1600	1800	1600	1500	1200	1400	2100	2800	2500	1200	1000	1200	1200	2100	1300	1600	2700	1400	1600	2300	2400	2800	2000	1600	1900	2000	1900	2400	1600	1200	250					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24153	640	640	828	666	646	448	560	809	1224	1119	515	336	445	520	980	537	646	1120	631	747	1161	773	1380	935	693	908	923	904	1123	654	540	102					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	611	7	26	23	10	28	39	11	11	15	22	23	21	10	11	38	15	29	31	10	22	6	17	32	14	15	17	19	12	10	17	37	13					
6	Число погашенных бюллетеней	30886	853	934	949	924	826	713	829	1280	1561	1359	662	643	745	669	1082	748	925	1549	759	831	1133	1610	1388	1051	892	975	1058	984	1267	929	623	135					
7	Число бюллетеней в переносных ящиках для голосования	611	7	26	23	10	28	39	11	11	15	22	23	21	10	11	38	15	29	31	10	22	6	17	32	14	15	17	19	12	10	17	37	13					
8	Число бюллетеней в стационарных ящиках для голосования	24147	640	640	828	666	646	448	560	809	1224	1119	515	336	445	520	979	533	646	1120	631	747	1161	773	1380	935	693	908	922	904	1123	654	540	102					
9	Число недействительных бюллетеней	402	6	11	11	10	9	4	4	11	20	22	6	4	4	14	16	11	6	11	9	6	8	10	73	17	14	8	18	9	15	14	17	4					
10	Число действительных бюллетеней	24356	641	655	840	666	665	483	567	809	1219	1119	532	353	451	517	1001	537	669	1140	632	763	1159	780	1339	932	694	917	923	907	1118	657	560	111					
