Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Ивдельская городская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821					
1	"Число избирателей, внесенных в списки избирателей"	16519	1332	641	1950	1548	350	357	2301	1554	1107	1950	199	148	101	207	448	76	246	387	458	1159					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16000	1290	615	1905	1485	340	365	2245	1545	900	1915	195	155	95	190	465	75	245	390	465	1120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	83	0	0	0	0	0	0	0	15	0	0	0	0	0	68	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9102	756	328	1228	799	197	216	1244	823	546	993	110	101	59	80	312	49	145	247	235	634					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	778	46	49	36	77	20	1	110	47	184	64	0	0	0	0	9	0	24	28	46	37					
6	Число погашенных избирательных бюллетеней	6037	488	238	641	609	123	148	891	660	170	858	85	54	36	42	144	26	76	115	184	449					
7	Число избирательных бюллетеней в переносных ящиках для голосования	861	46	49	36	77	20	1	110	62	184	64	0	0	0	68	9	0	24	28	46	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9100	756	328	1228	799	197	216	1243	822	546	993	110	101	59	80	312	49	145	247	235	634					
9	Число недействительных избирательных бюллетеней	98	4	4	12	20	0	1	10	11	8	4	1	1	0	2	1	2	2	0	1	14					
10	Число действительных избирательных бюллетеней	9863	798	373	1252	856	217	216	1343	873	722	1053	109	100	59	146	320	47	167	275	280	657					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	183	16	7	23	18	3	10	25	15	10	17	5	5	2	5	0	0	2	5	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	153	15	6	22	17	1	10	23	14	10	15	0	0	0	5	0	0	1	4	4	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	243	1	3	15	8	2	5	17	3	118	32	3	0	4	1	2	0	2	1	1	25					
14	Число погашенных неиспользованных открепительных удостоверений	30	1	1	1	1	2	0	2	1	0	2	5	5	2	0	0	0	1	1	1	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	2	1	3	1	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
