Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Ивдельская городская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1815	УИК №1816	УИК №1818	УИК №1819	УИК №1820	УИК №1821					
1	"Число избирателей, внесенных в список избирателей"	16698	1328	735	1925	1731	369	346	2292	1566	1187	2036	193	205	165	539	230	378	438	1035					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16500	1350	700	1900	1700	360	360	2300	1600	970	1960	200	220	180	550	250	400	450	1050					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	131	0	0	0	0	0	0	0	14	0	9	0	29	43	36	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7945	695	352	1126	845	189	176	1134	739	437	782	94	85	38	272	137	243	216	385					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	673	26	32	25	71	7	1	74	34	187	76	0	4	1	31	16	21	27	40					
6	Число погашенных избирательных бюллетеней	7751	629	316	749	784	164	183	1092	813	346	1093	106	102	98	211	97	136	207	625					
7	Число избирательных бюллетеней в переносных ящиках для голосования	804	26	32	25	71	7	1	74	48	187	85	0	33	44	67	16	21	27	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7943	695	352	1126	845	189	176	1134	739	437	782	94	85	36	272	137	243	216	385					
9	Число недействительных избирательных бюллетеней	275	29	15	47	23	1	6	26	25	33	30	1	5	0	6	9	2	4	13					
10	Число действительных избирательных бюллетеней	8472	692	369	1104	893	195	171	1182	762	591	837	93	113	80	333	144	262	239	412					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	182	13	3	31	19	2	3	20	8	4	18	4	2	7	5	12	23	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	179	13	3	31	19	2	3	20	8	4	17	4	1	7	5	12	23	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	252	11	4	14	7	4	2	5	12	151	9	5	0	5	6	6	2	6	3					
14	Число погашенных неиспользованных открепительных удостоверений	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	3	1	2	6	0	0	1	3	0	0	0	1	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2065	182	88	312	245	28	43	338	201	103	219	21	19	10	62	23	46	41	84					
		23.61%	25.24%	22.92%	27.11%	26.75%	14.29%	24.29%	27.98%	25.54%	16.51%	25.26%	22.34%	16.10%	12.50%	18.29%	15.03%	17.42%	16.87%	19.76%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1679	113	94	189	169	61	34	258	147	151	145	11	24	8	73	25	37	41	99					
		19.20%	15.67%	24.48%	16.42%	18.45%	31.12%	19.21%	21.36%	18.68%	24.20%	16.72%	11.70%	20.34%	10.00%	21.53%	16.34%	14.02%	16.87%	23.29%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	91	15	4	13	9	2	2	8	7	4	8	0	3	2	0	6	3	2	3					
		1.04%	2.08%	1.04%	1.13%	0.98%	1.02%	1.13%	0.66%	0.89%	0.64%	0.92%	0.00%	2.54%	2.50%	0.00%	3.92%	1.14%	0.82%	0.71%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1306	133	52	193	141	14	32	167	127	122	131	11	21	11	42	9	30	17	53					
		14.93%	18.45%	13.54%	16.77%	15.39%	7.14%	18.08%	13.82%	16.14%	19.55%	15.11%	11.70%	17.80%	13.75%	12.39%	5.88%	11.36%	6.99%	12.47%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	149	14	6	33	18	0	3	15	14	11	16	2	2	0	5	3	1	1	5					
		1.70%	1.94%	1.56%	2.87%	1.97%	0.00%	1.69%	1.24%	1.78%	1.76%	1.85%	2.13%	1.69%	0.00%	1.47%	1.96%	0.38%	0.41%	1.18%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3036	210	118	345	291	82	53	376	256	192	310	47	43	47	149	76	144	135	162					
		34.71%	29.13%	30.73%	29.97%	31.77%	41.84%	29.94%	31.13%	32.53%	30.77%	35.76%	50.00%	36.44%	58.75%	43.95%	49.67%	54.55%	55.56%	38.12%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	146	25	7	19	20	8	4	20	10	8	8	1	1	2	2	2	1	2	6					
		1.67%	3.47%	1.82%	1.65%	2.18%	4.08%	2.26%	1.66%	1.27%	1.28%	0.92%	1.06%	0.85%	2.50%	0.59%	1.31%	0.38%	0.82%	1.41%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
