Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Мясниковская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  1493	УИК  1758	УИК  1761	УИК  1762	УИК  1763	УИК  1764	УИК  1765	УИК  1766	УИК  1767	УИК  1768	УИК  1769	УИК  1770	УИК  1771	УИК  1772	УИК  1773	УИК  1774	УИК  1775	УИК  1776	УИК  1777	УИК  1778	УИК  1779	УИК  2566					
1	"Число избирателей, внесенных в списки"	28241	1531	1397	2289	2264	2272	1781	1284	1984	2538	1052	365	754	481	242	2421	1500	665	1218	230	960	778	235					
2	"Число бюллетеней, полученных участковыми комиссиями"	26777	1456	1341	2159	2175	2161	1575	1208	1880	2456	1013	362	711	457	230	2234	1454	644	1172	220	896	742	231					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16159	865	809	1373	1367	1276	962	764	1162	1435	582	209	424	289	144	1127	812	382	855	158	538	479	147					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	816	29	23	18	28	29	10	36	37	122	30	5	23	31	8	69	154	51	28	5	55	17	8					
6	Число погашенных бюллетеней	9802	562	509	768	780	856	603	408	681	899	401	148	264	137	78	1038	488	211	289	57	303	246	76					
7	Число бюллетеней в переносных ящиках для голосования	816	29	23	18	28	29	10	36	37	122	30	5	23	31	8	69	154	51	28	5	55	17	8					
8	Число бюллетеней в стационарных ящиках для голосования	16037	865	809	1373	1367	1276	962	764	1162	1313	582	209	424	289	144	1127	812	382	855	158	538	479	147					
9	Число недействительных бюллетеней	527	0	32	37	35	114	24	15	47	26	19	9	30	10	5	35	22	9	34	5	12	7	0					
10	Число действительных бюллетеней	16326	894	800	1354	1360	1191	948	785	1152	1409	593	205	417	310	147	1161	944	424	849	158	581	489	155					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1000	54	50	81	80	81	58	44	71	91	37	14	27	17	9	83	55	24	45	9	33	28	9					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	152	9	2	13	7	11	10	11	5	32	6	2	3	1	0	16	4	6	6	0	5	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	84	1	2	6	0	3	1	2	1	4	5	1	4	3	3	20	3	5	5	1	7	5	2					
14	Число погашенных открепительных удостоверений	848	45	48	68	73	70	48	33	66	59	31	12	24	16	9	67	51	18	39	9	28	27	7					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	425	10	26	27	34	41	25	27	39	19	26	2	14	7	10	27	13	8	34	1	17	16	2					
		2.52%	1.11%	3.12%	1.94%	2.43%	3.14%	2.57%	3.37%	3.25%	1.32%	4.24%	0.93%	3.13%	2.18%	6.57%	2.25%	1.34%	1.84%	3.85%	0.61%	2.86%	3.22%	1.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	369	16	21	38	42	17	16	28	25	32	24	8	7	2	0	26	18	13	3	0	11	15	7					
		2.18%	1.78%	2.52%	2.73%	3.01%	1.30%	1.64%	3.5%	2.08%	2.22%	3.92%	3.73%	1.56%	0.62%	0.0%	2.17%	1.86%	3.00%	0.33%	0.0%	1.85%	3.02%	4.51%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	399	10	27	40	23	29	22	30	30	32	11	5	12	3	5	21	25	11	34	7	13	4	5					
		2.36%	1.11%	3.24%	2.87%	1.64%	2.22%	2.26%	3.75%	2.50%	2.22%	1.79%	2.33%	2.68%	0.93%	3.28%	1.75%	2.58%	2.54%	3.85%	4.29%	2.19%	0.80%	3.22%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	553	24	24	72	72	10	33	21	44	40	26	15	7	5	5	42	36	15	5	4	22	18	13					
		3.28%	2.68%	2.88%	5.17%	5.16%	0.76%	3.39%	2.62%	3.66%	2.78%	4.24%	7.00%	1.56%	1.56%	3.28%	3.51%	3.72%	3.46%	0.56%	2.45%	3.70%	3.62%	8.38%					
22	"5. ""За Русь Святую"""	50	2	6	0	1	2	1	2	2	8	2	0	2	1	0	2	4	1	9	0	3	1	1					
		0.29%	0.22%	0.72%	0.0%	0.07%	0.15%	0.10%	0.25%	0.16%	0.55%	0.32%	0.0%	0.44%	0.31%	0.0%	0.16%	0.41%	0.23%	1.01%	0.0%	0.50%	0.20%	0.64%					
23	"6. ""Объединенная Российская партия ""Русь"""	55	1	5	2	5	3	4	2	6	3	2	0	5	2	0	7	0	2	2	1	0	2	1					
		0.32%	0.11%	0.60%	0.14%	0.35%	0.22%	0.41%	0.25%	0.50%	0.20%	0.32%	0.0%	1.11%	0.62%	0.0%	0.58%	0.0%	0.46%	0.22%	0.61%	0.0%	0.40%	0.64%					
24	"7. ""Новый курс - Автомобильная Россия"""	168	4	7	14	23	15	15	9	3	22	10	3	3	4	1	14	5	6	5	0	1	4	0					
		0.99%	0.44%	0.84%	1.00%	1.64%	1.14%	1.54%	1.12%	0.25%	1.53%	1.63%	1.40%	0.67%	1.25%	0.65%	1.17%	0.51%	1.38%	0.56%	0.0%	0.16%	0.80%	0.0%					
25	"8. ""Народно-республиканская партия России"""	19	1	1	2	3	3	0	0	1	1	0	0	1	0	0	2	0	0	0	0	1	1	2					
		0.11%	0.11%	0.12%	0.14%	0.21%	0.22%	0.0%	0.0%	0.08%	0.06%	0.0%	0.0%	0.22%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.16%	0.20%	1.29%					
26	"9. ""Российская экологическая партия ""Зеленые"""	61	1	3	10	5	3	5	4	5	7	1	3	1	0	0	2	2	1	6	0	0	2	0					
		0.36%	0.11%	0.36%	0.71%	0.35%	0.22%	0.51%	0.5%	0.41%	0.48%	0.16%	1.40%	0.22%	0.0%	0.0%	0.16%	0.20%	0.23%	0.67%	0.0%	0.0%	0.40%	0.0%					
27	"10. ""Аграрная партия России"""	434	18	15	18	29	57	27	9	26	31	15	4	8	1	2	37	30	13	34	8	25	22	5					
		2.57%	2.01%	1.80%	1.29%	2.07%	4.36%	2.77%	1.12%	2.16%	2.16%	2.45%	1.86%	1.78%	0.31%	1.31%	3.09%	3.10%	3.00%	3.85%	4.90%	4.21%	4.43%	3.22%					
28	"11. ""Истинные патриоты России"""	19	0	2	2	0	1	0	0	2	0	2	1	1	0	0	2	0	2	0	2	2	0	0					
		0.11%	0.0%	0.24%	0.14%	0.0%	0.07%	0.0%	0.0%	0.16%	0.0%	0.32%	0.46%	0.22%	0.0%	0.0%	0.16%	0.0%	0.46%	0.0%	1.22%	0.33%	0.0%	0.0%					
