Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Колпашевская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №782									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34114	794	1511	705	1192	1134	1344	879	1132	1031	805	974	491	911	1218	866	1215	1003	699	678	991	726	792	1160	1082	434	152	1448	1054	175	99	1078	566	608	221	307	56	118	459	653	115	239	141	653	446	132	216	185	142	627	62	309	86									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32985	750	1500	700	1100	1100	1300	850	1100	1000	800	950	450	900	1200	850	1200	1000	650	650	950	700	750	1100	1000	400	150	1400	1000	150	95	1000	550	600	200	300	55	120	450	650	110	240	140	650	450	130	210	180	140	600	65	300	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10941	232	425	197	388	429	354	329	481	371	281	292	151	241	409	195	299	223	194	206	310	225	234	381	374	105	41	384	186	51	51	375	185	179	109	119	35	41	180	260	64	94	59	229	131	61	92	111	72	298	16	106	86									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	800	13	15	12	26	12	27	17	28	8	14	13	2	21	4	9	14	18	6	10	15	18	30	26	36	11	0	60	28	4	11	31	14	34	4	40	0	6	60	23	0	6	4	27	2	3	10	0	0	15	0	13	0									
6	Число погашенных избирательных бюллетеней	21244	505	1060	491	686	659	919	504	591	621	505	645	297	638	787	646	887	759	450	434	625	457	486	693	590	284	109	956	786	95	33	594	351	387	87	141	20	73	210	367	46	140	77	394	317	66	108	69	68	287	49	181	14									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	800	13	15	12	26	12	27	17	28	8	14	13	2	21	4	9	14	18	6	10	15	18	30	26	36	11	0	60	28	4	11	31	14	34	4	40	0	6	60	23	0	6	4	27	2	3	10	0	0	15	0	13	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10940	232	425	197	388	429	354	329	481	371	281	292	151	241	409	195	299	222	194	206	310	225	234	381	374	105	41	384	186	51	51	375	185	179	109	119	35	41	180	260	64	94	59	229	131	61	92	111	72	298	16	106	86									
9	Число недействительных избирательных бюллетеней	372	7	18	8	10	17	4	12	13	12	8	16	3	12	6	11	9	9	15	6	14	10	8	14	17	2	1	13	11	2	3	13	9	1	2	3	0	1	8	5	0	7	0	6	2	2	4	3	0	4	4	5	2									
10	Число действительных избирательных бюллетеней	11368	238	422	201	404	424	377	334	496	367	287	289	150	250	407	193	304	231	185	210	311	233	256	393	393	114	40	431	203	53	59	393	190	212	111	156	35	46	232	278	64	93	63	250	131	62	98	108	72	309	12	114	84									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	266	5	5	5	6	5	10	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	84	1	1	1	6	2	8	5	4	3	3	1	4	2	2	2	3	2	1	1	1	1	2	4	4	2	0	3	0	0	0	3	0	2	3	2	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	88	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	2	18	3	4	0	0	0	0	0	1	0	0	0	0	1	2	3	3	1	2	0	0	38									
14	Число погашенных неиспользованных открепительных удостоверений	182	4	4	4	0	3	2	0	6	2	2	4	1	3	3	3	2	3	4	4	4	4	3	1	1	3	5	2	5	5	5	2	5	3	2	3	5	5	5	4	4	5	5	5	4	5	5	5	5	3	5	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	3	0	2	1	0	2	1	0	1	1	0	1	0	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	90	1	2	1	2	7	3	3	7	2	4	3	1	1	5	1	3	2	2	0	2	2	4	5	1	0	0	4	1	1	0	2	0	3	0	3	0	0	1	5	0	0	0	1	1	0	1	1	0	1	1	0	0									
		0.77%	0.41%	0.45%	0.48%	0.48%	1.59%	0.79%	0.87%	1.38%	0.53%	1.36%	0.98%	0.65%	0.38%	1.21%	0.49%	0.96%	0.83%	1.00%	0.00%	0.62%	0.82%	1.52%	1.23%	0.24%	0.00%	0.00%	0.90%	0.47%	1.82%	0.00%	0.49%	0.00%	1.41%	0.00%	1.89%	0.00%	0.00%	0.42%	1.77%	0.00%	0.00%	0.00%	0.39%	0.75%	0.00%	0.98%	0.90%	0.00%	0.32%	6.25%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	499	12	16	9	18	19	15	18	15	11	13	17	3	10	16	9	8	12	5	10	8	16	16	18	18	8	0	23	16	0	0	18	9	5	3	5	0	0	7	20	1	7	3	12	10	3	6	2	6	16	1	2	4									
		4.25%	4.90%	3.64%	4.31%	4.35%	4.31%	3.94%	5.20%	2.95%	2.90%	4.41%	5.57%	1.96%	3.82%	3.87%	4.41%	2.56%	5.00%	2.50%	4.63%	2.46%	6.58%	6.06%	4.42%	4.39%	6.90%	0.00%	5.18%	7.48%	0.00%	0.00%	4.43%	4.52%	2.35%	2.65%	3.14%	0.00%	0.00%	2.92%	7.07%	1.56%	7.00%	4.76%	4.69%	7.52%	4.69%	5.88%	1.80%	8.33%	5.11%	6.25%	1.68%	4.65%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	224	4	10	0	6	7	6	14	7	14	8	6	4	3	7	5	7	7	5	6	2	3	9	8	8	6	0	7	1	0	0	15	0	6	1	2	1	0	3	3	0	1	1	3	4	0	0	1	3	8	0	1	1									
		1.91%	1.63%	2.27%	0.00%	1.45%	1.59%	1.57%	4.05%	1.38%	3.69%	2.71%	1.97%	2.61%	1.15%	1.69%	2.45%	2.24%	2.92%	2.50%	2.78%	0.62%	1.23%	3.41%	1.97%	1.95%	5.17%	0.00%	1.58%	0.47%	0.00%	0.00%	3.69%	0.00%	2.82%	0.88%	1.26%	2.86%	0.00%	1.25%	1.06%	0.00%	1.00%	1.59%	1.17%	3.01%	0.00%	0.00%	0.90%	4.17%	2.56%	0.00%	0.84%	1.16%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5765	111	213	104	205	205	190	155	242	173	119	140	78	124	196	102	164	97	95	110	155	97	112	187	198	62	24	219	109	36	36	190	81	111	53	93	20	29	160	133	53	62	20	150	67	38	54	64	38	173	7	75	36									
