Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Боградская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10610	576	78	1007	161	42	75	1042	173	40	445	99	737	81	179	120	596	122	1594	1155	532	115	530	125	71	409	506									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11130	610	80	1060	190	45	75	1080	185	45	460	105	830	90	200	130	610	130	1600	1175	555	120	565	150	75	430	535									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	48	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	12	5									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4817	233	38	374	105	27	42	496	74	33	203	44	405	44	90	62	264	60	824	426	208	33	206	69	39	189	229									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	467	30	5	46	1	0	0	77	1	1	24	2	36	2	7	1	25	6	53	33	22	3	13	13	8	18	40									
6	Число погашенных избирательных бюллетеней	5798	347	37	640	84	18	33	507	89	11	233	59	389	44	103	67	321	64	723	716	325	74	346	68	28	211	261									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	515	30	5	46	1	0	0	77	22	1	24	2	36	2	7	1	25	6	53	33	22	13	13	13	8	30	45									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4817	233	38	374	105	27	42	496	74	33	203	44	405	44	90	62	264	60	824	426	208	33	206	69	39	189	229									
9	Число недействительных избирательных бюллетеней	134	10	0	6	5	1	1	16	3	0	5	4	10	3	4	2	5	1	14	9	7	5	3	2	0	12	6									
10	Число действительных избирательных бюллетеней	5198	253	43	414	101	26	41	557	93	34	222	42	431	43	93	61	284	65	863	450	223	41	216	80	47	207	268									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	608	26	5	50	20	9	3	50	15	7	10	10	80	15	25	15	15	10	75	20	20	12	30	31	5	20	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	608	26	5	50	20	9	3	50	15	7	10	10	80	15	25	15	15	10	75	20	20	12	30	31	5	20	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	159	6	8	10	3	6	2	15	5	4	5	2	4	4	3	5	2	4	27	13	6	8	5	3	4	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	85	10	0	9	8	0	0	10	0	0	1	0	3	0	0	0	0	0	20	7	6	0	1	0	0	10	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	3	0	2	1	0	0	7	2	0	1	0	5	0	1	0	1	0	17	2	4	1	2	0	3	8	0									
		1.13%	1.14%	0.00%	0.48%	0.94%	0.00%	0.00%	1.22%	2.08%	0.00%	0.44%	0.00%	1.13%	0.00%	1.03%	0.00%	0.35%	0.00%	1.94%	0.44%	1.74%	2.17%	0.91%	0.00%	6.38%	3.65%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	185	10	0	9	5	2	2	19	6	0	2	0	16	1	5	2	13	2	31	23	9	2	8	6	2	6	4									
		3.47%	3.80%	0.00%	2.14%	4.72%	7.41%	4.76%	3.32%	6.25%	0.00%	0.88%	0.00%	3.63%	2.17%	5.15%	3.17%	4.50%	3.03%	3.53%	5.01%	3.91%	4.35%	3.65%	7.32%	4.26%	2.74%	1.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	80	3	0	11	0	0	0	11	2	0	7	0	5	0	4	0	3	2	14	7	1	1	3	1	0	5	0									
		1.50%	1.14%	0.00%	2.62%	0.00%	0.00%	0.00%	1.92%	2.08%	0.00%	3.08%	0.00%	1.13%	0.00%	4.12%	0.00%	1.04%	3.03%	1.60%	1.53%	0.43%	2.17%	1.37%	1.22%	0.00%	2.28%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2066	135	24	176	40	15	17	198	39	18	120	19	141	23	35	40	101	12	298	152	83	11	69	38	29	87	146									
		38.75%	51.33%	55.81%	41.90%	37.74%	55.56%	40.48%	34.55%	40.63%	52.94%	52.86%	41.30%	31.97%	50.00%	36.08%	63.49%	34.95%	18.18%	33.98%	33.12%	36.09%	23.91%	31.51%	46.34%	61.70%	39.73%	53.28%									
