Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Серовская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №805	УИК №806	УИК №807	УИК №811	УИК №2515	УИК №2516									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10243	1091	1029	1024	1038	1017	441	706	1140	907	553	387	134	134	290	352									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10250	1090	1030	1010	1030	1000	445	705	1160	910	555	410	135	135	285	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	15	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3546	391	310	344	378	347	129	216	405	340	227	155	39	65	82	118									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	368	28	9	24	16	13	43	33	45	40	22	34	13	16	14	18									
6	Число погашенных избирательных бюллетеней	6321	671	711	642	636	640	273	456	710	530	306	206	83	54	189	214									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	383	28	9	24	16	13	43	33	45	40	22	49	13	16	14	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3546	391	310	344	378	347	129	216	405	340	227	155	39	65	82	118									
9	Число недействительных избирательных бюллетеней	123	14	13	13	13	16	5	3	15	18	4	2	0	0	2	5									
10	Число действительных избирательных бюллетеней	3806	405	306	355	381	344	167	246	435	362	245	202	52	81	94	131									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	338	30	30	30	30	30	15	18	30	30	28	20	10	10	15	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	58	4	3	7	1	3	0	4	18	5	5	5	1	1	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	31	4	4	3	4	6	0	3	1	0	3	2	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	280	26	27	23	29	27	15	14	12	25	23	15	9	9	14	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	1	3	4	1	2	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	28	5	1	2	0	4	1	2	4	6	2	0	0	0	0	1									
		0.71%	1.19%	0.31%	0.54%	0.00%	1.11%	0.58%	0.80%	0.89%	1.58%	0.80%	0.00%	0.00%	0.00%	0.00%	0.74%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	86	8	6	7	14	5	1	10	8	7	7	3	0	3	2	5									
