Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Шебекинская																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150					
1	"Число избирателей, внесенных в списки"	70999	705	2452	2248	1760	2141	1014	1951	1947	2316	2900	1591	1888	1824	1164	1761	1540	1322	680	734	1240	2004	262	300	278	373	146	1240	293	214	520	289	467	239	563	345	1644	579	591	1050	564	855	1023	567	528	165	663	415	592	1121	414	725	393	2099	2680	203	367	562	992	212	235	312	124	579	1878	1490	652	950	1150	631	804	565	775	552	587					
2	"Число бюллетеней, полученных участковыми комиссиями"	70500	700	2400	2200	1800	2000	1000	2000	1900	2300	2800	1600	1900	1800	1000	1700	1500	1300	700	700	1200	2000	300	300	300	400	150	1200	300	200	600	400	500	250	600	400	1700	600	600	1000	550	850	1000	600	550	200	700	400	600	1000	400	700	400	2000	2700	200	400	550	1000	200	250	300	150	600	1800	1500	650	950	1100	650	800	550	750	550	600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	42350	466	1629	1395	1056	1327	615	1306	1228	1471	1867	1017	1249	1155	646	1109	883	717	427	417	629	1153	146	205	147	248	89	741	158	127	188	176	312	139	244	125	1160	395	324	519	304	470	615	383	296	90	339	249	263	654	186	418	284	1078	1584	109	232	380	564	159	164	207	70	375	1000	880	348	525	635	295	471	349	520	317	332					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	6857	63	110	142	82	109	44	43	53	25	43	24	25	16	74	32	138	83	53	80	87	71	116	95	107	76	50	157	74	42	239	113	69	64	163	153	193	90	186	187	80	90	80	59	84	28	129	78	124	83	89	171	53	77	51	39	41	103	114	16	38	44	34	60	204	149	71	140	109	137	237	167	77	96	134					
6	Число погашенных бюллетеней	21293	171	661	663	662	564	341	651	619	804	890	559	626	629	280	559	479	500	220	203	484	776	38	0	46	76	11	302	68	31	173	111	119	47	193	122	347	115	90	294	166	290	305	158	170	82	232	73	213	263	125	111	63	845	1065	52	127	67	322	25	48	49	46	165	596	471	231	285	356	218	92	34	153	137	134					
7	Число бюллетеней в переносных ящиках для голосования	6857	63	110	142	82	109	44	43	53	25	43	24	25	16	74	32	138	83	53	80	87	71	116	95	107	76	50	157	74	42	239	113	69	64	163	153	193	90	186	187	80	90	80	59	84	28	129	78	124	83	89	171	53	77	51	39	41	103	114	16	38	44	34	60	204	149	71	140	109	137	237	167	77	96	134					
8	Число бюллетеней в стационарных ящиках для голосования	42332	465	1629	1394	1056	1326	615	1306	1228	1471	1864	1017	1249	1155	646	1109	883	715	427	417	629	1153	146	205	147	248	89	741	158	127	188	176	312	139	244	125	1160	395	324	519	304	470	615	383	296	90	339	249	263	653	186	418	284	1078	1584	109	232	380	564	159	164	207	70	375	998	880	348	525	635	295	471	349	520	317	325					
9	Число недействительных бюллетеней	679	7	19	12	14	9	3	14	13	11	14	8	7	9	14	9	6	10	3	5	15	14	18	0	3	1	0	17	4	4	7	1	2	1	11	2	8	11	14	12	3	5	24	6	24	6	9	6	9	20	10	4	2	12	38	3	7	4	12	5	1	3	1	5	25	19	12	3	6	8	16	4	12	8	15					
10	Число действительных бюллетеней	48510	521	1720	1524	1124	1426	656	1335	1268	1485	1893	1033	1267	1162	706	1132	1015	788	477	492	701	1210	244	300	251	323	139	881	228	165	420	288	379	202	396	276	1345	474	496	694	381	555	671	436	356	112	459	321	378	716	265	585	335	1143	1597	145	266	479	666	170	201	248	103	430	1177	1010	407	662	738	424	692	512	585	405	444					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	898	5	35	20	25	30	20	20	35	28	30	20	35	20	35	26	15	13	5	15	5	26	5	35	5	5	5	13	0	5	2	5	5	5	5	5	5	5	5	40	5	5	40	5	8	5	5	5	25	5	5	5	5	5	35	5	5	5	8	5	2	5	5	5	5	5	5	10	15	5	5	5	7	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	508	4	25	20	25	29	13	15	30	25	30	20	26	18	5	22	11	11	3	5	5	13	0	0	1	0	0	12	0	3	2	0	1	0	0	3	5	1	0	9	2	3	22	2	8	0	0	1	2	2	0	0	1	3	20	0	4	0	6	1	1	0	0	0	2	2	0	6	6	2	5	5	5	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	446	8	8	13	8	10	15	32	8	7	7	10	6	2	26	12	14	5	5	8	2	15	0	4	2	2	0	4	3	6	3	0	3	0	7	0	8	3	4	4	13	5	7	2	1	4	5	7	3	8	2	2	1	10	5	2	5	3	11	3	5	8	3	5	4	4	5	10	3	2	3	3	6	5	7					
14	Число погашенных открепительных удостоверений	390	1	10	0	0	1	7	5	5	3	0	0	9	2	30	4	4	2	2	10	0	13	5	35	4	5	5	1	0	2	0	5	4	5	5	2	0	4	5	31	3	2	18	3	0	5	5	4	23	3	5	5	4	2	15	5	1	5	2	4	1	5	5	5	3	3	5	4	9	3	0	0	2	3	2					
15	Число открепительных удостоверений выданных ТИК	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																	
