Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Мамонтовская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19061	797	718	332	578	1013	907	827	1038	1768	1174	1123	1268	1459	875	746	1034	827	550	636	307	303	781									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15000	600	600	300	450	800	700	700	800	1300	1000	900	1000	1100	650	600	800	600	400	500	300	300	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7206	296	233	100	183	391	324	297	331	659	467	477	561	511	297	247	412	306	271	279	136	159	269									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	637	57	61	4	39	64	30	35	23	38	31	21	17	16	17	15	26	35	13	31	29	14	21									
6	Число погашенных избирательных бюллетеней	7157	247	306	196	228	345	346	368	446	603	502	402	422	573	336	338	362	259	116	190	135	127	310									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	637	57	61	4	39	64	30	35	23	38	31	21	17	16	17	15	26	35	13	31	29	14	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7205	296	233	100	183	391	324	297	331	659	467	477	560	511	297	247	412	306	271	279	136	159	269									
9	Число недействительных избирательных бюллетеней	215	5	5	5	6	15	6	12	6	20	13	10	46	7	8	8	10	7	7	9	2	2	6									
10	Число действительных избирательных бюллетеней	7627	348	289	99	216	440	348	320	348	677	485	488	531	520	306	254	428	334	277	301	163	171	284									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	89	3	3	2	2	4	4	4	5	13	8	5	8	1	1	3	5	4	2	3	2	2	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	67	1	3	1	0	0	2	2	1	13	8	5	8	1	0	3	5	4	1	2	0	2	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	2	4	1	2	2	7	3	2	4	10	2	4	0	1	0	2	3	0	2	4	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	22	2	0	1	2	4	2	2	4	0	0	0	0	0	1	0	0	0	1	1	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	0	1	0	0	1	1	1	1	0	2	2	0	2	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	68	3	1	1	0	4	3	2	1	4	4	6	14	9	2	3	3	1	2	1	1	0	3									
		0.87%	0.85%	0.34%	0.96%	0.00%	0.88%	0.85%	0.60%	0.28%	0.57%	0.80%	1.20%	2.43%	1.71%	0.64%	1.15%	0.68%	0.29%	0.70%	0.32%	0.61%	0.00%	1.03%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	341	12	11	5	6	24	18	12	20	19	21	24	16	18	17	16	25	16	4	12	10	15	20									
		4.35%	3.40%	3.74%	4.81%	2.70%	5.27%	5.08%	3.61%	5.65%	2.73%	4.22%	4.82%	2.77%	3.42%	5.41%	6.11%	5.71%	4.69%	1.41%	3.87%	6.06%	8.67%	6.90%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	120	4	1	0	7	11	2	4	5	16	3	12	10	11	1	4	5	7	2	7	2	2	4									
		1.53%	1.13%	0.34%	0.00%	3.15%	2.42%	0.56%	1.20%	1.41%	2.30%	0.60%	2.41%	1.73%	2.09%	0.32%	1.53%	1.14%	2.05%	0.70%	2.26%	1.21%	1.16%	1.38%									
