Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																																																										
Дата голосования: 02.12.2007																																																																																																																																																										
																																																																																																																																																										
Наименование Избирательной комиссии:    Кировская N 3																																																																																																																																																										
																																																																																																																																																										
Сводная таблица результатов выборов																																																																																																																																																										
																																																																																																																																																										
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №497	УИК №498	УИК №499	УИК №500	УИК №502	УИК №503	УИК №504	УИК №505	УИК №507	УИК №508	УИК №509	УИК №510	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №518	УИК №520	УИК №521	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1840	УИК №1841	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1866	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1897	УИК №1899	УИК №1900	УИК №1901	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912					
1	"Число избирателей, внесенных в списки избирателей"	150702	1842	1272	1533	2093	1560	2401	1395	1707	2060	2209	1422	1590	2702	1530	1781	2370	2465	1896	1611	1956	2041	2002	2577	2055	2667	1648	2522	1516	1462	2665	1752	2022	1884	1772	1827	1744	1387	1716	1723	1904	1824	1889	1682	1659	2470	2397	1969	1560	2010	2260	2027	2615	1781	2650	1957	2057	1953	2189	1679	2178	2473	1966	2072	2010	2259	2453	2659	2603	2465	2744	1768	2175	2077	2246	566	265	11	11	10	10	11	10	11	11	11	7	10	10	10	10	10	11	7	10	12	11	11	10	11	10	14	12	11	11	11	11	11	11	11	11	11	11	11	9	11	10	11	11	11	9	11	11	9	11	11	11	8	11	11	10	11	10	9	11	10	14	12	13	13	10	13	56	19	13	10	11	10					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	137514	1700	1200	1500	2000	1500	2100	1300	1500	2200	2000	1300	1500	2500	1500	1500	2100	2200	1700	1500	1700	2000	1800	2300	2000	2400	1500	2300	1300	1300	2400	1600	2000	1600	1600	1700	1600	1200	1500	1600	1700	1700	1700	1500	1500	2200	2000	1800	1500	1800	2000	2000	2500	1600	2500	1900	2000	1800	2000	1500	2000	2200	1800	2000	1800	2000	2000	2400	2200	2200	2400	1600	2000	2000	2000	400	300	11	11	10	10	11	10	11	11	11	7	10	10	10	10	10	11	7	10	12	11	11	10	11	10	14	12	11	11	11	11	11	11	11	11	11	11	11	9	11	10	11	11	11	9	11	11	9	11	11	11	8	11	11	10	11	10	9	11	10	14	12	13	13	10	13	56	19	13	10	11	10					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	76399	1012	571	658	905	1132	1023	563	644	949	1080	692	733	1119	689	874	915	1031	905	823	898	1022	1517	1201	1024	1248	879	1280	905	713	1200	828	931	896	900	864	823	699	906	848	919	1003	872	802	869	1245	1612	971	692	1057	1119	1116	1315	1135	1773	1003	1076	1038	1132	795	1175	1304	1284	911	1115	1222	1182	1357	1413	1162	1383	996	1128	1007	1139	247	148	11	11	10	10	11	7	11	11	11	7	10	10	10	10	10	11	7	10	11	11	11	10	11	10	14	12	11	11	11	11	11	11	10	11	11	11	11	9	11	10	11	11	11	9	11	11	9	11	11	11	8	11	11	10	11	10	8	11	10	11	12	13	13	10	13	38	14	13	10	11	10					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1320	9	7	13	37	10	6	10	10	17	10	11	10	18	7	15	30	11	16	9	16	20	23	26	23	22	9	17	18	11	29	16	18	14	20	19	19	14	14	20	7	18	21	13	17	14	15	16	12	12	22	13	20	25	20	20	20	22	18	17	27	24	15	6	15	34	12	16	26	35	20	13	16	21	17	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	59795	679	622	829	1058	358	1071	727	846	1234	910	597	757	1363	804	611	1155	1158	779	668	786	958	260	1073	953	1130	612	1003	377	576	1171	756	1051	690	680	817	758	487	580	732	774	679	807	685	614	941	373	813	796	731	859	871	1165	440	707	877	904	740	850	688	798	872	501	1083	670	744	806	1027	761	1003	997	591	856	972	844	153	95	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	18	5	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1320	9	7	13	37	10	6	10	10	17	10	11	10	18	7	15	30	11	16	9	16	20	23	26	23	22	9	17	18	11	29	16	18	14	20	19	19	14	14	20	7	18	21	13	17	14	15	16	12	12	22	13	20	25	20	20	20	22	18	17	27	24	15	6	15	34	12	16	26	35	20	13	16	21	17	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	76256	1011	571	656	863	1129	1022	563	643	943	1080	689	733	1116	687	874	915	1031	903	823	898	1018	1516	1201	1020	1248	879	1280	905	713	1198	828	925	896	900	863	822	698	906	846	919	1003	870	802	868	1243	1612	971	690	1055	1115	1113	1315	1135	1773	1003	1076	1038	1130	795	1173	1297	1284	910	1111	1222	1181	1354	1412	1156	1379	995	1125	1004	1138	247	148	11	11	10	10	11	7	11	11	11	7	10	10	10	10	10	11	7	10	11	11	11	10	11	10	14	12	11	11	11	11	11	11	10	11	11	11	11	9	11	10	11	11	11	9	11	11	9	11	11	11	8	11	11	10	11	10	8	11	10	11	12	13	13	10	13	38	14	13	10	11	10					
9	Число недействительных избирательных бюллетеней	609	2	0	5	4	8	4	3	5	11	16	5	3	14	1	5	10	7	11	18	3	9	16	16	7	8	7	16	9	5	8	4	13	4	8	5	6	5	7	8	7	8	5	5	10	11	4	6	3	7	9	10	11	5	12	3	6	14	26	5	13	10	8	7	5	9	3	14	20	10	11	2	6	3	11	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0					
10	Число действительных избирательных бюллетеней	76967	1018	578	664	896	1131	1024	570	648	949	1074	695	740	1120	693	884	935	1035	908	814	911	1029	1523	1211	1036	1262	881	1281	914	719	1219	840	930	906	912	877	835	707	913	858	919	1013	886	810	875	1246	1623	981	699	1060	1128	1116	1324	1155	1781	1020	1090	1046	1122	807	1187	1311	1291	909	1121	1247	1190	1356	1418	1181	1388	1006	1135	1022	1144	246	205	11	9	10	10	11	7	11	11	11	7	10	10	10	10	10	11	7	10	11	11	11	10	11	10	14	12	10	11	11	11	10	10	10	11	11	11	11	9	11	10	11	11	11	9	11	11	9	10	7	11	8	11	11	10	11	10	8	11	10	11	12	12	13	10	12	38	14	13	9	11	10					
