Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
"Наименование Избирательной комиссии:    Уфа, Орджоникидзевская"																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337					
1	"Число избирателей, внесенных в списки"	138853	3319	2931	2601	2223	2043	2735	2382	2198	2181	2760	3077	2000	2413	1809	2290	2363	2352	2485	2222	2661	2010	2612	2307	3014	1932	2714	3247	2391	630	730	739	1925	2963	1904	2925	2086	1747	2097	1981	2115	2259	1701	2227	1640	2587	1672	1924	2250	2035	1917	1923	2556	1982	1986	2103	2396	2560	1817	2114	2551	2353	2169	333	85	86	220	224	29	40					
2	"Число бюллетеней, полученных участковыми комиссиями"	135905	3120	2600	2750	2200	2100	2610	2200	2500	2100	2340	2870	2000	2350	2400	2400	2500	2350	2520	2210	2610	1940	2600	2170	2740	1800	2500	2710	2500	660	700	1200	1650	2820	1900	2640	2050	1530	2180	2040	2220	2100	1900	2200	1840	2500	1480	1800	2310	2120	1980	1800	2180	1910	2170	2120	2100	2550	1630	2020	2340	2250	2200	330	100	120	250	225	50	50					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	100909	2701	2339	1884	1596	1389	1891	1715	1549	1545	2207	2229	1360	1538	1782	1693	1866	1597	1741	1535	2125	1265	1910	1730	2392	1373	2000	2578	1674	616	597	698	1411	2313	1327	2140	1424	1285	1471	1371	1639	1500	1527	1564	1343	1734	1256	1299	1376	1470	1295	1268	1728	1218	1377	1513	1528	1862	1239	1597	1740	1640	1412	289	80	85	220	184	29	40					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2307	37	49	42	61	22	17	21	44	49	41	38	42	46	27	70	34	16	23	34	11	46	45	44	14	29	25	68	35	14	49	41	19	34	33	22	59	27	36	23	46	74	17	23	36	75	37	23	86	43	41	20	33	37	33	37	50	22	18	41	16	15	24	29	3	1	0	40	0	0					
6	Число погашенных бюллетеней	32689	382	212	824	543	689	702	464	907	506	92	603	598	766	591	637	600	737	756	641	474	629	645	396	334	398	475	64	791	30	54	461	220	473	540	478	567	218	673	646	535	526	356	613	461	691	187	478	848	607	644	512	419	655	760	570	522	666	373	382	584	595	764	12	17	34	30	1	21	10					
7	Число бюллетеней в переносных ящиках для голосования	2306	37	49	42	61	22	17	21	44	49	41	38	42	46	27	70	34	16	23	34	11	46	45	43	14	29	25	68	35	14	49	41	19	34	33	22	59	27	36	23	46	74	17	23	36	75	37	23	86	43	41	20	33	37	33	37	50	22	18	41	16	15	24	29	3	1	0	40	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	100681	2648	2326	1882	1601	1387	1795	1715	1549	1540	2207	2223	1360	1538	1782	1693	1864	1597	1741	1535	2114	1265	1901	1730	2392	1373	2000	2578	1673	613	597	698	1411	2313	1325	2139	1421	1285	1471	1368	1639	1500	1527	1564	1343	1732	1256	1295	1376	1470	1295	1268	1728	1218	1377	1512	1523	1862	1231	1597	1740	1640	1411	289	80	85	220	184	29	40					
9	Число недействительных бюллетеней	2696	43	46	41	23	27	54	16	48	46	44	42	42	49	32	33	18	26	32	28	37	11	39	34	10	24	28	62	60	14	35	40	44	32	23	44	12	23	33	27	26	55	30	39	40	54	61	41	52	59	56	33	34	46	34	45	45	48	46	28	412	41	38	0	2	1	6	2	0	0					
10	Число действительных бюллетеней	100291	2642	2329	1883	1639	1382	1758	1720	1545	1543	2204	2219	1360	1535	1777	1730	1880	1587	1732	1541	2088	1300	1907	1739	2396	1378	1997	2584	1648	613	611	699	1386	2315	1335	2117	1468	1289	1474	1364	1659	1519	1514	1548	1339	1753	1232	1277	1410	1454	1280	1255	1727	1209	1376	1504	1528	1836	1203	1610	1344	1614	1397	318	81	85	214	222	29	40					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	3060	45	53	50	47	50	48	50	50	50	74	50	40	45	60	45	45	45	45	47	72	41	70	50	110	65	100	51	65	15	10	20	55	50	66	80	45	40	40	46	55	50	50	50	48	40	35	40	40	47	50	45	50	45	45	40	40	45	35	45	50	40	45	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	3000	45	53	50	47	49	47	50	50	49	70	50	40	45	58	45	45	44	45	47	72	41	68	50	105	64	96	51	64	13	6	19	51	47	66	75	44	39	40	46	52	50	50	50	46	40	30	40	40	47	50	45	49	42	45	40	40	45	35	45	49	39	45	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	8993	1265	671	103	66	43	92	21	91	37	559	396	11	144	30	30	48	25	37	19	13	63	51	12	17	45	203	1111	36	206	23	9	219	583	28	81	33	240	18	26	58	62	274	62	92	56	32	15	92	35	15	11	63	16	13	56	73	9	17	196	41	10	32	289	83	86	220	216	24	40					
14	Число погашенных открепительных удостоверений	60	0	0	0	0	1	1	0	0	1	4	0	0	0	2	0	0	1	0	0	0	0	2	0	5	1	4	0	1	2	4	1	4	3	0	5	1	1	0	0	3	0	0	0	2	0	5	0	0	0	0	0	1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	40	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	2	1	1	0	0	1	1	1	0	0	2	0	0	0	1	0	0	1	1	0	0	0	1	2	0	1	2	1	0	0	2	2	0	1	1	1	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
18	"1. ""ЕДИНЕНИЕ"""	1250	43	19	23	14	16	17	17	24	14	31	23	14	22	9	21	21	25	18	10	22	17	19	22	17	14	16	41	20	9	19	28	13	16	7	32	17	18	11	19	23	11	20	15	18	32	20	14	30	19	20	19	26	9	18	25	16	19	11	39	0	29	29	9	4	5	7	5	0	0					
		1.21%	1.60%	0.8%	1.19%	0.84%	1.13%	0.93%	0.97%	1.50%	0.88%	1.37%	1.01%	0.99%	1.38%	0.49%	1.19%	1.10%	1.54%	1.02%	0.63%	1.03%	1.29%	0.97%	1.24%	0.70%	0.99%	0.79%	1.54%	1.17%	1.43%	2.94%	3.78%	0.90%	0.68%	0.51%	1.48%	1.14%	1.37%	0.72%	1.36%	1.36%	0.69%	1.29%	0.94%	1.30%	1.77%	1.54%	1.06%	2.05%	1.25%	1.49%	1.47%	1.47%	0.71%	1.27%	1.61%	1.01%	1.00%	0.88%	2.38%	0.0%	1.75%	2.02%	2.83%	4.81%	5.81%	3.18%	2.23%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	5930	154	119	112	134	90	112	101	80	92	140	170	71	94	124	106	135	100	104	90	154	72	126	124	204	94	204	181	115	35	38	14	115	180	97	208	109	87	91	83	81	75	85	78	48	62	48	61	50	63	46	64	99	67	68	78	51	82	30	64	0	85	50	11	4	4	5	9	2	1					
		5.75%	5.73%	5.01%	5.82%	8.06%	6.38%	6.18%	5.81%	5.02%	5.78%	6.22%	7.51%	5.06%	5.93%	6.85%	6.01%	7.11%	6.19%	5.89%	5.73%	7.24%	5.49%	6.47%	6.99%	8.47%	6.70%	10.07%	6.84%	6.73%	5.58%	5.88%	1.89%	8.04%	7.66%	7.14%	9.62%	7.36%	6.63%	6.03%	5.96%	4.80%	4.76%	5.50%	4.91%	3.48%	3.43%	3.71%	4.62%	3.41%	4.16%	3.44%	4.96%	5.62%	5.33%	4.82%	5.03%	3.24%	4.35%	2.40%	3.90%	0.0%	5.13%	3.48%	3.45%	4.81%	4.65%	2.27%	4.01%	6.89%	2.5%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3902	66	98	93	61	38	73	83	56	70	92	87	62	75	84	112	78	41	60	58	59	53	98	69	33	43	63	85	92	23	17	12	57	97	48	63	64	51	73	43	59	49	65	78	60	67	38	49	49	81	59	50	65	68	63	66	83	59	47	75	0	40	77	6	3	2	7	7	0	0					
		3.78%	2.45%	4.12%	4.83%	3.67%	2.69%	4.02%	4.78%	3.51%	4.40%	4.09%	3.84%	4.42%	4.73%	4.64%	6.35%	4.10%	2.54%	3.40%	3.69%	2.77%	4.04%	5.03%	3.89%	1.37%	3.06%	3.11%	3.21%	5.38%	3.66%	2.63%	1.62%	3.98%	4.13%	3.53%	2.91%	4.32%	3.88%	4.84%	3.09%	3.50%	3.11%	4.20%	4.91%	4.35%	3.70%	2.93%	3.71%	3.35%	5.35%	4.41%	3.88%	3.69%	5.41%	4.46%	4.26%	5.27%	3.13%	3.76%	4.57%	0.0%	2.41%	5.36%	1.88%	3.61%	2.32%	3.18%	3.12%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	6866	202	232	174	204	128	144	124	133	138	207	157	83	86	164	127	176	105	115	110	124	95	142	130	162	107	196	182	114	31	29	10	134	196	148	172	113	85	71	93	107	80	104	99	73	82	40	68	47	85	61	60	99	59	76	90	77	76	90	94	0	51	70	15	1	3	4	11	1	0					
		6.66%	7.52%	9.76%	9.04%	12.27%	9.08%	7.94%	7.14%	8.34%	8.68%	9.20%	6.94%	5.92%	5.42%	9.06%	7.20%	9.27%	6.50%	6.51%	7.01%	5.83%	7.24%	7.29%	7.33%	6.73%	7.63%	9.67%	6.87%	6.67%	4.94%	4.48%	1.35%	9.37%	8.35%	10.89%	7.95%	7.63%	6.47%	4.71%	6.68%	6.35%	5.08%	6.73%	6.23%	5.29%	4.53%	3.09%	5.15%	3.21%	5.61%	4.56%	4.65%	5.62%	4.70%	5.39%	5.81%	4.89%	4.03%	7.20%	5.73%	0.0%	3.08%	4.87%	4.71%	1.20%	3.48%	1.81%	4.91%	3.44%	0.0%					
22	"5. ""За Русь Святую"""	477	12	18	10	7	8	6	7	5	15	8	16	11	8	5	14	8	5	6	6	11	8	7	7	3	5	9	14	10	2	4	6	9	9	9	10	3	5	12	9	6	2	7	5	5	6	5	5	5	5	15	9	11	3	7	11	5	5	5	10	0	8	9	1	0	0	0	0	0	0					
		0.46%	0.44%	0.75%	0.51%	0.42%	0.56%	0.33%	0.40%	0.31%	0.94%	0.35%	0.70%	0.78%	0.50%	0.27%	0.79%	0.42%	0.30%	0.34%	0.38%	0.51%	0.61%	0.35%	0.39%	0.12%	0.35%	0.44%	0.52%	0.58%	0.31%	0.61%	0.81%	0.62%	0.38%	0.66%	0.46%	0.20%	0.38%	0.79%	0.64%	0.35%	0.12%	0.45%	0.31%	0.36%	0.33%	0.38%	0.37%	0.34%	0.33%	1.12%	0.69%	0.62%	0.23%	0.49%	0.71%	0.31%	0.26%	0.40%	0.61%	0.0%	0.48%	0.62%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
