Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Грачевская 																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336					
1	"Число избирателей, внесенных в списки"	26457	2985	2947	1963	27	210	1809	200	2967	1822	1995	503	2458	250	411	2747	713	664	227	1559					
2	"Число бюллетеней, полученных участковыми комиссиями"	27705	3100	3100	2040	55	220	1900	210	3100	1900	2100	520	2580	410	410	2750	740	680	230	1660					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12158	1384	1459	768	27	90	979	133	1139	711	888	249	1312	242	234	1093	312	284	96	758					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	637	72	47	62	0	0	105	3	32	26	36	11	62	8	35	40	17	17	5	59					
6	Число погашенных бюллетеней	14910	1644	1594	1210	28	130	816	74	1929	1163	1176	260	1206	160	141	1617	411	379	129	843					
7	Число бюллетеней в переносных ящиках для голосования	637	72	47	62	0	0	105	3	32	26	36	11	62	8	35	40	17	17	5	59					
8	Число бюллетеней в стационарных ящиках для голосования	12150	1384	1453	768	27	90	979	133	1137	711	888	249	1312	242	234	1093	312	284	96	758					
9	Число недействительных бюллетеней	258	32	25	0	0	5	14	11	17	9	23	7	28	5	11	20	14	7	1	29					
10	Число действительных бюллетеней	12529	1424	1475	830	27	85	1070	125	1152	728	901	253	1346	245	258	1113	315	294	100	788					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	280	25	25	15	0	5	20	5	30	15	30	5	30	5	5	30	5	5	5	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	67	1	12	9	0	1	4	0	7	5	3	3	4	0	1	9	0	5	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	3	2	0	27	1	2	1	5	1	0	0	1	1	1	1	1	1	0	3					
14	Число погашенных открепительных удостоверений	213	24	13	6	0	4	16	5	23	10	27	2	26	5	4	21	5	0	5	17					
15	Число открепительных удостоверений выданных ТИК	20	0	2	1	0	0	0	0	7	0	0	0	3	0	0	1	2	4	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	178	16	19	6	0	0	19	7	10	11	7	1	15	2	2	21	3	14	6	19					
		1.39%	1.09%	1.26%	0.72%	0.0%	0.0%	1.75%	5.14%	0.85%	1.49%	0.75%	0.38%	1.09%	0.8%	0.74%	1.85%	0.91%	4.65%	5.94%	2.32%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	145	12	34	9	2	0	15	2	17	6	5	1	10	6	1	13	1	3	1	7					
		1.13%	0.82%	2.26%	1.08%	7.40%	0.0%	1.38%	1.47%	1.45%	0.81%	0.54%	0.38%	0.72%	2.4%	0.37%	1.14%	0.30%	0.99%	0.99%	0.85%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	463	59	64	33	1	0	29	6	42	28	41	5	57	10	6	34	10	7	6	25					
		3.62%	4.05%	4.26%	3.97%	3.70%	0.0%	2.67%	4.41%	3.59%	3.79%	4.43%	1.92%	4.14%	4.0%	2.23%	3.00%	3.03%	2.32%	5.94%	3.05%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	160	14	39	10	0	0	10	5	15	4	9	2	10	2	1	17	6	7	2	7					
		1.25%	0.96%	2.6%	1.20%	0.0%	0.0%	0.92%	3.67%	1.28%	0.54%	0.97%	0.76%	0.72%	0.8%	0.37%	1.50%	1.82%	2.32%	1.98%	0.85%					
22	"5. ""За Русь Святую"""	47	5	4	2	0	0	5	0	9	2	1	0	4	1	1	3	0	1	0	9					
		0.36%	0.34%	0.26%	0.24%	0.0%	0.0%	0.46%	0.0%	0.76%	0.27%	0.10%	0.0%	0.29%	0.4%	0.37%	0.26%	0.0%	0.33%	0.0%	1.10%					
23	"6. ""Объединенная Российская партия ""Русь"""	38	2	5	0	0	0	5	1	1	2	4	2	2	0	1	3	0	1	1	8					
		0.29%	0.13%	0.33%	0.0%	0.0%	0.0%	0.46%	0.73%	0.08%	0.27%	0.43%	0.76%	0.14%	0.0%	0.37%	0.26%	0.0%	0.33%	0.99%	0.97%					
24	"7. ""Новый курс - Автомобильная Россия"""	82	9	11	8	1	0	11	0	6	4	2	0	4	0	1	12	2	5	1	5					
		0.64%	0.61%	0.73%	0.96%	3.70%	0.0%	1.01%	0.0%	0.51%	0.54%	0.21%	0.0%	0.29%	0.0%	0.37%	1.05%	0.60%	1.66%	0.99%	0.61%					
25	"8. ""Народно-республиканская партия России"""	23	3	2	2	0	0	2	2	0	1	0	1	4	1	1	0	2	1	0	1					
		0.17%	0.20%	0.13%	0.24%	0.0%	0.0%	0.18%	1.47%	0.0%	0.13%	0.0%	0.38%	0.29%	0.4%	0.37%	0.0%	0.60%	0.33%	0.0%	0.12%					
26	"9. ""Российская экологическая партия ""Зеленые"""	27	1	3	0	0	0	0	0	0	2	3	3	6	0	0	4	1	1	1	2					
		0.21%	0.06%	0.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.32%	1.15%	0.43%	0.0%	0.0%	0.35%	0.30%	0.33%	0.99%	0.24%					
27	"10. ""Аграрная партия России"""	1123	139	76	46	2	2	187	3	77	56	129	24	168	25	22	38	17	13	3	96					
		8.78%	9.54%	5.06%	5.54%	7.40%	2.22%	17.25%	2.20%	6.58%	7.59%	13.96%	9.23%	12.22%	10.0%	8.17%	3.35%	5.16%	4.31%	2.97%	11.75%					
28	"11. ""Истинные патриоты России"""	33	11	1	1	0	0	2	0	1	1	3	1	1	1	1	4	2	3	0	0					
		0.25%	0.75%	0.06%	0.12%	0.0%	0.0%	0.18%	0.0%	0.08%	0.13%	0.32%	0.38%	0.07%	0.4%	0.37%	0.35%	0.60%	0.99%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	186	13	28	11	1	0	20	3	23	10	11	1	10	5	6	17	1	8	3	15					
		1.45%	0.89%	1.86%	1.32%	3.70%	0.0%	1.84%	2.20%	1.96%	1.35%	1.19%	0.38%	0.72%	2.0%	2.23%	1.50%	0.30%	2.65%	2.97%	1.83%					
30	"13. ""Демократическая партия России"""	50	6	3	6	0	0	4	1	4	1	2	0	5	0	0	1	3	3	1	10					
		0.39%	0.41%	0.2%	0.72%	0.0%	0.0%	0.36%	0.73%	0.34%	0.13%	0.21%	0.0%	0.36%	0.0%	0.0%	0.08%	0.91%	0.99%	0.99%	1.22%					
31	"14. ""Великая Россия - Евразийский Союз"""	21	1	3	2	0	0	3	0	1	3	3	0	2	0	0	2	0	1	0	0					
		0.16%	0.06%	0.2%	0.24%	0.0%	0.0%	0.27%	0.0%	0.08%	0.40%	0.32%	0.0%	0.14%	0.0%	0.0%	0.17%	0.0%	0.33%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	12	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	2					
		0.09%	0.06%	0.0%	0.12%	3.70%	1.11%	0.09%	0.73%	0.08%	0.0%	0.10%	0.0%	0.07%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.24%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1125	103	197	110	3	7	72	2	99	61	98	24	75	14	47	95	22	36	6	54					
		8.79%	7.07%	13.13%	13.25%	11.11%	7.77%	6.64%	1.47%	8.46%	8.27%	10.60%	9.23%	5.45%	5.6%	17.47%	8.38%	6.68%	11.96%	5.94%	6.60%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	54	4	2	3	0	0	5	4	4	2	4	0	7	1	2	0	2	4	4	6					
		0.42%	0.27%	0.13%	0.36%	0.0%	0.0%	0.46%	2.94%	0.34%	0.27%	0.43%	0.0%	0.50%	0.4%	0.74%	0.0%	0.60%	1.32%	3.96%	0.73%					
35	"18. ""ЛДПР"""	2192	302	236	163	5	15	196	30	168	157	93	19	271	41	35	193	58	73	20	117					
		17.14%	20.74%	15.73%	19.63%	18.51%	16.66%	18.08%	22.05%	14.37%	21.30%	10.06%	7.30%	19.72%	16.4%	13.01%	17.03%	17.62%	24.25%	19.80%	14.32%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	250	25	23	15	0	2	16	7	25	12	20	6	33	1	9	21	18	4	5	8					
		1.95%	1.71%	1.53%	1.80%	0.0%	2.22%	1.47%	5.14%	2.13%	1.62%	2.16%	2.30%	2.40%	0.4%	3.34%	1.85%	5.47%	1.32%	4.95%	0.97%					
37	"20. ""Политическая партия ""Единая Россия"""	3535	492	410	226	5	18	302	27	331	233	179	45	357	56	84	333	87	60	22	268					
		27.64%	33.79%	27.33%	27.22%	18.51%	20.0%	27.85%	19.85%	28.31%	31.61%	19.37%	17.30%	25.98%	22.4%	31.22%	29.39%	26.44%	19.93%	21.78%	32.80%					
38	"21. ""Российская Конституционно-демократическая партия"""	32	2	4	2	0	0	0	1	6	1	1	4	3	0	0	4	1	1	1	1					
