Выборы Президента Российской Федерации																																																																												
Дата голосования: 02.03.2008																																																																												
																																																																												
"Наименование Избирательной комиссии:    Волгоград, Красноармейская"																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
	Число участковых избирательных комиссий	69																																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	69																																																																										
																																																																												
		Сумма	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409					
1	"Число избирателей, включенных в списки избирателей"	135105	370	134	1326	2158	2044	2334	796	2584	1987	1890	1949	2301	1997	2427	2541	2478	2708	2412	2611	2498	2670	2627	2179	2260	2711	2717	2833	2219	334	813	2069	2486	1773	2224	2132	2110	1920	2326	1544	1407	2487	1812	1545	1963	2399	2367	2366	2724	2451	2458	2385	2575	2844	2487	2544	2733	2222	2081	2154	2175	1960	2112	860	1352	274	163	105	169	439					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	134550	400	150	1300	2400	2100	2300	750	2400	2000	1900	1900	2200	2100	2400	2500	2500	2500	2400	2600	2500	2700	2600	2200	2200	2700	2700	2800	2300	300	800	2000	2300	2000	2100	2000	2100	1900	2300	1500	1400	2600	1800	1500	1900	2400	2300	2400	2500	2400	2600	2300	2500	2700	2600	2500	2700	2200	2400	2200	2100	1900	2100	800	1400	500	200	150	200	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	70418	147	99	669	1034	1024	1208	383	1220	925	919	1084	1063	1090	1288	1341	1354	1426	1316	1366	1295	1296	1501	1237	1205	1447	1541	1538	1126	158	420	1227	1340	997	1011	1074	1206	1038	1225	860	703	1307	834	662	874	1326	1351	1310	1646	1145	1230	1073	1181	1256	1282	1401	1228	1174	1287	1021	1181	1094	1208	399	757	152	85	44	70	439					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2635	25	0	47	137	37	37	3	102	40	24	41	49	43	27	19	28	16	26	18	39	16	24	30	19	20	22	18	56	35	47	32	58	25	16	23	31	29	36	25	38	24	46	60	34	34	45	51	26	38	24	71	60	27	47	28	16	60	31	36	23	20	35	93	17	107	78	50	96	0					
6	Число погашенных избирательных бюллетеней	61493	228	51	584	1229	1039	1055	364	1078	1035	957	775	1088	967	1085	1140	1118	1058	1058	1216	1166	1388	1075	933	976	1233	1137	1243	1118	107	333	741	902	978	1073	901	863	833	1039	615	659	1269	920	778	992	1040	904	1039	828	1217	1346	1156	1258	1417	1271	1071	1456	966	1082	1143	896	786	857	308	626	241	37	56	34	61					
