Выборы Президента Российской Федерации																																																																												
																																																																												
"Наименование Избирательной комиссии:    Волгоград, Красноармейская"																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408					
1	"Число избирателей, внесенных в список"	136998	359	140	1351	2398	2065	2668	356	2508	2025	1961	2028	2277	2206	2801	2618	2630	2844	2563	2749	2658	2796	2701	2133	2158	2677	2746	1659	2122	320	787	2142	2202	2394	2211	2109	1967	1989	2394	1939	1229	2597	1725	1578	1912	2509	2467	2454	2505	2527	2806	2482	2646	2445	2682	2411	2609	2274	2382	2354	2207	2140	2175	835	1437	248	226	80	111	294					
2	Число полученных избирательных бюллетеней	135456	350	136	1300	2300	2000	2500	700	2400	2000	1900	2000	2200	2200	2500	2600	2600	2900	2500	2800	2500	2800	2600	2100	2100	2600	2700	2600	2100	300	780	2100	2100	2100	2200	2100	2000	2000	2500	1900	1230	2600	1700	1500	1900	2400	2400	2400	2500	2400	2800	2400	2600	2300	2600	2400	2500	2200	2300	2300	2200	2100	2100	850	1300	500	250	150	160	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	71312	204	118	617	914	922	1112	330	1053	869	942	1086	1096	1261	1511	1410	1454	1579	1419	1495	1436	1510	1604	1236	1221	1395	1505	1647	997	175	412	1283	1016	1418	1136	1085	1214	1132	1287	1104	625	1431	805	650	795	1446	1390	1374	1457	1328	1383	1167	1288	1077	1369	1205	1236	1123	1161	931	1109	1072	1062	292	723	116	137	12	82	261					
5	"Число избирательных бюллетеней, выданных вне помещения"	2207	0	0	45	148	35	95	26	87	14	29	28	48	23	13	30	17	16	13	12	22	10	24	13	17	15	16	12	62	15	13	31	37	17	10	30	30	23	41	16	37	31	37	36	39	24	21	39	12	57	26	39	30	28	38	7	12	21	20	13	14	15	18	130	6	110	89	64	28	33					
6	Число погашенных избирательных бюллетеней	61941	146	18	638	1238	1043	1293	344	1260	1117	929	886	1056	916	976	1160	1129	1305	1068	1293	1042	1280	972	855	862	1190	1179	941	1041	110	355	786	1047	665	1054	985	756	845	1172	780	568	1138	858	814	1066	930	989	987	1031	1015	1391	1194	1282	1195	1193	1188	1252	1056	1119	1356	1077	1013	1020	428	571	274	24	74	50	56					
7	Число избирательных бюллетеней в переносных ящиках	2207	0	0	45	148	35	95	26	87	14	29	28	48	23	13	30	17	16	13	12	22	10	24	13	17	15	16	12	62	15	13	31	37	17	10	30	30	23	41	16	37	31	37	36	39	24	21	39	12	57	26	39	30	28	38	7	12	21	20	13	14	15	18	130	6	110	89	64	28	33					
8	Число бюллетеней в стационарных ящиках для голосования	71172	204	118	617	914	922	1112	330	1053	869	941	1086	1096	1260	1511	1410	1454	1579	1418	1495	1414	1510	1600	1236	1221	1395	1505	1647	995	175	412	1283	1016	1416	1136	1085	1212	1132	1271	1104	625	1389	805	650	795	1446	1382	1353	1455	1323	1380	1167	1285	1077	1369	1205	1233	1123	1161	931	1109	1070	1062	292	723	116	137	12	82	261					
9	Число недействительных избирательных бюллетеней	544	2	0	9	5	13	16	1	9	5	11	5	11	12	8	9	8	4	13	4	14	8	12	10	7	5	2	6	6	2	4	6	10	7	3	10	8	8	10	21	3	6	6	5	10	6	9	15	10	8	8	10	7	9	12	11	8	11	12	12	10	11	13	9	8	4	4	0	1	2					
10	Число действительных избирательных бюллетеней	72835	202	118	653	1057	944	1191	355	1131	878	959	1109	1133	1271	1516	1431	1463	1591	1418	1503	1422	1512	1612	1239	1231	1405	1519	1653	1051	188	421	1308	1043	1426	1143	1105	1234	1147	1302	1099	659	1414	836	681	824	1464	1394	1377	1457	1372	1398	1196	1308	1096	1395	1201	1237	1133	1169	932	1113	1074	1067	413	721	222	222	76	109	292					
