Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    Нижнедевицкая																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134					
1	"Число избирателей, внесенных в списки избирателей"	18673	2089	2289	242	480	465	484	237	492	776	384	428	553	424	322	322	556	225	492	403	163	416	469	497	208	532	878	276	354	272	352	1005	767	368	453					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18800	2090	2280	240	470	470	480	230	490	770	400	430	550	420	330	350	570	240	490	400	160	430	490	500	220	550	860	290	350	270	360	1000	780	380	460					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8896	1227	1129	88	298	163	178	93	215	386	159	191	230	234	109	68	241	112	187	119	97	200	160	265	94	274	367	182	235	160	163	551	323	125	273					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4801	186	270	89	84	192	145	121	158	135	134	106	136	143	173	209	208	67	203	186	51	122	274	104	93	157	276	48	89	85	123	92	153	97	92					
6	Число погашенных избирательных бюллетеней	5103	677	881	63	88	115	157	16	117	249	107	133	184	43	48	73	121	61	100	95	12	108	56	131	33	119	217	60	26	25	74	357	304	158	95					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4801	186	270	89	84	192	145	121	158	135	134	106	136	143	173	209	208	67	203	186	51	122	274	104	93	157	276	48	89	85	123	92	153	97	92					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8894	1226	1129	88	297	163	178	93	215	386	159	191	230	234	109	68	241	112	187	119	97	200	160	265	94	274	367	182	235	160	163	551	323	125	273					
9	Число недействительных избирательных бюллетеней	100	11	9	2	1	0	2	0	2	0	2	0	2	3	0	0	6	1	1	4	0	0	1	3	0	2	1	1	0	2	0	5	28	4	7					
10	Число действительных избирательных бюллетеней	13595	1401	1390	175	380	355	321	214	371	521	291	297	364	374	282	277	443	178	389	301	148	322	433	366	187	429	642	229	324	243	286	638	448	218	358					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	318	61	15	2	5	5	5	5	5	10	25	7	3	13	11	19	10	5	5	5	5	11	10	6	5	7	12	9	0	0	5	14	5	3	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	303	53	15	2	5	5	5	5	1	10	25	7	3	13	10	19	10	5	5	4	5	11	10	5	5	7	12	9	0	0	5	14	5	3	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	116	25	9	1	0	4	0	5	3	4	3	2	5	3	2	4	0	1	4	2	1	4	2	3	1	1	7	4	1	2	0	6	3	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	15	8	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	1.Политическая партия «Аграрная партия России»	190	36	21	2	7	3	4	1	5	8	3	3	4	0	6	2	5	0	3	4	2	11	5	8	6	4	4	1	3	1	5	6	5	6	6					
		1.39%	2.55%	1.50%	1.13%	1.84%	0.85%	1.24%	0.47%	1.34%	1.54%	1.02%	1.01%	1.09%	0.00%	2.13%	0.72%	1.11%	0.00%	0.77%	1.31%	1.35%	3.42%	1.15%	2.17%	3.21%	0.93%	0.62%	0.43%	0.93%	0.41%	1.75%	0.93%	1.05%	2.70%	1.64%					
19	2.Всероссийская политическая партия «Гражданская Сила»	42	7	5	0	2	0	1	0	0	0	1	0	0	0	0	1	3	0	2	0	1	1	0	2	0	2	1	1	0	1	2	7	1	0	1					
		0.31%	0.50%	0.36%	0.00%	0.52%	0.00%	0.31%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.36%	0.67%	0.00%	0.51%	0.00%	0.68%	0.31%	0.00%	0.54%	0.00%	0.46%	0.16%	0.43%	0.00%	0.41%	0.70%	1.09%	0.21%	0.00%	0.27%					
20	3.Политическая партия «Демократическая партия России»	9	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	1					
		0.07%	0.00%	0.07%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.16%	0.21%	0.00%	0.27%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1240	194	157	15	47	33	31	7	33	40	7	19	32	25	18	5	37	14	33	12	20	37	23	39	12	49	48	17	17	11	27	101	30	15	35					
		9.05%	13.74%	11.22%	8.47%	12.34%	9.30%	9.60%	3.27%	8.85%	7.68%	2.39%	6.40%	8.74%	6.63%	6.38%	1.81%	8.24%	7.82%	8.46%	3.93%	13.51%	11.49%	5.30%	10.57%	6.42%	11.37%	7.47%	7.39%	5.25%	4.49%	9.44%	15.71%	6.30%	6.76%	9.59%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	16	2	3	1	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0					
		0.12%	0.14%	0.21%	0.56%	0.26%	0.00%	0.00%	0.00%	0.00%	0.19%	0.34%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.16%	0.43%	0.00%	0.00%	0.35%	0.16%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	14	4	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0					
