Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Чукотская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57					
1	"Число избирателей, внесенных в список избирателей"	2598	341	143	212	387	830	685					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2878	400	143	219	388	925	803					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	38	14	0	0	0	14	10					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2097	322	143	212	380	566	474					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	26	0	0	0	0	23	3					
6	Число погашенных избирательных бюллетеней	717	64	0	7	8	322	316					
7	Число избирательных бюллетеней в переносных ящиках для голосования	64	14	0	0	0	37	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2097	322	143	212	380	566	474					
9	Число недействительных избирательных бюллетеней	27	3	0	0	13	6	5					
10	Число действительных избирательных бюллетеней	2134	333	143	212	367	597	482					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	143	20	20	20	20	33	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	47	12	5	5	6	16	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	34	6	6	1	1	14	6					
14	Число погашенных неиспользованных открепительных удостоверений	96	8	15	15	14	17	27					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	7	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	106	5	4	6	14	52	25					
		4.91%	1.49%	2.80%	2.83%	3.68%	8.62%	5.13%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	205	20	9	18	31	87	40					
		9.49%	5.95%	6.29%	8.49%	8.16%	14.43%	8.21%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	5	0	0	2	6	1					
		0.65%	1.49%	0.00%	0.00%	0.53%	0.99%	0.21%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	122	20	2	8	8	58	26					
		5.65%	5.95%	1.40%	3.77%	2.11%	9.62%	5.34%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	2	0	2	3	16	3					
		1.20%	0.60%	0.00%	0.94%	0.79%	2.65%	0.62%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1651	279	128	176	306	375	387					
		76.40%	83.04%	89.51%	83.02%	80.53%	62.19%	79.47%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	10	2	0	2	3	3	0					
		0.46%	0.60%	0.00%	0.94%	0.79%	0.50%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
