Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Чукотская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55					
1	"Число избирателей, внесенных в списки избирателей"	3072	403	172	200	427	1077	793					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3082	376	173	224	411	1056	842					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	22	0	0	0	0	9	13					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2449	285	151	192	366	847	608					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	90	6	10	6	0	52	16					
6	Число погашенных избирательных бюллетеней	521	85	12	26	45	148	205					
7	Число избирательных бюллетеней в переносных ящиках для голосования	112	6	10	6	0	61	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2448	285	151	192	366	847	607					
9	Число недействительных избирательных бюллетеней	43	5	0	2	8	13	15					
10	Число действительных избирательных бюллетеней	2517	286	161	196	358	895	621					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	214	35	35	35	35	35	39					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	10	0	0	1	2	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	4	0	0	0	0	4	0					
14	Число погашенных неиспользованных открепительных удостоверений	204	35	35	34	33	28	39					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	3	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	20	3	2	0	2	10	3					
		0.78%	1.03%	1.24%	0.00%	0.55%	1.10%	0.47%					
19	2.Всероссийская политическая партия «Гражданская Сила»	13	0	0	1	1	8	3					
		0.51%	0.00%	0.00%	0.51%	0.27%	0.88%	0.47%					
20	3.Политическая партия «Демократическая партия России»	2	0	0	0	0	1	1					
		0.08%	0.00%	0.00%	0.00%	0.00%	0.11%	0.16%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	67	8	2	3	4	38	12					
		2.62%	2.75%	1.24%	1.52%	1.09%	4.19%	1.89%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	0	0	0	0	3	1					
		0.16%	0.00%	0.00%	0.00%	0.00%	0.33%	0.16%					
23	6.Политическая партия «Партия социальной справедливости»	6	2	0	2	1	1	0					
		0.23%	0.69%	0.00%	1.01%	0.27%	0.11%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	134	12	10	6	9	65	32					
		5.23%	4.12%	6.21%	3.03%	2.46%	7.16%	5.03%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	73	11	0	4	13	27	18					
		2.85%	3.78%	0.00%	2.02%	3.55%	2.97%	2.83%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	16	0	0	1	1	9	5					
		0.63%	0.00%	0.00%	0.51%	0.27%	0.99%	0.79%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2169	249	147	177	325	726	545					
		84.73%	85.57%	91.30%	89.39%	88.80%	79.96%	85.69%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	13	1	0	2	2	7	1					
		0.51%	0.34%	0.00%	1.01%	0.55%	0.77%	0.16%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
