Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Заинская городская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  1446	УИК  1447	УИК  1448	УИК  1449	УИК  1450	УИК  1451	УИК  1452	УИК  1453	УИК  1454	УИК  1455	УИК  1456	УИК  1457	УИК  1458	УИК  1459	УИК  1460	УИК  1461	УИК  1462	УИК  1463	УИК  1464	УИК  1465	УИК  1466	УИК  1467	УИК  1468	УИК  1469	УИК  1470					
1	"Число избирателей, внесенных в списки"	27995	1223	715	813	1234	1093	920	979	898	873	1127	973	949	1287	1250	1143	1344	1332	1037	1114	1071	1387	1773	969	1127	1364					
2	"Число бюллетеней, полученных участковыми комиссиями"	27940	1185	1020	995	1355	1075	845	945	870	845	1125	965	955	1290	1255	1150	1365	1215	970	1025	965	1395	1770	945	1095	1320					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	21914	920	693	796	1177	724	764	789	597	591	780	639	662	1120	1071	812	1154	914	770	811	730	988	1516	735	857	1304					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	374	10	22	17	57	11	19	15	5	15	5	8	29	15	14	14	17	6	9	10	8	47	3	11	7	0					
6	Число погашенных бюллетеней	5652	255	305	182	121	340	62	141	268	239	340	318	264	155	170	324	194	295	191	204	227	360	251	199	231	16					
7	Число бюллетеней в переносных ящиках для голосования	374	10	22	17	57	11	19	15	5	15	5	8	29	15	14	14	17	6	9	10	8	47	3	11	7	0					
8	Число бюллетеней в стационарных ящиках для голосования	21914	920	693	796	1177	724	764	789	597	591	780	639	662	1120	1071	812	1154	914	770	811	730	988	1516	735	857	1304					
9	Число недействительных бюллетеней	275	5	21	0	68	0	7	4	1	0	1	17	13	0	5	0	11	14	5	11	11	9	12	3	10	47					
10	Число действительных бюллетеней	22013	925	694	813	1166	735	776	800	601	606	784	630	678	1135	1080	826	1160	906	774	810	727	1026	1507	743	854	1257					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	595	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	19					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	260	11	13	7	11	7	6	8	8	8	17	7	8	16	16	10	19	8	14	7	12	16	9	1	9	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	159	6	1	5	8	5	3	5	17	3	2	14	5	12	11	3	3	18	1	3	2	9	6	2	12	3					
14	Число погашенных открепительных удостоверений	335	13	11	17	13	17	18	16	16	16	7	17	16	8	8	14	5	16	10	17	12	8	15	23	15	7					
