Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Баганская																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48					
1	"Число избирателей, внесенных в списки"	13096	494	156	115	48	48	312	573	432	587	478	505	509	363	580	387	151	127	224	142	245	93	169	40	59	122	134	486	347	85	112	489	192	222	440	606	215	208	573	129	182	90	148	431	707	120	50	85	86					
2	"Число бюллетеней, полученных участковыми комиссиями"	12621	450	157	117	52	58	307	520	410	490	400	450	465	320	520	340	150	129	233	144	243	93	195	44	67	124	134	450	360	102	116	500	202	221	447	605	217	210	571	135	176	77	149	404	702	125	52	96	92					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9326	415	125	84	34	46	251	324	265	365	278	291	288	195	394	246	104	96	169	120	185	71	134	39	59	103	102	305	262	83	110	348	171	183	340	435	149	159	466	101	136	72	114	329	493	97	43	80	67					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	360	0	0	6	1	0	0	24	16	38	33	14	37	20	15	4	9	0	0	0	0	14	10	0	0	0	0	7	12	0	0	0	0	0	0	38	0	0	0	0	0	0	0	13	31	0	3	2	13					
6	Число погашенных бюллетеней	2935	35	32	27	17	12	56	172	129	87	89	145	140	105	111	90	37	33	64	24	58	8	51	5	8	21	32	138	86	19	6	152	31	38	107	132	68	51	105	34	40	5	35	62	178	28	6	14	12					
7	Число бюллетеней в переносных ящиках для голосования	360	0	0	6	1	0	0	24	16	38	33	14	37	20	15	4	9	0	0	0	0	14	10	0	0	0	0	7	12	0	0	0	0	0	0	38	0	0	0	0	0	0	0	13	31	0	3	2	13					
8	Число бюллетеней в стационарных ящиках для голосования	9326	415	125	84	34	46	251	324	265	365	278	291	288	195	394	246	104	96	169	120	185	71	134	39	59	103	102	305	262	83	110	348	171	183	340	435	149	159	466	101	136	72	114	329	493	97	43	80	67					
9	Число недействительных бюллетеней	154	0	3	3	1	0	0	5	4	11	9	7	11	6	6	5	0	0	10	0	0	1	0	0	1	0	0	7	4	2	0	3	1	0	5	0	0	1	9	0	7	4	4	6	11	4	0	0	3					
10	Число действительных бюллетеней	9532	415	122	87	34	46	251	343	277	392	302	298	314	209	403	245	113	96	159	120	185	84	144	39	58	103	102	305	270	81	110	345	170	183	335	473	149	158	457	101	129	68	110	336	513	93	46	82	77					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	190	6	3	3	3	3	6	6	6	6	6	6	6	5	5	6	3	3	3	3	3	3	3	3	3	3	3	6	3	3	3	3	3	3	3	6	3	3	6	3	3	3	3	6	6	3	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	58	2	1	0	0	1	2	4	4	3	2	3	1	2	4	1	1	0	3	0	0	0	0	0	3	0	3	0	1	0	0	3	0	0	0	3	1	0	0	0	2	0	0	2	2	1	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	3	0	0	0	0	0	0	1	0	2	0	0	1	3	3	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0					
14	Число погашенных открепительных удостоверений	132	4	2	3	3	2	4	2	2	3	4	3	5	3	1	5	2	3	0	3	3	3	3	3	0	3	0	6	2	3	3	0	3	3	3	3	2	3	6	3	1	3	3	4	4	2	3	3	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	"1. ""ЕДИНЕНИЕ"""	154	0	3	3	0	0	9	4	3	5	5	3	4	3	6	7	5	10	5	3	1	1	3	0	2	2	2	5	6	2	0	4	5	1	1	4	3	4	5	1	3	0	3	5	10	0	0	0	3					
		1.58%	0.0%	2.4%	3.33%	0.0%	0.0%	3.58%	1.14%	1.06%	1.24%	1.60%	0.98%	1.23%	1.39%	1.46%	2.8%	4.42%	10.41%	2.95%	2.5%	0.54%	1.17%	2.08%	0.0%	3.38%	1.94%	1.96%	1.60%	2.18%	2.40%	0.0%	1.14%	2.92%	0.54%	0.29%	0.84%	2.01%	2.51%	1.07%	0.99%	2.20%	0.0%	2.63%	1.46%	1.90%	0.0%	0.0%	0.0%	3.75%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	147	8	1	0	0	1	5	9	3	17	8	1	7	4	26	11	2	0	2	0	4	0	0	1	1	1	1	3	3	4	0	2	2	1	5	1	0	0	7	0	0	0	1	3	2	0	0	0	0					
		1.51%	1.92%	0.8%	0.0%	0.0%	2.17%	1.99%	2.58%	1.06%	4.21%	2.57%	0.32%	2.15%	1.86%	6.35%	4.4%	1.76%	0.0%	1.18%	0.0%	2.16%	0.0%	0.0%	2.56%	1.69%	0.97%	0.98%	0.96%	1.09%	4.81%	0.0%	0.57%	1.16%	0.54%	1.47%	0.21%	0.0%	0.0%	1.50%	0.0%	0.0%	0.0%	0.87%	0.87%	0.38%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	250	8	2	4	0	0	11	12	7	33	15	9	10	6	8	5	1	3	3	5	7	0	2	1	1	3	0	4	6	5	0	2	2	2	7	12	2	2	17	2	4	1	1	5	13	0	1	4	2					
		2.58%	1.92%	1.6%	4.44%	0.0%	0.0%	4.38%	3.44%	2.49%	8.18%	4.82%	2.95%	3.07%	2.79%	1.95%	2.0%	0.88%	3.12%	1.77%	4.16%	3.78%	0.0%	1.38%	2.56%	1.69%	2.91%	0.0%	1.28%	2.18%	6.02%	0.0%	0.57%	1.16%	1.09%	2.05%	2.53%	1.34%	1.25%	3.64%	1.98%	2.94%	1.38%	0.87%	1.46%	2.48%	0.0%	2.17%	4.87%	2.5%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	129	1	0	2	0	1	4	14	5	5	11	3	6	5	14	5	1	0	2	6	0	2	1	0	0	1	0	5	1	0	0	2	0	0	7	3	2	0	2	2	2	0	0	7	4	2	0	1	0					
		1.33%	0.24%	0.0%	2.22%	0.0%	2.17%	1.59%	4.02%	1.77%	1.24%	3.53%	0.98%	1.84%	2.32%	3.42%	2.0%	0.88%	0.0%	1.18%	5.0%	0.0%	2.35%	0.69%	0.0%	0.0%	0.97%	0.0%	1.60%	0.36%	0.0%	0.0%	0.57%	0.0%	0.0%	2.05%	0.63%	1.34%	0.0%	0.42%	1.98%	1.47%	0.0%	0.0%	2.04%	0.76%	2.06%	0.0%	1.21%	0.0%					
22	"5. ""За Русь Святую"""	57	1	2	0	1	0	3	3	3	3	5	3	3	3	2	1	0	0	1	0	0	1	0	0	0	0	5	1	4	0	0	1	0	0	1	1	0	0	5	0	0	0	0	0	3	0	0	0	1					
		0.58%	0.24%	1.6%	0.0%	2.85%	0.0%	1.19%	0.86%	1.06%	0.74%	1.60%	0.98%	0.92%	1.39%	0.48%	0.4%	0.0%	0.0%	0.59%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.0%	4.90%	0.32%	1.45%	0.0%	0.0%	0.28%	0.0%	0.0%	0.29%	0.21%	0.0%	0.0%	1.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	1.25%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	1	0	1	1					
		0.14%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.88%	0.0%	1.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.21%	0.0%	0.73%	0.0%	0.0%	0.29%	0.0%	1.03%	0.0%	1.21%	1.25%					
24	"7. ""Новый курс - Автомобильная Россия"""	29	0	0	0	0	0	0	1	1	2	4	2	1	2	3	1	0	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	1	1					
