Выборы Президента Российской Федерации																																																																															
Дата голосования: 02.03.2008																																																																															
																																																																															
Наименование Избирательной комиссии:    Дзержинская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
	Число участковых избирательных комиссий	72																																																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	72																																																																													
																																																																															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72					
1	"Число избирателей, включенных в списки избирателей"	133597	2091	1811	1999	2001	2250	2187	1958	2095	1805	2042	2139	1940	1795	1786	1938	1912	1953	1914	1858	1867	2080	2118	1944	2276	2257	1974	1967	1952	2040	2016	2089	1980	1832	1942	1872	2034	1995	1942	1675	2080	1546	2152	1931	2067	2040	2061	1989	2043	1965	2018	1684	1949	1982	1964	1981	1827	1793	1766	1951	1807	1838	1911	1347	1917	2001	2001	2075	2065	106	196	47	171					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	110610	1700	1600	1600	1700	1800	1800	1600	1800	1500	1700	1800	1700	1500	1400	1600	1600	1600	1700	1400	1700	1700	1800	1700	1900	1900	1600	1600	1600	1700	1700	1700	1700	1600	1600	1600	1700	1600	1600	1400	1500	1100	1800	1600	1700	1700	1700	1600	1600	1600	1600	1400	1600	1600	1600	1600	1500	1400	1500	1600	1500	1500	1600	1100	1600	1600	1700	1700	1700	280	300	50	180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	72169	1208	931	1017	1049	1162	1093	975	1138	987	1146	1249	785	990	874	963	990	1092	1059	949	941	1131	1220	1114	1229	1194	1064	1078	1060	1126	1177	1158	1066	1086	1060	1180	1057	940	1050	744	1215	762	1094	1119	1136	1179	1116	1075	1152	1114	1054	919	1030	1017	982	1115	1053	1034	909	990	945	1093	1019	774	1081	1158	1074	1081	1105	66	187	47	142					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3688	74	155	75	53	68	52	106	65	78	45	50	67	53	64	70	52	73	76	56	98	66	72	42	62	44	29	33	41	73	82	86	95	68	61	81	66	39	57	56	17	10	41	26	32	27	26	24	25	26	12	51	70	80	58	82	55	28	52	36	33	25	27	10	15	29	41	50	48	40	0	0	9					
6	Число погашенных избирательных бюллетеней	34753	418	514	508	598	570	655	519	597	435	509	501	848	457	462	567	558	435	565	395	661	503	508	544	609	662	507	489	499	501	441	456	539	446	479	339	577	621	493	600	268	328	665	455	532	494	558	501	423	460	534	430	500	503	560	403	392	338	539	574	522	382	554	316	504	413	585	569	547	174	113	3	29					
