Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Полтавская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462					
1	"Число избирателей, внесенных в списки избирателей"	17061	915	169	137	188	300	658	240	124	217	112	466	105	269	196	161	65	185	1031	148	125	224	651	62	178	202	108	815	255	1025	79	228	146	146	1769	2246	1738	814	281	42	131	110					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17595	954	185	134	191	304	695	240	120	219	115	451	109	269	208	160	65	198	1071	150	129	232	702	62	169	206	108	880	275	1051	82	247	154	157	1798	2288	1736	902	288	42	135	114					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13720	798	148	129	153	231	556	220	106	197	108	343	103	213	196	156	57	168	853	143	121	202	552	62	162	180	106	683	225	808	76	224	139	125	1200	1511	1243	675	271	41	126	110					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	836	43	6	5	15	17	19	9	12	10	2	35	0	12	0	4	0	8	71	0	0	6	44	0	3	11	2	23	7	50	3	0	0	10	79	161	114	52	0	0	3	0					
6	Число погашенных избирательных бюллетеней	3039	113	31	0	23	56	120	11	2	12	5	73	6	44	12	0	8	22	147	7	8	24	106	0	4	15	0	174	43	193	3	23	15	22	519	616	379	175	17	1	6	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	836	43	6	5	15	17	19	9	12	10	2	35	0	12	0	4	0	8	71	0	0	6	44	0	3	11	2	23	7	50	3	0	0	10	79	161	114	52	0	0	3	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13720	798	148	129	153	231	556	220	106	197	108	343	103	213	196	156	57	168	853	143	121	202	552	62	162	180	106	683	225	808	76	224	139	125	1200	1511	1243	675	271	41	126	110					
9	Число недействительных избирательных бюллетеней	180	10	0	0	3	3	5	0	0	2	1	4	0	3	5	0	0	1	12	5	0	1	9	2	0	0	0	8	7	10	1	0	1	2	19	30	24	8	1	2	1	0					
10	Число действительных избирательных бюллетеней	14376	831	154	134	165	245	570	229	118	205	109	374	103	222	191	160	57	175	912	138	121	207	587	60	165	191	108	698	225	848	78	224	138	133	1260	1642	1333	719	270	39	128	110					
