Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    район Раменки																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №3763									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	79539	1884	1333	2557	1642	2260	2366	2651	1181	2064	2401	2928	2315	620	2264	2703	2160	2250	2486	2507	2727	2172	2306	1995	1779	2724	2225	2758	2548	2078	1493	1988	1960	2552	1840	1746	1907	482	1618	69									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55710	1320	940	1820	1150	1600	1670	1850	810	1400	1700	2110	1610	530	1290	1900	1520	1580	1740	1760	1900	1520	1620	1410	1250	1920	1550	1940	1830	1450	1060	1400	1370	1760	1300	1200	1340	320	1120	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26084	573	452	819	443	785	679	906	356	764	801	798	765	323	882	792	687	709	869	835	874	721	774	590	562	923	755	1001	928	688	540	750	648	794	648	446	545	197	393	69									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	624	24	24	46	23	42	52	28	1	20	26	18	26	15	0	1	12	11	16	10	2	16	14	10	17	13	14	5	8	13	2	11	14	19	13	2	23	4	29	0									
6	Число погашенных избирательных бюллетеней	29002	723	464	955	684	773	939	916	453	616	873	1294	819	192	408	1107	821	860	855	915	1024	783	832	810	671	984	781	934	894	749	518	639	708	947	639	752	772	119	698	81									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	624	24	24	46	23	42	52	28	1	20	26	18	26	15	0	1	12	11	16	10	2	16	14	10	17	13	14	5	8	13	2	11	14	19	13	2	23	4	29	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25961	571	452	817	443	783	678	906	356	763	799	792	761	322	878	790	685	709	809	833	874	721	774	588	560	917	741	1001	926	687	540	746	648	794	648	446	544	197	393	69									
9	Число недействительных избирательных бюллетеней	383	15	7	14	5	22	7	24	6	7	15	11	10	2	9	11	6	15	16	11	10	13	9	12	8	16	13	15	11	7	7	11	11	6	7	1	9	3	1	0									
10	Число действительных избирательных бюллетеней	26202	580	469	849	461	803	723	910	351	776	810	799	777	335	869	780	691	705	809	832	866	724	779	586	569	914	742	991	923	693	535	746	651	807	654	447	558	198	421	69									
