Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Шарьинская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661					
1	"Число избирателей, внесенных в списки"	10019	684	1048	291	258	129	53	89	1330	546	363	161	232	295	409	171	187	257	343	1872	1301					
2	"Число бюллетеней, полученных участковыми комиссиями"	10070	600	1062	306	261	134	56	93	1302	557	347	164	235	295	409	183	199	260	350	1943	1314					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4805	324	406	153	142	80	42	69	616	270	210	94	161	143	165	73	112	143	174	813	615					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	749	20	56	40	35	6	1	7	113	46	44	13	15	36	83	26	22	38	38	46	64					
6	Число погашенных бюллетеней	4516	256	600	113	84	48	13	17	573	241	93	57	59	116	161	84	65	79	138	1084	635					
7	Число бюллетеней в переносных ящиках для голосования	749	20	56	40	35	6	1	7	113	46	44	13	15	36	83	26	22	38	38	46	64					
8	Число бюллетеней в стационарных ящиках для голосования	4805	324	406	153	142	80	42	69	616	270	210	94	161	143	165	73	112	143	174	813	615					
9	Число недействительных бюллетеней	83	2	5	1	1	1	0	0	8	3	5	1	4	2	4	0	2	4	4	23	13					
10	Число действительных бюллетеней	5471	342	457	192	176	85	43	76	721	313	249	106	172	177	244	99	132	177	208	836	666					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	130	9	14	4	3	2	2	2	16	7	4	2	3	4	5	2	3	3	4	25	16					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	39	1	5	2	3	1	2	1	6	5	0	0	0	0	0	0	0	0	2	4	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	0	1	0	2	0	0	0	3	0	2	1	0	1	2	2	1	0	2	4	2					
14	Число погашенных открепительных удостоверений	91	8	9	2	0	1	0	1	10	2	4	2	3	4	5	2	3	3	2	21	9					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	59	3	13	8	2	1	2	2	2	2	3	0	2	2	2	0	1	1	4	3	6					
		1.06%	0.87%	2.81%	4.14%	1.12%	1.16%	4.65%	2.63%	0.27%	0.63%	1.18%	0.0%	1.13%	1.11%	0.80%	0.0%	0.74%	0.55%	1.88%	0.34%	0.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	45	7	5	1	2	2	0	0	11	1	2	1	0	1	0	0	0	1	1	4	6					
		0.81%	2.03%	1.08%	0.51%	1.12%	2.32%	0.0%	0.0%	1.50%	0.31%	0.78%	0.93%	0.0%	0.55%	0.0%	0.0%	0.0%	0.55%	0.47%	0.46%	0.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	138	11	8	3	4	2	1	1	14	9	7	3	4	4	9	0	6	1	2	35	14					
		2.48%	3.19%	1.73%	1.55%	2.25%	2.32%	2.32%	1.31%	1.92%	2.84%	2.75%	2.80%	2.27%	2.23%	3.62%	0.0%	4.47%	0.55%	0.94%	4.07%	2.06%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	114	13	7	4	2	0	2	0	27	2	7	2	1	4	1	7	0	3	0	17	15					
		2.05%	3.77%	1.51%	2.07%	1.12%	0.0%	4.65%	0.0%	3.70%	0.63%	2.75%	1.86%	0.56%	2.23%	0.40%	7.07%	0.0%	1.65%	0.0%	1.97%	2.20%					
22	"5. ""За Русь Святую"""	39	2	4	0	1	0	0	0	9	1	1	1	1	3	0	1	6	1	0	4	4					
		0.70%	0.58%	0.86%	0.0%	0.56%	0.0%	0.0%	0.0%	1.23%	0.31%	0.39%	0.93%	0.56%	1.67%	0.0%	1.01%	4.47%	0.55%	0.0%	0.46%	0.58%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	0	0	0	0	0	1	1	3	1	1	0	3	1	0	0	0	0	0	0	2					
		0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	2.32%	1.31%	0.41%	0.31%	0.39%	0.0%	1.70%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%					
24	"7. ""Новый курс - Автомобильная Россия"""	15	2	2	0	0	0	1	0	1	2	0	0	0	3	0	0	0	0	0	3	1					
		0.27%	0.58%	0.43%	0.0%	0.0%	0.0%	2.32%	0.0%	0.13%	0.63%	0.0%	0.0%	0.0%	1.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.14%					
25	"8. ""Народно-республиканская партия России"""	7	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	1					
		0.12%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.55%	0.0%	0.23%	0.14%					
26	"9. ""Российская экологическая партия ""Зеленые"""	16	2	1	0	0	1	0	0	5	1	0	0	0	0	2	0	0	0	1	2	1					
		0.28%	0.58%	0.21%	0.0%	0.0%	1.16%	0.0%	0.0%	0.68%	0.31%	0.0%	0.0%	0.0%	0.0%	0.80%	0.0%	0.0%	0.0%	0.47%	0.23%	0.14%					
27	"10. ""Аграрная партия России"""	656	13	43	23	14	14	0	11	79	59	44	22	33	31	46	26	55	36	37	34	36					
		11.81%	3.77%	9.30%	11.91%	7.90%	16.27%	0.0%	14.47%	10.83%	18.67%	17.32%	20.56%	18.75%	17.31%	18.54%	26.26%	41.04%	19.88%	17.45%	3.95%	5.30%					
28	"11. ""Истинные патриоты России"""	5	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0					
		0.09%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	100	15	13	5	1	3	0	0	7	8	3	1	3	3	2	1	1	1	5	15	13					
		1.80%	4.36%	2.81%	2.59%	0.56%	3.48%	0.0%	0.0%	0.96%	2.53%	1.18%	0.93%	1.70%	1.67%	0.80%	1.01%	0.74%	0.55%	2.35%	1.74%	1.91%					
30	"13. ""Демократическая партия России"""	5	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0					
		0.09%	0.0%	0.21%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	2					
		0.14%	0.0%	0.0%	0.0%	0.0%	1.16%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.56%	0.0%	0.40%	0.0%	0.0%	0.55%	0.0%	0.11%	0.29%					
32	"15. ""Партия СЛОН"""	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	3					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.44%					
33	"16. ""Родина"" (народно-патриотический союз)"""	382	54	28	11	6	2	4	2	82	22	9	7	7	8	6	5	3	5	2	77	42					
		6.87%	15.69%	6.06%	5.69%	3.38%	2.32%	9.30%	2.63%	11.24%	6.96%	3.54%	6.54%	3.97%	4.46%	2.41%	5.05%	2.23%	2.76%	0.94%	8.96%	6.18%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	1	1	0	1	0	0	0	2	1	2	2	0	0	0	0	0	0	0	3	1					
		0.25%	0.29%	0.21%	0.0%	0.56%	0.0%	0.0%	0.0%	0.27%	0.31%	0.78%	1.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.14%					
35	"18. ""ЛДПР"""	752	42	66	19	30	5	4	5	110	40	26	11	35	22	51	15	17	36	16	121	81					
		13.53%	12.20%	14.28%	9.84%	16.94%	5.81%	9.30%	6.57%	15.08%	12.65%	10.23%	10.28%	19.88%	12.29%	20.56%	15.15%	12.68%	19.88%	7.54%	14.08%	11.92%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	137	8	8	2	4	3	4	4	15	6	5	1	6	5	3	1	3	4	3	28	24					
		2.46%	2.32%	1.73%	1.03%	2.25%	3.48%	9.30%	5.26%	2.05%	1.89%	1.96%	0.93%	3.40%	2.79%	1.20%	1.01%	2.23%	2.20%	1.41%	3.25%	3.53%					
37	"20. ""Политическая партия ""Единая Россия"""	2264	134	183	96	86	46	22	37	259	110	96	30	66	64	95	33	27	63	114	382	321					
		40.76%	38.95%	39.61%	49.74%	48.58%	53.48%	51.16%	48.68%	35.52%	34.81%	37.79%	28.03%	37.5%	35.75%	38.30%	33.33%	20.14%	34.80%	53.77%	44.47%	47.27%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	4					
		0.16%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.39%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.58%					
39	"22. ""Развитие предпринимательства"""	11	2	3	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1					
		0.19%	0.58%	0.64%	0.0%	0.0%	1.16%	0.0%	0.0%	0.13%	0.63%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	508	27	40	15	16	3	2	11	64	39	32	20	8	25	23	9	9	15	18	72	60					
		9.14%	7.84%	8.65%	7.77%	9.03%	3.48%	4.65%	14.47%	8.77%	12.34%	12.59%	18.69%	4.54%	13.96%	9.27%	9.09%	6.71%	8.28%	8.49%	8.38%	8.83%					
																											
41	Против всех	168	6	27	3	7	1	0	2	28	5	8	3	0	0	2	1	4	7	5	31	28					
		3.02%	1.74%	5.84%	1.55%	3.95%	1.16%	0.0%	2.63%	3.84%	1.58%	3.14%	2.80%	0.0%	0.0%	0.80%	1.01%	2.98%	3.86%	2.35%	3.60%	4.12%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
