Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Альшеевская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622					
1	"Число избирателей, внесенных в списки"	32192	1207	1134	1409	962	730	460	964	759	1155	1917	2130	930	431	196	740	440	160	133	690	832	330	158	633	509	216	254	275	479	204	271	201	619	163	414	551	184	161	180	553	565	361	408	797	200	439	715	578	924	753	400	318	184	1362	454					
2	"Число бюллетеней, полученных участковыми комиссиями"	31601	1124	1033	1381	916	687	439	968	721	1096	1756	2041	857	432	202	689	434	151	132	689	836	328	166	623	512	228	257	276	463	204	271	203	602	156	513	542	187	207	174	545	662	350	412	797	201	442	834	569	935	723	399	326	201	1288	421					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24580	853	831	948	641	570	349	709	549	876	1277	1634	603	324	78	666	414	130	115	504	621	234	147	494	381	192	182	182	375	130	257	162	493	144	340	402	153	81	138	477	510	286	373	728	163	323	553	538	779	567	323	286	181	992	322					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2244	59	35	127	78	11	8	47	43	36	114	16	26	44	87	23	18	11	0	100	116	17	8	61	68	24	60	52	26	50	14	3	32	0	74	19	4	80	8	55	48	16	20	41	30	46	85	5	79	69	17	17	3	79	35					
6	Число погашенных бюллетеней	4777	212	167	306	197	106	82	212	129	184	365	391	228	64	37	0	2	10	17	85	99	77	11	68	63	12	15	42	62	24	0	38	77	12	99	121	30	46	28	13	104	48	19	28	8	73	196	26	77	87	59	23	17	217	64					
7	Число бюллетеней в переносных ящиках для голосования	2243	59	35	127	78	11	8	46	43	36	114	16	26	44	87	23	18	11	0	100	116	17	8	61	68	24	60	52	26	50	14	3	32	0	74	19	4	80	8	55	48	16	20	41	30	46	85	5	79	69	17	17	3	79	35					
8	Число бюллетеней в стационарных ящиках для голосования	24567	850	831	948	641	570	349	709	542	876	1277	1634	601	323	78	666	414	130	115	504	621	234	147	494	381	192	182	182	375	130	257	162	493	144	340	402	153	81	138	477	510	286	373	728	163	323	553	538	779	567	323	286	181	992	322					
9	Число недействительных бюллетеней	613	42	18	35	9	24	9	14	12	4	16	26	18	5	5	7	0	4	10	3	4	3	3	15	28	4	6	10	15	1	2	8	25	7	14	13	17	3	5	2	14	13	26	0	8	29	12	2	24	6	22	0	0	5	6					
10	Число действительных бюллетеней	26197	867	848	1040	710	557	348	741	573	908	1375	1624	609	362	160	682	432	137	105	601	733	248	152	540	421	212	236	224	386	179	269	157	500	137	400	408	140	158	141	530	544	289	367	769	185	340	626	541	834	630	318	303	184	1066	351					
