Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Серебряно-Прудская городская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2865	УИК №2866	УИК №2867	УИК №2868	УИК №2869									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19176	1656	1660	1495	748	457	1505	331	925	292	1215	1222	354	862	564	604	841	719	841	820	1275	790									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17408	1501	1512	1352	664	408	1359	301	851	265	1103	1115	329	793	523	553	769	652	752	743	1148	715									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9796	758	817	743	447	301	802	177	430	105	639	757	151	385	306	341	449	384	443	451	565	345									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	904	69	8	41	5	20	17	24	89	70	23	37	61	79	68	22	69	39	35	26	30	72									
6	Число погашенных избирательных бюллетеней	6708	674	687	568	212	87	540	100	332	90	441	321	117	329	149	190	251	229	274	266	553	298									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	903	69	8	41	5	19	17	24	89	70	23	37	61	79	68	22	69	39	35	26	30	72									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9787	758	817	743	442	301	802	177	430	105	639	757	151	385	306	341	449	380	443	451	565	345									
9	Число недействительных избирательных бюллетеней	349	10	25	15	12	0	47	7	14	7	8	69	7	2	10	12	5	24	44	3	23	5									
10	Число действительных избирательных бюллетеней	10341	817	800	769	435	320	772	194	505	168	654	725	205	462	364	351	513	395	434	474	572	412									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	403	34	35	32	15	9	31	7	20	6	25	26	10	18	12	13	18	15	17	17	24	19									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	241	19	18	15	7	0	11	2	20	6	14	26	10	18	12	13	18	8	6	8	6	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	131	3	5	15	8	2	4	0	7	4	7	11	3	3	4	8	10	6	12	1	10	8									
14	Число погашенных неиспользованных открепительных удостоверений	162	15	17	17	8	9	20	5	0	0	11	0	0	0	0	0	0	7	11	9	18	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	6	10	4	8	0	5	1	3	0	3	1	0	3	3	2	0	1	6	2	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	93	16	7	4	4	0	11	5	3	6	7	0	0	6	5	0	3	2	4	2	6	2									
		0.87%	1.93%	0.85%	0.51%	0.89%	0.00%	1.34%	2.49%	0.58%	3.43%	1.06%	0.00%	0.00%	1.29%	1.34%	0.00%	0.58%	0.48%	0.84%	0.42%	1.01%	0.48%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	226	22	21	12	3	0	18	6	15	1	15	23	3	12	7	6	14	12	3	13	15	5									
		2.11%	2.66%	2.55%	1.53%	0.67%	0.00%	2.20%	2.99%	2.89%	0.57%	2.27%	2.90%	1.42%	2.59%	1.87%	1.65%	2.70%	2.86%	0.63%	2.73%	2.52%	1.20%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	135	5	17	15	7	1	12	2	8	1	5	5	4	6	2	6	6	4	6	14	9	0									
		1.26%	0.60%	2.06%	1.91%	1.57%	0.31%	1.47%	0.99%	1.54%	0.57%	0.76%	0.63%	1.89%	1.29%	0.53%	1.65%	1.16%	0.95%	1.26%	2.94%	1.51%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6897	572	428	543	294	255	465	126	343	103	437	488	134	276	257	238	355	247	338	312	358	328									
		64.52%	69.17%	51.88%	69.26%	65.77%	79.69%	56.78%	62.69%	66.09%	58.86%	66.01%	61.46%	63.21%	59.48%	68.72%	65.56%	68.53%	58.95%	70.71%	65.41%	60.17%	78.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	34	5	5	2	0	0	3	1	3	1	2	7	0	3	1	0	1	0	0	0	0	0									
		0.32%	0.60%	0.61%	0.26%	0.00%	0.00%	0.37%	0.50%	0.58%	0.57%	0.30%	0.88%	0.00%	0.65%	0.27%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	2	1	0	0	0	0	1	1	0	1	0	0	2	1	1	1	1	0	1	1	0									
		0.13%	0.24%	0.12%	0.00%	0.00%	0.00%	0.00%	0.50%	0.19%	0.00%	0.15%	0.00%	0.00%	0.43%	0.27%	0.28%	0.19%	0.24%	0.00%	0.21%	0.17%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	935	54	97	60	48	7	94	25	31	20	66	40	24	56	35	33	45	40	36	51	60	13									
		8.75%	6.53%	11.76%	7.65%	10.74%	2.19%	11.48%	12.44%	5.97%	11.43%	9.97%	5.04%	11.32%	12.07%	9.36%	9.09%	8.69%	9.55%	7.53%	10.69%	10.08%	3.12%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	1	4	4	1	0	2	0	1	2	0	0	1	3	1	0	1	2	0	1	0	2									
		0.24%	0.12%	0.48%	0.51%	0.22%	0.00%	0.24%	0.00%	0.19%	1.14%	0.00%	0.00%	0.47%	0.65%	0.27%	0.00%	0.19%	0.48%	0.00%	0.21%	0.00%	0.48%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	55	4	10	3	3	0	9	2	1	2	1	0	0	4	2	3	1	3	0	1	6	0									
		0.51%	0.48%	1.21%	0.38%	0.67%	0.00%	1.10%	0.99%	0.19%	1.14%	0.15%	0.00%	0.00%	0.86%	0.53%	0.83%	0.19%	0.72%	0.00%	0.21%	1.01%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	2	2	1	0	0	0	0	0	0	1	0	0	1	1	1	1	2	0	2	1	0									
		0.14%	0.24%	0.24%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.22%	0.27%	0.28%	0.19%	0.48%	0.00%	0.42%	0.17%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	75	7	8	7	1	0	9	3	2	1	2	8	0	6	2	4	3	2	0	1	8	1									
		0.70%	0.85%	0.97%	0.89%	0.22%	0.00%	1.10%	1.49%	0.39%	0.57%	0.30%	1.01%	0.00%	1.29%	0.53%	1.10%	0.58%	0.48%	0.00%	0.21%	1.34%	0.24%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1655	109	183	104	68	57	142	20	84	28	98	145	32	75	43	57	76	71	41	65	97	60									
		15.48%	13.18%	22.18%	13.27%	15.21%	17.81%	17.34%	9.95%	16.18%	16.00%	14.80%	18.26%	15.09%	16.16%	11.50%	15.70%	14.67%	16.95%	8.58%	13.63%	16.30%	14.39%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	3	4	0	0	0	2	1	5	0	0	0	1	3	3	2	0	1	0	0	1	0									
		0.24%	0.36%	0.48%	0.00%	0.00%	0.00%	0.24%	0.50%	0.96%	0.00%	0.00%	0.00%	0.47%	0.65%	0.80%	0.55%	0.00%	0.24%	0.00%	0.00%	0.17%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	155	15	13	14	6	0	5	2	8	3	19	9	6	9	4	0	6	8	6	11	10	1									
		1.45%	1.81%	1.58%	1.79%	1.34%	0.00%	0.61%	0.99%	1.54%	1.71%	2.87%	1.13%	2.83%	1.94%	1.07%	0.00%	1.16%	1.91%	1.26%	2.31%	1.68%	0.24%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
