Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																		
Дата голосования: 18.09.2016																																																																																																																		
																																																																																																																		
Наименование Избирательной комиссии:    Нижневартовская городская																																																																																																																		
																																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																		
																																																																																																																		
		Сумма	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №698									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	184651	1449	1751	1463	1652	1668	1816	1739	2129	1736	1728	1891	1966	1881	1570	2151	2092	1953	1797	1718	1725	1772	1539	1614	2089	2215	1926	1646	2105	2103	2079	1398	1458	1407	2488	2182	1439	1805	2128	2009	1562	1485	1533	1755	1717	1482	2154	1906	1698	2179	1897	2048	1853	1967	1360	1498	1309	2019	1958	2050	2122	2408	2282	2202	1855	1655	1914	1524	1520	1430	1564	2103	1796	2071	1706	1766	2177	2200	1916	1618	1593	1822	1839	1671	1888	1635	1604	1106	1518	2125	1641	1465	1069	1367	1708	1646	889	2499	2662	2421	1202	1153	2587	1005									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	180200	1400	1700	1400	1600	1600	1800	1700	2100	1700	1700	1900	1900	1900	1500	2100	2100	1900	1800	1700	1700	1700	1500	1600	2100	2200	1900	1600	2000	2100	2000	1400	1400	1400	2500	2200	1400	1600	2100	2000	1500	1500	1500	1700	1700	1400	2100	1900	1700	2100	1900	2000	1800	2000	1300	1400	1300	2000	1900	2000	2100	2400	2300	2200	1800	1600	1900	1500	1500	1400	1500	2100	1800	2000	1600	1700	2100	2100	1900	1600	1600	1800	1800	1700	1800	1600	1600	900	1500	2100	1600	1400	1000	1300	1700	1700	800	2500	2600	2200	1200	1100	2000	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	64527	532	573	515	507	600	554	555	723	585	649	686	554	629	602	783	800	731	693	596	656	686	489	583	765	722	629	611	691	830	778	541	528	533	867	701	522	656	644	754	609	520	575	685	696	521	890	732	568	848	752	777	699	808	472	540	411	778	815	721	796	877	728	723	729	612	635	501	527	493	575	678	642	696	521	576	750	807	733	519	560	674	587	623	643	630	570	394	596	772	627	485	239	363	536	525	199	824	846	766	367	160	689	264									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1150	5	13	6	7	10	35	6	12	8	0	4	3	5	9	5	1	3	0	3	9	6	24	4	5	42	0	4	29	1	9	2	0	4	5	9	2	2	6	2	7	3	8	0	1	4	8	3	3	8	2	1	5	5	4	1	0	3	13	36	3	6	5	3	3	3	5	0	4	1	7	4	9	6	0	5	2	59	5	68	5	1	3	4	12	3	0	0	11	2	1	3	8	4	0	2	3	29	4	16	0	0	424	2									
6	Число погашенных избирательных бюллетеней	114523	863	1114	879	1086	990	1211	1139	1365	1107	1051	1210	1343	1266	889	1312	1299	1166	1107	1101	1035	1008	987	1013	1330	1436	1271	985	1280	1269	1213	857	872	863	1628	1490	876	942	1450	1244	884	977	917	1015	1003	875	1202	1165	1129	1244	1146	1222	1096	1187	824	859	889	1219	1072	1243	1301	1517	1567	1474	1068	985	1260	999	969	906	918	1418	1149	1298	1079	1119	1348	1234	1162	1013	1035	1125	1210	1073	1145	967	1030	506	893	1326	972	912	753	933	1164	1173	598	1647	1750	1418	833	940	887	734									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1150	5	13	6	7	10	35	6	12	8	0	4	3	5	9	5	1	3	0	3	9	6	24	4	5	42	0	4	29	1	9	2	0	4	5	9	2	2	6	2	7	3	8	0	1	4	8	3	3	8	2	1	5	5	4	1	0	3	13	36	3	6	5	3	3	3	5	0	4	1	7	4	9	6	0	5	2	59	5	68	5	1	3	4	12	3	0	0	11	2	1	3	8	4	0	2	3	29	4	16	0	0	424	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	64416	532	573	515	507	600	519	555	722	585	648	686	554	629	602	783	800	731	668	596	655	686	489	583	765	722	629	611	691	830	777	541	528	533	867	700	522	656	643	754	609	511	575	685	690	519	890	732	568	847	750	776	699	808	472	540	411	778	815	719	794	877	727	720	729	611	635	501	527	492	575	676	642	696	521	576	746	806	733	519	560	674	587	623	643	630	570	394	596	769	627	485	239	363	535	525	199	824	846	766	366	160	688	263									
9	Число недействительных избирательных бюллетеней	2513	11	17	19	17	24	23	26	39	18	24	30	20	32	9	73	20	12	15	15	19	17	21	25	31	19	25	24	35	35	26	24	28	16	20	10	17	15	26	20	23	30	27	27	38	18	26	40	9	29	23	17	35	27	18	21	21	29	31	14	22	34	32	38	29	24	32	23	15	23	29	42	29	17	14	18	25	33	16	20	25	24	22	24	22	11	16	13	68	28	21	29	8	18	11	26	9	31	51	18	24	8	83	8									
10	Число действительных избирательных бюллетеней	63053	526	569	502	497	586	531	535	695	575	624	660	537	602	602	715	781	722	653	584	645	675	492	562	739	745	604	591	685	796	760	519	500	521	852	699	507	643	623	736	593	484	556	658	653	505	872	695	562	826	729	760	669	786	458	520	390	752	797	741	775	849	700	685	703	590	608	478	516	470	553	638	622	685	507	563	723	832	722	567	540	651	568	603	633	622	554	381	539	743	607	459	239	349	524	501	193	822	799	764	342	152	1029	257									
