Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Печорская городская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	45841	1490	1822	1836	1879	1740	1682	1499	1640	245	188	99	288	142	317	46	148	1637	1986	1910	2065	1747	1392	1718	1674	1824	1803	1496	491	1778	925	401	132	89	213	2396	1035	354	110	397	174	125	330	1464	76	254	99	123	376	186									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45215	1500	1800	1850	1900	1700	1600	1500	1500	250	190	100	300	140	300	45	150	1600	2000	1900	2000	1750	1400	1750	1600	1800	1800	1500	490	1800	900	400	130	90	200	2300	1000	350	100	400	150	120	300	1400	80	250	100	130	300	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16838	476	643	610	648	609	536	394	561	92	83	57	116	97	175	26	65	443	762	850	808	693	550	646	662	644	705	556	240	686	355	160	36	42	128	796	361	132	60	154	50	55	220	473	52	91	50	47	134	9									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	624	9	11	15	3	9	9	6	5	16	2	0	12	10	3	0	5	12	6	9	9	38	13	13	7	11	9	1	11	7	8	2	5	1	5	62	16	16	10	20	9	9	4	48	0	11	4	11	13	109									
6	Число погашенных избирательных бюллетеней	27753	1015	1146	1225	1249	1082	1055	1100	934	142	105	43	172	33	122	19	80	1145	1232	1041	1183	1019	837	1091	931	1145	1086	943	239	1107	537	238	89	47	67	1442	623	202	30	226	91	56	76	879	28	148	46	72	153	182									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	624	9	11	15	3	9	9	6	5	16	2	0	12	10	3	0	5	12	6	9	9	38	13	13	7	11	9	1	11	7	8	2	5	1	5	62	16	16	10	20	9	9	4	48	0	11	4	11	13	109									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16832	476	643	610	647	609	536	394	561	92	83	57	116	97	175	26	65	443	762	850	808	693	550	646	662	644	705	556	240	686	355	160	36	42	128	796	361	131	60	154	50	55	216	473	52	91	50	47	134	9									
9	Число недействительных избирательных бюллетеней	703	16	44	37	25	19	43	20	20	3	4	4	1	1	4	0	1	13	29	42	38	34	25	29	24	14	26	24	10	19	14	6	1	0	6	49	9	1	1	3	3	1	2	27	0	4	0	0	6	1									
10	Число действительных избирательных бюллетеней	16753	469	610	588	625	599	502	380	546	105	81	53	127	106	174	26	69	442	739	817	779	697	538	630	645	641	688	533	241	674	349	156	40	43	127	809	368	146	69	171	56	63	218	494	52	98	54	58	141	117									
