Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Сельцовская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14385	1465	570	777	1367	1365	1305	1543	1371	1640	1604	1378									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12900	1300	500	700	1200	1200	1200	1400	1200	1500	1500	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5755	586	206	312	616	819	592	467	535	599	553	470									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1241	154	122	49	50	10	69	120	108	193	233	133									
6	Число погашенных избирательных бюллетеней	5904	560	172	339	534	371	539	813	557	708	714	597									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1241	154	122	49	50	10	69	120	108	193	233	133									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5755	586	206	312	616	819	592	467	535	599	553	470									
9	Число недействительных избирательных бюллетеней	127	10	8	7	19	12	10	8	8	9	16	20									
10	Число действительных избирательных бюллетеней	6869	730	320	354	647	817	651	579	635	783	770	583									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	110	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	38	6	0	1	8	4	6	2	3	0	3	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	44	1	4	3	3	8	1	7	1	6	5	5									
14	Число погашенных неиспользованных открепительных удостоверений	72	4	10	9	2	6	4	8	7	10	7	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	1	0	2	2	1	1	1	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	100	9	3	11	8	4	9	11	10	16	4	15									
		1.43%	1.22%	0.91%	3.05%	1.20%	0.48%	1.36%	1.87%	1.56%	2.02%	0.51%	2.49%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	189	39	6	5	24	22	11	16	12	22	20	12									
		2.70%	5.27%	1.83%	1.39%	3.60%	2.65%	1.66%	2.73%	1.87%	2.78%	2.54%	1.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	109	11	4	9	9	12	11	8	11	9	17	8									
		1.56%	1.49%	1.22%	2.49%	1.35%	1.45%	1.66%	1.36%	1.71%	1.14%	2.16%	1.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3759	372	204	173	303	519	352	327	309	436	423	341									
		53.73%	50.27%	62.20%	47.92%	45.50%	62.61%	53.25%	55.71%	48.06%	55.05%	53.82%	56.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	43	1	1	5	8	4	2	1	6	6	5	4									
		0.61%	0.14%	0.30%	1.39%	1.20%	0.48%	0.30%	0.17%	0.93%	0.76%	0.64%	0.66%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	1	0	0	2	11	1	1	1	0	4	1									
		0.31%	0.14%	0.00%	0.00%	0.30%	1.33%	0.15%	0.17%	0.16%	0.00%	0.51%	0.17%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	971	112	30	37	94	73	75	90	118	125	121	96									
		13.88%	15.14%	9.15%	10.25%	14.11%	8.81%	11.35%	15.33%	18.35%	15.78%	15.39%	15.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	45	9	4	1	1	3	2	2	8	1	10	4									
		0.64%	1.22%	1.22%	0.28%	0.15%	0.36%	0.30%	0.34%	1.24%	0.13%	1.27%	0.66%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	51	5	3	0	3	3	5	3	7	6	9	7									
		0.73%	0.68%	0.91%	0.00%	0.45%	0.36%	0.76%	0.51%	1.09%	0.76%	1.15%	1.16%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	1	0	0	0	0	0	0	2	0	1	0									
		0.06%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.13%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	70	4	3	2	15	7	9	8	8	4	4	6									
		1.00%	0.54%	0.91%	0.55%	2.25%	0.84%	1.36%	1.36%	1.24%	0.51%	0.51%	0.99%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1149	120	42	82	117	113	124	98	116	134	132	71									
		16.42%	16.22%	12.80%	22.71%	17.57%	13.63%	18.76%	16.70%	18.04%	16.92%	16.79%	11.77%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	3	0	3	2	4	4	0	5	1	0	1									
		0.33%	0.41%	0.00%	0.83%	0.30%	0.48%	0.61%	0.00%	0.78%	0.13%	0.00%	0.17%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	334	43	20	26	61	42	46	14	22	23	20	17									
		4.77%	5.81%	6.10%	7.20%	9.16%	5.07%	6.96%	2.39%	3.42%	2.90%	2.54%	2.82%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
