Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Бородинская городская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69					
1	"Число избирателей, внесенных в списки избирателей"	15053	1861	1977	1739	2099	2004	1486	1688	2199					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14850	1850	1950	1750	2050	1950	1500	1650	2150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9304	1178	1236	1029	1351	1238	961	1086	1225					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	475	38	49	46	66	85	40	67	84					
6	Число погашенных избирательных бюллетеней	5071	634	665	675	633	627	499	497	841					
7	Число избирательных бюллетеней в переносных ящиках для голосования	475	38	49	46	66	85	40	67	84					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9304	1178	1236	1029	1351	1238	961	1086	1225					
9	Число недействительных избирательных бюллетеней	200	28	29	13	27	29	24	28	22					
10	Число действительных избирательных бюллетеней	9579	1188	1256	1062	1390	1294	977	1125	1287					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	288	36	36	36	36	36	36	36	36					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	146	23	12	30	16	20	22	11	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	69	8	5	8	10	9	9	13	7					
14	Число погашенных неиспользованных открепительных удостоверений	142	13	24	6	20	16	14	25	24					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	3	1	4	2	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	216	32	27	14	31	32	21	23	36					
		2.21%	2.63%	2.10%	1.30%	2.19%	2.42%	2.10%	1.99%	2.75%					
19	2.Всероссийская политическая партия «Гражданская Сила»	50	8	4	5	5	8	8	6	6					
		0.51%	0.66%	0.31%	0.47%	0.35%	0.60%	0.80%	0.52%	0.46%					
20	3.Политическая партия «Демократическая партия России»	17	2	3	1	1	4	1	1	4					
		0.17%	0.16%	0.23%	0.09%	0.07%	0.30%	0.10%	0.09%	0.31%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1984	230	245	212	262	268	240	269	258					
		20.29%	18.91%	19.07%	19.72%	18.49%	20.26%	23.98%	23.33%	19.71%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	134	20	19	1	31	16	10	19	18					
		1.37%	1.64%	1.48%	0.09%	2.19%	1.21%	0.99%	1.65%	1.38%					
23	6.Политическая партия «Партия социальной справедливости»	30	4	2	12	2	4	2	3	1					
		0.31%	0.33%	0.16%	1.12%	0.14%	0.30%	0.20%	0.26%	0.08%					
24	7.Политическая партия «Либерально-демократическая партия России»	1252	156	189	151	183	154	130	127	162					
		12.80%	12.83%	14.71%	14.05%	12.91%	11.64%	12.99%	11.01%	12.38%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	889	117	134	85	112	128	105	100	108					
		9.09%	9.62%	10.43%	7.91%	7.90%	9.67%	10.49%	8.67%	8.25%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	53	3	8	6	6	8	4	7	11					
		0.54%	0.25%	0.62%	0.56%	0.42%	0.60%	0.40%	0.61%	0.84%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4885	605	618	568	747	663	451	559	674					
		49.95%	49.75%	48.09%	52.84%	52.72%	50.11%	45.05%	48.48%	51.49%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	69	11	7	7	10	9	5	11	9					
		0.71%	0.90%	0.54%	0.65%	0.71%	0.68%	0.50%	0.95%	0.69%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
