Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Абатская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54					
1	"Число избирателей, внесенных в списки"	17028	2266	2065	1941	562	98	155	429	77	129	89	586	126	206	87	133	86	103	150	595	207	163	127	658	91	112	61	54	42	769	67	125	301	286	73	107	598	132	104	160	110	449	97	72	450	136	169	106	182	91	535	109	114	89	199					
2	"Число бюллетеней, полученных участковыми комиссиями"	16994	2258	2050	1914	563	104	150	424	78	131	90	580	127	209	83	133	83	101	154	596	202	161	129	650	91	114	63	53	44	778	66	127	304	287	77	106	594	131	106	158	112	446	98	74	464	138	164	105	179	85	544	110	115	91	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10481	1384	1225	992	340	57	106	252	55	82	63	359	80	121	62	85	74	76	122	287	119	107	90	420	81	82	45	44	38	401	60	96	167	182	68	63	399	103	69	105	92	287	70	49	270	109	113	64	119	81	315	69	84	52	146					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	553	30	66	25	18	14	19	41	9	8	3	28	5	3	0	4	0	0	0	26	10	5	0	25	3	5	0	3	0	64	0	3	27	9	0	9	18	4	6	3	5	7	0	0	5	0	0	9	17	0	7	6	2	2	0					
6	Число погашенных бюллетеней	5960	844	759	897	205	33	25	131	14	41	24	193	42	85	21	44	9	25	32	283	73	49	39	205	7	27	18	6	6	313	6	28	110	96	9	34	177	24	31	50	15	152	28	25	189	29	51	32	43	4	222	35	29	37	54					
7	Число бюллетеней в переносных ящиках для голосования	553	30	66	25	18	14	19	41	9	8	3	28	5	3	0	4	0	0	0	26	10	5	0	25	3	5	0	3	0	64	0	3	27	9	0	9	18	4	6	3	5	7	0	0	5	0	0	9	17	0	7	6	2	2	0					
8	Число бюллетеней в стационарных ящиках для голосования	10479	1384	1224	992	340	57	106	252	55	82	63	359	80	121	62	85	74	76	122	287	119	107	90	420	81	82	45	44	38	401	60	96	167	182	68	63	399	103	69	105	92	287	70	49	269	109	113	64	119	81	315	69	84	52	146					
9	Число недействительных бюллетеней	133	11	24	6	6	0	2	4	0	1	0	7	2	2	0	2	2	0	0	5	1	0	10	5	0	0	0	0	0	6	3	2	1	2	1	1	7	0	1	1	0	3	0	0	4	0	0	0	3	0	3	1	1	1	2					
10	Число действительных бюллетеней	10899	1403	1266	1011	352	71	123	289	64	89	66	380	83	122	62	87	72	76	122	308	128	112	80	440	84	87	45	47	38	459	57	97	193	189	67	71	410	107	74	107	97	291	70	49	270	109	113	73	133	81	319	74	85	53	144					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	268	36	35	30	8	2	2	6	2	2	2	8	2	3	2	2	2	2	3	8	3	3	2	9	2	2	2	2	1	10	2	2	3	3	2	2	8	2	2	2	2	6	2	2	6	2	3	2	3	2	8	2	2	2	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	49	14	13	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	5	8	2	2	0	0	5	0	0	0	0	0	0	1	1	2	1	1	4	1	1	0	1	1	1	0	1	0	3	0	1	1	0	0	2	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0					
14	Число погашенных открепительных удостоверений	219	22	22	17	8	2	2	5	2	2	2	8	2	3	2	2	2	2	3	7	3	3	2	7	2	2	2	2	1	8	2	2	3	3	1	2	8	2	2	2	2	6	2	2	6	2	3	1	3	2	8	2	2	1	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	"1. ""ЕДИНЕНИЕ"""	162	15	9	11	10	0	2	6	2	4	0	8	3	1	1	0	3	1	3	6	3	1	0	5	2	1	1	0	0	5	1	0	6	2	0	0	4	2	0	4	0	4	1	0	9	0	6	3	2	0	10	0	2	2	1					
		1.46%	1.06%	0.69%	1.08%	2.79%	0.0%	1.6%	2.04%	3.12%	4.44%	0.0%	2.06%	3.52%	0.80%	1.61%	0.0%	4.05%	1.31%	2.45%	1.91%	2.32%	0.89%	0.0%	1.12%	2.38%	1.14%	2.22%	0.0%	0.0%	1.07%	1.66%	0.0%	3.09%	1.04%	0.0%	0.0%	0.95%	1.86%	0.0%	3.70%	0.0%	1.36%	1.42%	0.0%	3.28%	0.0%	5.30%	4.10%	1.47%	0.0%	3.10%	0.0%	2.32%	3.70%	0.68%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	82	11	10	16	1	0	0	2	2	0	0	7	0	1	0	0	0	0	0	2	1	2	0	4	0	0	2	0	0	8	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	2	0					
		0.74%	0.77%	0.77%	1.57%	0.27%	0.0%	0.0%	0.68%	3.12%	0.0%	0.0%	1.80%	0.0%	0.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.77%	1.78%	0.0%	0.89%	0.0%	0.0%	4.44%	0.0%	0.0%	1.72%	1.66%	1.01%	0.51%	0.0%	1.47%	0.0%	0.23%	0.0%	0.0%	0.0%	1.03%	0.34%	1.42%	0.0%	0.0%	0.0%	0.0%	1.36%	0.73%	0.0%	0.0%	0.0%	1.16%	3.70%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	218	42	35	21	7	0	0	3	2	1	2	5	1	1	3	1	1	1	1	5	4	5	0	15	0	0	0	1	0	10	0	4	8	1	2	1	2	2	4	0	0	3	0	0	5	2	6	1	2	1	6	0	0	1	0					
		1.97%	2.97%	2.71%	2.06%	1.95%	0.0%	0.0%	1.02%	3.12%	1.11%	3.03%	1.29%	1.17%	0.80%	4.83%	1.12%	1.35%	1.31%	0.81%	1.59%	3.10%	4.46%	0.0%	3.37%	0.0%	0.0%	0.0%	2.12%	0.0%	2.15%	0.0%	4.04%	4.12%	0.52%	2.94%	1.38%	0.47%	1.86%	5.33%	0.0%	0.0%	1.02%	0.0%	0.0%	1.82%	1.83%	5.30%	1.36%	1.47%	1.23%	1.86%	0.0%	0.0%	1.85%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	167	40	28	24	6	4	1	1	0	0	1	3	0	0	0	1	2	0	1	0	1	4	0	14	2	1	0	1	0	9	0	0	3	3	0	0	2	2	1	0	1	1	1	1	2	1	0	0	0	0	2	0	0	0	3					
