Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																													
Дата голосования: 02.12.2007																																																																																																													
																																																																																																													
"Наименование Избирательной комиссии:    Екатеринбург, Орджоникидзевская"																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №150	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696					
1	"Число избирателей, внесенных в списки избирателей"	208117	33	420	320	1885	1791	1835	2041	2399	1504	1577	1269	2134	1137	781	1521	1459	2052	1479	1895	1477	1947	2259	1742	1488	2056	2823	2442	1962	2525	2464	2034	1623	1686	1440	1828	2200	2066	2125	2037	2439	2416	2188	1832	1906	2248	2253	2371	2718	2314	2333	2026	2507	2270	2674	2707	2548	2522	2192	2368	2167	2867	2375	1335	2712	2846	2665	2146	1818	2650	2443	2654	2632	2077	1951	1682	2837	1847	2228	2225	2501	2843	1815	2644	2427	2292	2406	2724	2196	2328	1762	2276	1705	1524	1980	2974	322	2391	2049	1047	2482	50	2634					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	201790	100	420	320	1800	1700	1700	1900	2200	1400	1600	1100	2100	1100	700	1500	1400	2000	1500	1900	1400	1900	2200	1500	1400	1900	2800	2400	1900	2500	2400	2000	1600	1600	1400	1800	2100	2000	2100	2000	2400	2400	2200	1700	1900	2200	2200	2300	2700	2200	2300	2000	2200	2300	2600	2600	2500	2500	2200	2300	2100	2800	2300	1200	2700	2800	2700	2100	1800	2600	2400	2600	2600	2100	1800	1600	2800	1800	2300	2200	2500	2800	1800	2600	2400	2200	2400	2700	2100	2200	1700	2200	1500	1400	1800	2400	300	2300	2000	1000	2500	50	2600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	117753	33	420	307	746	972	957	1051	1388	716	867	591	1285	684	471	877	720	979	866	1006	836	1149	1266	861	908	1138	1670	1451	1188	1525	1472	1121	794	922	802	967	1126	1124	1295	1086	1364	1535	1268	1064	1132	1255	1341	1381	1508	1294	1222	1177	1487	1316	1508	1520	1393	1437	1275	1317	1165	1709	1191	746	1623	1678	1659	1287	949	1722	1355	1435	1490	1010	982	990	1591	1147	1149	1360	1575	1470	1051	1387	1330	1278	1186	1480	1334	1312	804	1245	978	1009	1200	1992	297	1286	1235	615	1481	50	1489					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2211	0	0	0	19	10	71	11	5	17	26	5	20	18	6	19	22	15	28	33	9	29	16	145	14	6	19	29	25	32	21	23	14	13	12	29	55	13	20	24	38	18	33	12	16	27	21	21	9	33	29	23	20	26	50	43	22	31	16	9	18	15	16	16	27	36	22	7	43	18	21	12	12	11	11	16	20	17	16	30	26	21	14	34	18	12	34	27	20	25	13	24	21	13	24	5	0	68	14	7	22	0	15					
6	Число погашенных избирательных бюллетеней	81826	67	0	13	1035	718	672	838	807	667	707	504	795	398	223	604	658	1006	606	861	555	722	918	494	478	756	1111	920	687	943	907	856	792	665	586	804	919	863	785	890	998	847	899	624	752	918	838	898	1183	873	1049	800	693	958	1042	1037	1085	1032	909	974	917	1076	1093	438	1050	1086	1019	806	808	860	1024	1153	1098	1079	807	594	1189	636	1135	810	899	1309	735	1179	1052	910	1180	1193	746	863	883	931	501	378	576	403	3	946	751	378	997	0	1096					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2211	0	0	0	19	10	71	11	5	17	26	5	20	18	6	19	22	15	28	33	9	29	16	145	14	6	19	29	25	32	21	23	14	13	12	29	55	13	20	24	38	18	33	12	16	27	21	21	9	33	29	23	20	26	50	43	22	31	16	9	18	15	16	16	27	36	22	7	43	18	21	12	12	11	11	16	20	17	16	30	26	21	14	34	18	12	34	27	20	25	13	24	21	13	24	5	0	68	14	7	22	0	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	117649	33	420	307	746	972	957	1051	1385	716	866	591	1285	683	471	877	720	979	866	1004	836	1148	1248	861	906	1138	1670	1451	1188	1525	1470	1120	794	922	802	967	1121	1124	1294	1086	1362	1533	1268	1064	1125	1255	1340	1381	1508	1292	1222	1177	1486	1315	1501	1516	1393	1436	1275	1317	1163	1709	1191	746	1623	1674	1659	1287	949	1722	1355	1435	1490	999	982	990	1591	1147	1149	1360	1574	1470	1051	1383	1330	1276	1186	1479	1334	1312	804	1245	978	1009	1200	1991	297	1286	1224	615	1480	50	1488					
9	Число недействительных избирательных бюллетеней	1293	0	3	5	4	12	6	17	13	10	10	6	8	9	5	11	7	9	6	9	9	13	12	6	9	11	12	13	5	19	12	13	5	7	10	12	9	18	15	9	16	13	23	20	12	18	14	19	17	18	24	23	16	10	22	20	17	9	13	11	16	14	6	1	16	25	20	19	18	18	16	18	9	10	5	9	10	12	11	15	17	16	12	8	12	16	14	17	20	17	7	12	12	10	5	45	3	21	11	7	20	0	19					
10	Число действительных избирательных бюллетеней	118567	33	417	302	761	970	1022	1045	1377	723	882	590	1297	692	472	885	735	985	888	1028	836	1164	1252	1000	911	1133	1677	1467	1208	1538	1479	1130	803	928	804	984	1167	1119	1299	1101	1384	1538	1278	1056	1129	1264	1347	1383	1500	1307	1227	1177	1490	1331	1529	1539	1398	1458	1278	1315	1165	1710	1201	761	1634	1685	1661	1275	974	1722	1360	1429	1493	1000	988	997	1601	1152	1154	1375	1583	1475	1053	1409	1336	1272	1206	1489	1334	1320	810	1257	987	1012	1219	1951	294	1333	1227	615	1482	50	1484					
