Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва												
Дата голосования: 07.12.2003 0:00:00												
												
Наименование Избирательной комиссии:    Аллаиховская												
												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)												
												
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45					
1	"Число избирателей, внесенных в списки"	2199	116	68	173	115	1727					
2	"Число бюллетеней, полученных участковыми комиссиями"	2300	130	100	200	150	1720					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	20	0	0	8	12	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1407	79	63	118	86	1061					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	115	1	0	5	4	105					
6	Число погашенных бюллетеней	758	50	37	69	48	554					
7	Число бюллетеней в переносных ящиках для голосования	135	1	0	13	16	105					
8	Число бюллетеней в стационарных ящиках для голосования	1407	79	63	118	86	1061					
9	Число недействительных бюллетеней	15	1	0	0	2	12					
10	Число действительных бюллетеней	1527	79	63	131	100	1154					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	195	25	25	25	25	95					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	113	5	23	20	16	49					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	6	3	3	0	34					
14	Число погашенных открепительных удостоверений	82	20	2	5	9	46					
15	Число открепительных удостоверений выданных ТИК	5	2	0	0	1	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0					
												
18	"1. ""ЕДИНЕНИЕ"""	42	0	4	4	0	34					
		2.72%	0.0%	6.34%	3.05%	0.0%	2.91%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	165	5	7	35	5	113					
		10.70%	6.25%	11.11%	26.71%	4.90%	9.69%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	50	3	0	8	2	37					
		3.24%	3.75%	0.0%	6.10%	1.96%	3.17%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	17	0	0	0	3	14					
		1.10%	0.0%	0.0%	0.0%	2.94%	1.20%					
22	"5. ""За Русь Святую"""	6	0	0	0	2	4					
		0.38%	0.0%	0.0%	0.0%	1.96%	0.34%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	0	0	0	0	4					
		0.25%	0.0%	0.0%	0.0%	0.0%	0.34%					
24	"7. ""Новый курс - Автомобильная Россия"""	5	0	0	0	1	4					
		0.32%	0.0%	0.0%	0.0%	0.98%	0.34%					
25	"8. ""Народно-республиканская партия России"""	3	0	1	0	0	2					
		0.19%	0.0%	1.58%	0.0%	0.0%	0.17%					
26	"9. ""Российская экологическая партия ""Зеленые"""	5	0	0	0	0	5					
		0.32%	0.0%	0.0%	0.0%	0.0%	0.42%					
27	"10. ""Аграрная партия России"""	14	0	0	2	3	9					
		0.90%	0.0%	0.0%	1.52%	2.94%	0.77%					
28	"11. ""Истинные патриоты России"""	4	0	0	0	0	4					
		0.25%	0.0%	0.0%	0.0%	0.0%	0.34%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	8	0	0	1	0	7					
		0.51%	0.0%	0.0%	0.76%	0.0%	0.60%					
30	"13. ""Демократическая партия России"""	2	0	0	0	0	2					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.17%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	0	0	1	1	8					
		0.64%	0.0%	0.0%	0.76%	0.98%	0.68%					
32	"15. ""Партия СЛОН"""	3	0	0	0	0	3					
		0.19%	0.0%	0.0%	0.0%	0.0%	0.25%					
33	"16. ""Родина"" (народно-патриотический союз)"""	110	6	5	2	0	97					
		7.13%	7.5%	7.93%	1.52%	0.0%	8.31%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	11	0	0	0	0	11					
		0.71%	0.0%	0.0%	0.0%	0.0%	0.94%					
35	"18. ""ЛДПР"""	76	2	1	4	9	60					
		4.92%	2.5%	1.58%	3.05%	8.82%	5.14%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	15	0	1	4	1	9					
		0.97%	0.0%	1.58%	3.05%	0.98%	0.77%					
37	"20. ""Политическая партия ""Единая Россия"""	711	44	29	52	61	525					
		46.10%	55.0%	46.03%	39.69%	59.80%	45.02%					
38	"21. ""Российская Конституционно-демократическая партия"""	3	0	0	0	1	2					
		0.19%	0.0%	0.0%	0.0%	0.98%	0.17%					
39	"22. ""Развитие предпринимательства"""	10	0	0	2	0	8					
		0.64%	0.0%	0.0%	1.52%	0.0%	0.68%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	187	13	13	6	8	147					
		12.12%	16.25%	20.63%	4.58%	7.84%	12.60%					
												
41	Против всех	66	6	2	10	3	45					
		4.28%	7.5%	3.17%	7.63%	2.94%	3.85%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
