Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Володарская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35229	1979	1612	1401	1660	1227	756	527	1049	439	110	79	890	423	1952	799	344	2136	213	385	310	289	562	820	1247	1262	943	167	275	851	354	881	1106	754	579	1384	213	313	346	502	1552	599	1939									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33821	1800	1500	1300	1600	1200	740	520	1000	450	109	81	890	420	1800	800	350	1900	211	380	310	300	570	830	1200	1200	930	170	272	870	350	880	1100	750	570	1300	218	310	340	500	1400	600	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13993	907	635	555	616	530	330	235	497	165	58	45	293	139	571	349	144	1008	94	199	98	83	272	242	390	339	625	88	93	394	124	332	521	334	254	375	102	144	136	212	498	414	553									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1668	12	23	21	14	43	28	21	39	24	6	5	154	26	108	52	11	32	25	24	41	27	10	36	87	112	46	6	22	50	44	24	69	49	17	29	17	23	18	35	117	11	110									
6	Число погашенных избирательных бюллетеней	18160	881	842	724	970	627	382	264	464	261	45	31	443	255	1121	399	195	860	92	157	171	190	288	552	723	749	259	76	157	426	182	524	510	367	299	896	99	143	186	253	785	175	1137									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1668	12	23	21	14	43	28	21	39	24	6	5	154	26	108	52	11	32	25	24	41	27	10	36	87	112	46	6	22	50	44	24	69	49	17	29	17	23	18	35	117	11	110									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13926	907	635	555	616	530	330	235	497	165	58	45	293	139	571	349	144	1008	94	199	98	83	272	242	390	339	625	88	93	394	124	332	454	334	254	375	102	144	136	212	498	414	553									
9	Число недействительных избирательных бюллетеней	682	48	25	31	35	27	14	16	22	13	0	3	16	12	21	25	11	69	12	4	12	8	14	4	8	19	15	3	6	32	5	10	31	7	6	21	0	1	1	10	20	4	41									
10	Число действительных избирательных бюллетеней	14912	871	633	545	595	546	344	240	514	176	64	47	431	153	658	376	144	971	107	219	127	102	268	274	469	432	656	91	109	412	163	346	492	376	265	383	119	166	153	237	595	421	622									
