Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Заволжская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457					
1	"Число избирателей, внесенных в списки"	17975	1978	1692	2061	2379	1028	1154	1075	407	117	157	274	182	655	109	218	246	166	705	85	465	133	257	121	694	66	91	1120	340					
2	"Число бюллетеней, полученных участковыми комиссиями"	18305	2000	1800	2100	2200	1000	1200	1100	430	140	150	260	190	680	145	245	280	170	700	85	480	140	260	120	730	85	105	1160	350					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8476	957	820	1125	1094	417	548	374	189	51	45	81	64	265	74	68	133	47	374	58	258	60	115	58	348	45	24	564	220					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1591	86	89	46	22	68	35	87	75	33	51	61	46	163	35	58	43	87	76	16	96	51	84	22	65	0	48	29	19					
6	Число погашенных бюллетеней	8238	957	891	929	1084	515	617	639	166	56	54	118	80	252	36	119	104	36	250	11	126	29	61	40	317	40	33	567	111					
7	Число бюллетеней в переносных ящиках для голосования	1591	86	89	46	22	68	35	87	75	33	51	61	46	163	35	58	43	87	76	16	96	51	84	22	65	0	48	29	19					
8	Число бюллетеней в стационарных ящиках для голосования	8476	957	820	1125	1094	417	548	374	189	51	45	81	64	265	74	68	133	47	374	58	258	60	115	58	348	45	24	564	220					
9	Число недействительных бюллетеней	159	10	12	20	7	3	11	11	6	0	0	2	5	9	0	4	7	0	4	0	6	0	1	0	15	0	1	19	6					
10	Число действительных бюллетеней	9908	1033	897	1151	1109	482	572	450	258	84	96	140	105	419	109	122	169	134	446	74	348	111	198	80	398	45	71	574	233					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	179	20	18	20	20	10	12	11	3	2	2	2	2	6	2	2	2	2	6	2	4	2	2	2	7	2	2	11	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	66	8	10	14	9	4	2	6	2	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	3	0	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	6	4	7	3	4	4	2	2	0	2	1	1	0	2	0	2	1	6	1	3	1	0	0	0	0	0	3	0					
14	Число погашенных открепительных удостоверений	113	12	8	6	11	6	10	5	1	2	2	2	2	6	2	2	1	2	5	2	4	2	0	2	4	2	2	10	0					
15	Число открепительных удостоверений выданных ТИК	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
