Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
Наименование Избирательной комиссии:    Муром округ																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	103230	1141	1293	1395	1711	1848	1681	1814	1913	1492	1612	1984	1801	1749	1013	1297	1569	1477	1756	1640	1655	1802	1516	1405	1419	1676	1517	1681	1743	1590	1780	1669	1636	646	877	1817	1944	1675	1561	1313	1256	2028	1048	1678	1577	1482	2640	1046	1203	1297	1794	1647	1498	467	912	1286	1840	1384	2127	1725	1130	1258	1106	1684	1120	1680	1232	1900	1077									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	73725	1100	1360	1400	549	1880	1690	1850	1950	1450	416	692	1840	1780	914	454	537	436	1780	503	569	739	1540	473	1430	1700	1450	1600	1700	1484	1810	1680	1600	650	850	1800	1960	1690	1550	495	1270	730	307	542	1590	453	1201	293	1100	1310	501	519	479	450	359	1250	1744	1400	792	657	1150	380	1110	664	1004	1700	394	617	408									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34094	414	494	435	505	652	523	575	697	428	416	675	544	603	336	436	510	406	669	483	544	717	473	449	516	510	414	414	574	601	603	484	503	222	327	560	825	485	528	466	469	711	289	526	538	453	1163	288	291	362	478	485	454	134	325	504	680	541	748	646	360	376	321	654	399	500	374	609	400									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1719	22	26	0	44	18	41	12	13	60	0	17	22	0	0	18	27	30	0	20	25	22	30	24	0	28	52	95	91	15	43	19	64	51	23	26	24	20	10	29	31	19	18	16	24	0	38	5	82	14	23	34	25	23	34	30	35	18	44	11	32	4	18	10	15	19	20	8	8									
6	Число погашенных избирательных бюллетеней	37912	664	840	965	0	1210	1126	1263	1240	962	0	0	1274	1177	578	0	0	0	1111	0	0	0	1037	0	914	1162	984	1091	1035	868	1164	1177	1033	377	500	1214	1111	1185	1012	0	770	0	0	0	1028	0	0	0	727	934	0	0	0	293	0	716	1029	841	0	0	758	0	771	0	590	1181	0	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1716	22	26	0	44	18	41	12	13	60	0	17	22	0	0	18	27	30	0	20	25	22	30	24	0	27	52	94	91	15	43	19	64	51	23	26	24	20	10	29	31	19	18	16	24	0	38	5	82	14	23	34	25	23	34	30	35	18	44	11	32	4	17	10	15	19	20	8	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34035	414	494	435	505	651	521	573	695	428	414	673	543	602	336	436	510	406	668	483	538	710	473	448	516	509	414	410	574	601	601	484	503	222	327	560	825	484	528	464	468	711	288	526	537	451	1158	287	291	362	478	485	453	134	325	504	679	539	748	646	360	376	321	654	399	496	373	608	400									
9	Число недействительных избирательных бюллетеней	344	4	0	2	2	9	7	10	6	8	7	9	1	4	2	2	4	2	6	0	7	2	3	4	4	0	8	15	7	3	4	6	10	7	7	7	59	4	7	2	1	5	1	0	3	4	6	2	9	2	0	3	0	4	3	6	1	4	2	9	1	2	3	7	3	6	0	1	5									
10	Число действительных избирательных бюллетеней	35407	432	520	433	547	660	555	575	702	480	407	681	564	598	334	452	533	434	662	503	556	730	500	468	512	536	458	489	658	613	640	497	557	266	343	579	790	500	531	491	498	725	305	542	558	447	1190	290	364	374	501	516	478	153	356	528	713	553	790	648	391	378	335	657	411	509	393	615	403									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2650	30	40	30	40	50	40	50	50	30	40	50	50	40	30	30	40	30	40	40	40	50	30	30	30	40	30	40	40	40	40	40	40	20	20	50	50	40	30	30	30	50	30	40	40	30	160	30	30	30	50	40	50	20	30	30	50	30	50	40	30	30	30	40	30	40	30	50	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	614	6	12	4	4	15	9	12	15	6	8	6	16	9	12	6	4	8	8	9	4	8	14	17	5	7	8	7	20	8	12	8	3	4	9	5	8	11	11	11	3	17	2	8	8	4	78	2	5	6	8	8	8	0	4	8	7	6	14	11	6	4	4	11	6	9	7	7	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	397	9	9	7	12	8	5	5	10	6	13	4	8	4	4	6	12	4	2	4	6	5	11	6	6	4	19	2	3	7	5	5	4	2	4	4	11	7	6	12	5	4	2	4	11	4	27	2	3	5	3	3	2	2	6	5	2	2	4	4	2	0	4	7	2	9	5	5	2									
14	Число погашенных неиспользованных открепительных удостоверений	2036	24	28	26	36	35	31	38	35	24	32	44	34	31	18	24	36	22	32	31	36	42	16	13	25	33	22	33	20	32	28	32	37	16	11	45	42	29	19	19	27	33	28	32	32	26	82	28	25	24	42	32	42	20	26	22	43	24	36	29	24	26	26	29	24	31	23	43	26									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	116	1	0	0	4	3	3	1	0	1	1	1	1	0	0	1	3	1	1	1	1	2	3	2	1	0	1	2	0	0	1	2	1	0	1	2	2	0	1	0	1	2	2	1	3	1	40	0	0	0	0	4	0	0	0	0	2	1	1	1	2	1	1	1	3	1	1	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	765	14	6	11	12	16	12	12	13	9	6	8	17	9	7	6	10	12	24	14	19	25	11	12	6	15	11	9	18	11	12	10	8	3	2	13	30	1	10	11	9	19	5	6	9	10	37	8	6	12	9	10	11	6	7	5	14	8	14	19	6	6	6	16	15	8	11	13	5									
		2.14%	3.21%	1.15%	2.53%	2.19%	2.39%	2.14%	2.05%	1.84%	1.84%	1.45%	1.16%	3.01%	1.50%	2.08%	1.32%	1.86%	2.75%	3.59%	2.78%	3.37%	3.42%	2.19%	2.54%	1.16%	2.80%	2.36%	1.79%	2.71%	1.79%	1.86%	1.99%	1.41%	1.10%	0.57%	2.22%	3.53%	0.20%	1.86%	2.23%	1.80%	2.60%	1.63%	1.11%	1.60%	2.22%	3.09%	2.74%	1.61%	3.19%	1.80%	1.93%	2.30%	3.82%	1.95%	0.94%	1.96%	1.44%	1.77%	2.89%	1.53%	1.58%	1.78%	2.41%	3.62%	1.55%	2.80%	2.11%	1.23%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1881	20	21	17	19	50	34	26	43	20	21	46	29	34	20	16	29	22	20	20	31	37	25	30	31	28	12	12	10	28	40	33	16	14	6	17	37	19	23	27	26	50	17	24	29	21	50	21	21	24	26	19	31	8	30	17	70	32	60	38	24	40	19	47	24	30	27	34	39									
		5.26%	4.59%	4.04%	3.91%	3.46%	7.47%	6.05%	4.44%	6.07%	4.10%	5.07%	6.67%	5.13%	5.65%	5.95%	3.52%	5.40%	5.05%	2.99%	3.98%	5.51%	5.05%	4.97%	6.36%	6.01%	5.22%	2.58%	2.38%	1.50%	4.55%	6.21%	6.56%	2.82%	5.13%	1.71%	2.90%	4.36%	3.77%	4.28%	5.48%	5.21%	6.85%	5.56%	4.43%	5.17%	4.66%	4.18%	7.19%	5.63%	6.38%	5.19%	3.66%	6.49%	5.10%	8.36%	3.18%	9.80%	5.75%	7.58%	5.78%	6.12%	10.53%	5.62%	7.08%	5.80%	5.83%	6.87%	5.52%	9.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	917	10	11	8	11	8	11	14	28	12	4	15	21	15	12	12	18	10	26	13	6	21	12	15	18	14	14	9	14	17	17	17	13	7	7	13	19	12	12	14	14	19	5	18	22	17	19	7	8	9	6	16	8	2	12	16	14	16	17	26	13	8	8	18	12	17	14	15	11									
