Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Уфимская-4																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №3048	УИК №3049	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3063	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3079	УИК №3080	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29549	2924	694	1771	1752	829	1267	542	825	1785	662	987	2771	2907	3118	2378	1685	522	305	1073	102	141	187	322									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26934	2700	575	1635	1600	821	1050	511	650	1550	600	800	2450	2845	2600	2336	1615	450	311	1104	104	154	173	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20363	1711	404	1243	1093	416	850	372	533	1280	465	648	2136	2256	2175	1778	1110	358	192	744	80	104	155	260									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1449	54	27	43	350	211	44	17	67	155	39	20	75	12	10	40	81	18	22	100	7	17	5	35									
6	Число погашенных избирательных бюллетеней	5122	935	144	349	157	194	156	122	50	115	96	132	239	577	415	518	424	74	97	260	17	33	13	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1449	54	27	43	350	211	44	17	67	155	39	20	75	12	10	40	81	18	22	100	7	17	5	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20363	1711	404	1243	1093	416	850	372	533	1280	465	648	2136	2256	2175	1778	1110	358	192	744	80	104	155	260									
9	Число недействительных избирательных бюллетеней	214	10	5	80	30	7	0	3	6	0	16	10	5	0	9	18	5	5	0	5	0	0	0	0									
10	Число действительных избирательных бюллетеней	21598	1755	426	1206	1413	620	894	386	594	1435	488	658	2206	2268	2176	1800	1186	371	214	839	87	121	160	295									
