Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
"Наименование Избирательной комиссии:    Ижевск, Первомайская"																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	98103	1918	2530	2327	1606	1364	1337	1593	1530	1573	1781	946	1507	1585	2186	1331	2137	1399	2416	2716	2413	2276	2128	2622	1498	1773	2615	1292	1292	1778	1653	986	2248	1626	886	1166	1550	1732	1211	2196	2221	1969	2511	2574	1858	1102	2600	1943	1433	1411	2063	1257	471	2797	1850	1242	78									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	89700	1800	2300	2100	1500	1250	1200	1500	1400	1450	1600	800	1400	1500	2000	1200	2000	1300	2200	2500	2200	2100	1900	2400	1400	1600	2400	1200	1200	1600	1500	900	2100	1500	800	1100	1400	1600	1100	2000	2000	1800	2300	2400	1700	900	2400	1700	1300	1300	1900	1200	400	2500	1700	1100	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34960	518	918	835	622	500	518	678	653	601	638	415	581	577	927	463	861	346	1017	1008	931	880	764	964	417	753	861	372	257	644	637	250	699	386	253	337	547	590	393	684	839	820	881	1114	725	481	1065	795	292	446	674	489	179	1030	484	334	17									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	371	9	7	4	3	5	5	8	6	7	6	4	4	3	4	1	7	3	1	2	4	3	34	4	5	6	0	4	0	2	0	1	7	8	1	0	4	6	4	76	7	6	3	3	3	4	1	4	1	1	1	4	3	5	10	2	55									
6	Число погашенных избирательных бюллетеней	54369	1273	1375	1261	875	745	677	814	741	842	956	381	815	920	1069	736	1132	951	1182	1490	1265	1217	1102	1432	978	841	1539	824	943	954	863	649	1394	1106	546	763	849	1004	703	1240	1154	974	1416	1283	972	415	1334	901	1007	853	1225	707	218	1465	1206	764	28									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	371	9	7	4	3	5	5	8	6	7	6	4	4	3	4	1	7	3	1	2	4	3	34	4	5	6	0	4	0	2	0	1	7	8	1	0	4	6	4	76	7	6	3	3	3	4	1	4	1	1	1	4	3	5	10	2	55									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34944	518	918	835	620	500	518	678	653	601	638	415	581	577	926	462	861	346	1016	1008	931	880	763	964	417	753	861	372	257	644	635	250	699	386	253	337	547	590	393	684	838	820	881	1113	725	481	1062	794	292	446	674	489	179	1028	484	334	17									
9	Число недействительных избирательных бюллетеней	590	11	9	11	10	6	6	18	7	12	18	5	7	11	24	9	10	6	15	17	11	22	14	14	10	16	15	12	5	13	11	1	6	7	1	4	11	18	9	16	11	7	11	22	12	10	24	9	9	6	10	4	4	11	7	4	1									
10	Число действительных избирательных бюллетеней	34725	516	916	828	613	499	517	668	652	596	626	414	578	569	906	454	858	343	1002	993	924	861	783	954	412	743	846	364	252	633	624	250	700	387	253	333	540	578	388	744	834	819	873	1094	716	475	1039	789	284	441	665	489	178	1022	487	332	71									
