Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва											
Дата голосования: 07.12.2003 0:00:00											
											
Наименование Избирательной комиссии:    Соболевская											
											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)											
											
		Сумма	УИК №160	УИК №161	УИК №162	УИК №163					
1	"Число избирателей, внесенных в списки"	2397	1474	431	391	101					
2	"Число бюллетеней, полученных участковыми комиссиями"	2400	1468	434	394	104					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1003	590	178	172	63					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	59	27	2	24	6					
6	Число погашенных бюллетеней	1338	851	254	198	35					
7	Число бюллетеней в переносных ящиках для голосования	59	27	2	24	6					
8	Число бюллетеней в стационарных ящиках для голосования	1003	590	178	172	63					
9	Число недействительных бюллетеней	3	1	0	0	2					
10	Число действительных бюллетеней	1059	616	180	196	67					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	99	39	30	20	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	12	8	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	6	6	0	0	0					
14	Число погашенных открепительных удостоверений	87	31	26	20	10					
15	Число открепительных удостоверений выданных ТИК	1	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0					
											
18	"1. ""ЕДИНЕНИЕ"""	28	10	1	15	2					
		2.63%	1.62%	0.55%	7.65%	2.89%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	20	12	4	2	2					
		1.88%	1.94%	2.22%	1.02%	2.89%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	37	21	7	6	3					
		3.48%	3.40%	3.88%	3.06%	4.34%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	63	46	9	4	4					
		5.93%	7.45%	5.0%	2.04%	5.79%					
22	"5. ""За Русь Святую"""	3	1	0	2	0					
		0.28%	0.16%	0.0%	1.02%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	1	1	0	0	0					
		0.09%	0.16%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	3	3	0	0	0					
		0.28%	0.48%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	2	0	0	2					
		0.37%	0.32%	0.0%	0.0%	2.89%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	3	1	0	0					
		0.37%	0.48%	0.55%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	30	19	7	3	1					
		2.82%	3.07%	3.88%	1.53%	1.44%					
28	"11. ""Истинные патриоты России"""	1	0	0	0	1					
		0.09%	0.0%	0.0%	0.0%	1.44%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	4	4	0	0	0					
		0.37%	0.64%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	7	3	4	0	0					
		0.65%	0.48%	2.22%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	5	2	0	1					
		0.75%	0.81%	1.11%	0.0%	1.44%					
32	"15. ""Партия СЛОН"""	3	2	0	0	1					
		0.28%	0.32%	0.0%	0.0%	1.44%					
33	"16. ""Родина"" (народно-патриотический союз)"""	106	59	32	13	2					
		9.98%	9.56%	17.77%	6.63%	2.89%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	3	1	2	0	0					
		0.28%	0.16%	1.11%	0.0%	0.0%					
35	"18. ""ЛДПР"""	171	93	41	22	15					
		16.10%	15.07%	22.77%	11.22%	21.73%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	27	18	3	4	2					
		2.54%	2.91%	1.66%	2.04%	2.89%					
37	"20. ""Политическая партия ""Единая Россия"""	415	232	54	108	21					
		39.07%	37.60%	30.0%	55.10%	30.43%					
38	"21. ""Российская Конституционно-демократическая партия"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	5	0	1	2	2					
		0.47%	0.0%	0.55%	1.02%	2.89%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	84	60	6	13	5					
		7.90%	9.72%	3.33%	6.63%	7.24%					
											
41	Против всех	32	21	6	2	3					
		3.01%	3.40%	3.33%	1.02%	4.34%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
