Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Тутаевская 																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК  793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804					
1	"Число избирателей, внесенных в списки"	47790	1979	1543	1470	2169	2658	1625	1840	2218	2757	2464	2580	2964	3077	2650	2309	2478	2343	420	193	491	285	471	333	229	124	315	306	399	120	240	143	149	366	223	122	824	1884	478	551					
2	"Число бюллетеней, полученных участковыми комиссиями"	46340	1860	1400	1380	2090	2600	1590	1800	2240	2590	2340	2500	2850	2650	2930	2280	2450	2240	390	200	500	280	480	340	240	120	310	300	380	110	230	140	140	370	220	120	810	1860	470	540					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24706	817	641	699	990	1555	850	1044	1192	1432	1387	1260	1500	1602	1480	1260	1409	1375	209	49	221	130	151	116	142	55	158	108	139	54	141	83	87	128	108	56	442	1157	165	314					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2004	40	33	20	82	41	16	20	16	9	15	25	105	116	37	14	77	66	10	41	88	61	168	90	34	36	56	120	91	27	11	10	15	83	59	25	41	86	77	43					
6	Число погашенных бюллетеней	19630	1003	726	661	1018	1004	724	736	1032	1149	938	1215	1245	932	1413	1006	964	799	171	110	191	89	161	134	64	29	96	72	150	29	78	47	38	159	53	39	327	617	228	183					
7	Число бюллетеней в переносных ящиках для голосования	2004	40	33	20	82	41	16	20	16	9	15	25	105	116	37	14	77	66	10	41	88	61	168	90	34	36	56	120	91	27	11	10	15	83	59	25	41	86	77	43					
8	Число бюллетеней в стационарных ящиках для голосования	24564	817	641	699	990	1532	850	1042	1192	1432	1387	1258	1497	1599	1479	1256	1407	1275	209	49	221	130	151	116	142	55	157	108	139	54	141	83	87	128	108	56	442	1157	165	313					
9	Число недействительных бюллетеней	357	4	10	7	33	24	14	13	11	23	24	16	23	15	15	7	36	14	2	4	2	6	1	5	3	1	2	0	2	0	1	0	2	6	2	2	7	9	0	11					
10	Число действительных бюллетеней	26211	853	664	712	1039	1549	852	1049	1197	1418	1378	1267	1579	1700	1501	1263	1448	1327	217	86	307	185	318	201	173	90	211	228	228	81	151	93	100	205	165	79	476	1234	242	345					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1358	60	50	50	70	70	50	50	60	80	70	70	70	70	80	60	70	70	12	6	16	10	15	10	7	4	10	10	10	3	7	4	4	10	6	3	24	55	15	17					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	179	9	4	2	4	22	9	10	4	10	10	7	14	14	9	6	6	6	2	0	3	0	3	1	3	0	1	1	2	0	2	1	1	1	0	0	0	8	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	141	10	5	4	3	9	2	5	4	8	2	3	10	5	5	5	4	8	2	5	3	1	0	1	2	1	1	0	2	1	2	3	4	2	1	2	7	3	1	5					
14	Число погашенных открепительных удостоверений	1179	51	46	48	66	48	41	40	56	70	60	63	56	56	71	54	64	64	10	6	13	10	12	9	4	4	9	9	8	3	5	3	3	9	6	3	24	47	13	15					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	251	9	10	8	7	18	5	12	10	16	14	13	10	13	11	7	8	7	1	0	3	3	3	2	0	0	7	0	0	0	1	8	0	2	1	1	14	12	7	8					
		0.94%	1.05%	1.48%	1.11%	0.65%	1.14%	0.57%	1.12%	0.82%	1.11%	0.99%	1.01%	0.62%	0.75%	0.72%	0.55%	0.53%	0.52%	0.45%	0.0%	0.97%	1.57%	0.94%	0.97%	0.0%	0.0%	3.28%	0.0%	0.0%	0.0%	0.65%	8.60%	0.0%	0.94%	0.59%	1.23%	2.89%	0.96%	2.89%	2.24%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	635	7	11	24	22	37	20	37	38	40	45	27	55	56	40	53	18	28	4	0	5	0	0	2	1	0	0	2	0	3	17	2	3	6	2	0	3	21	3	3					
		2.39%	0.81%	1.63%	3.33%	2.05%	2.35%	2.30%	3.48%	3.14%	2.77%	3.20%	2.10%	3.43%	3.26%	2.63%	4.17%	1.21%	2.08%	1.82%	0.0%	1.61%	0.0%	0.0%	0.97%	0.56%	0.0%	0.0%	0.87%	0.0%	3.70%	11.18%	2.15%	2.94%	2.84%	1.19%	0.0%	0.62%	1.68%	1.23%	0.84%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	545	15	14	22	36	31	19	26	28	21	28	34	31	21	16	19	29	34	6	3	6	1	5	6	4	2	6	7	4	2	2	4	2	1	3	0	9	24	6	18					
		2.05%	1.75%	2.07%	3.05%	3.35%	1.97%	2.19%	2.44%	2.31%	1.45%	1.99%	2.65%	1.93%	1.22%	1.05%	1.49%	1.95%	2.53%	2.73%	3.33%	1.94%	0.52%	1.56%	2.91%	2.27%	2.19%	2.81%	3.07%	1.73%	2.46%	1.31%	4.30%	1.96%	0.47%	1.79%	0.0%	1.86%	1.93%	2.47%	5.05%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	813	22	16	35	43	53	25	31	62	54	45	34	62	65	63	58	34	42	3	1	3	2	0	2	5	0	3	1	0	0	3	0	2	0	1	1	12	23	4	3					
		3.06%	2.56%	2.37%	4.86%	4.01%	3.36%	2.88%	2.91%	5.13%	3.74%	3.20%	2.65%	3.87%	3.79%	4.15%	4.56%	2.29%	3.13%	1.36%	1.11%	0.97%	1.04%	0.0%	0.97%	2.84%	0.0%	1.40%	0.43%	0.0%	0.0%	1.97%	0.0%	1.96%	0.0%	0.59%	1.23%	2.48%	1.85%	1.65%	0.84%					
22	"5. ""За Русь Святую"""	139	7	7	12	5	6	6	3	10	7	4	9	8	11	5	0	1	6	3	0	0	0	1	3	0	1	1	1	1	0	2	1	0	3	0	1	4	3	1	6					
		0.52%	0.81%	1.03%	1.66%	0.46%	0.38%	0.69%	0.28%	0.82%	0.48%	0.28%	0.70%	0.49%	0.64%	0.32%	0.0%	0.06%	0.44%	1.36%	0.0%	0.0%	0.0%	0.31%	1.45%	0.0%	1.09%	0.46%	0.43%	0.43%	0.0%	1.31%	1.07%	0.0%	1.42%	0.0%	1.23%	0.82%	0.24%	0.41%	1.68%					
23	"6. ""Объединенная Российская партия ""Русь"""	58	0	0	0	3	3	1	2	3	5	3	1	6	3	1	1	7	3	0	0	2	0	2	1	0	1	3	0	2	0	0	0	0	1	0	0	4	0	0	0					
		0.21%	0.0%	0.0%	0.0%	0.27%	0.19%	0.11%	0.18%	0.24%	0.34%	0.21%	0.07%	0.37%	0.17%	0.06%	0.07%	0.47%	0.22%	0.0%	0.0%	0.64%	0.0%	0.62%	0.48%	0.0%	1.09%	1.40%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.82%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	135	2	1	2	5	5	2	6	5	4	13	3	10	7	10	14	9	10	2	0	0	2	2	2	0	0	0	0	2	0	0	1	1	3	0	0	1	4	2	5					
		0.50%	0.23%	0.14%	0.27%	0.46%	0.31%	0.23%	0.56%	0.41%	0.27%	0.92%	0.23%	0.62%	0.40%	0.65%	1.10%	0.60%	0.74%	0.91%	0.0%	0.0%	1.04%	0.62%	0.97%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	1.07%	0.98%	1.42%	0.0%	0.0%	0.20%	0.32%	0.82%	1.40%					
25	"8. ""Народно-республиканская партия России"""	36	2	4	1	1	1	3	2	1	0	0	3	0	5	2	0	1	3	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0					
		0.13%	0.23%	0.59%	0.13%	0.09%	0.06%	0.34%	0.18%	0.08%	0.0%	0.0%	0.23%	0.0%	0.29%	0.13%	0.0%	0.06%	0.22%	0.45%	0.0%	0.32%	0.0%	0.31%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.20%	0.08%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	87	0	1	2	4	4	2	4	6	4	3	7	5	8	2	5	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	9	3	2					
		0.32%	0.0%	0.14%	0.27%	0.37%	0.25%	0.23%	0.37%	0.49%	0.27%	0.21%	0.54%	0.31%	0.46%	0.13%	0.39%	0.47%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	1.23%	0.20%	0.72%	1.23%	0.56%					
27	"10. ""Аграрная партия России"""	1307	30	34	30	28	58	18	24	31	33	36	32	44	57	51	32	38	24	24	9	55	20	73	35	50	26	38	57	33	9	24	0	8	48	35	4	11	112	10	26					
		4.91%	3.50%	5.04%	4.17%	2.61%	3.68%	2.07%	2.25%	2.56%	2.29%	2.56%	2.49%	2.74%	3.32%	3.36%	2.51%	2.56%	1.78%	10.95%	10.0%	17.79%	10.47%	22.88%	16.99%	28.40%	28.57%	17.84%	24.99%	14.34%	11.11%	15.78%	0.0%	7.84%	22.74%	20.95%	4.93%	2.27%	9.01%	4.13%	7.30%					
28	"11. ""Истинные патриоты России"""	20	1	0	1	0	1	0	2	0	0	7	0	1	1	0	1	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.11%	0.0%	0.13%	0.0%	0.06%	0.0%	0.18%	0.0%	0.0%	0.49%	0.0%	0.06%	0.05%	0.0%	0.07%	0.13%	0.0%	0.0%	0.0%	0.32%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	315	22	8	13	15	26	8	14	15	18	14	19	16	19	22	11	17	7	2	2	4	0	4	6	2	1	2	0	1	1	1	0	1	2	1	1	5	7	4	4					
