Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																		
Дата голосования: 18.09.2016																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Россошанская																																																																																		
																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																		
																																																																																		
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	71901	1798	2065	1713	1873	1717	1928	1909	1935	1823	1633	1880	1681	1734	1864	1730	1705	1484	1696	1737	1603	1623	1517	1566	1571	1712	1687	1557	1584	309	486	313	937	1026	439	1188	653	369	460	298	684	588	339	983	236	166	318	1022	506	126	1617	147	232	157	130	1424	336	237	237	302	265	1984	1845	64	669	556	403	311	525	277	237	175									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	69125	1700	1800	1600	1700	1600	1700	1800	1800	1700	1500	1800	1500	1600	1700	1600	1600	1400	1500	1600	1500	1500	1500	1500	1500	1600	1500	1500	1500	300	500	300	1000	1000	450	1200	650	400	450	300	700	600	350	1000	250	170	300	1000	500	125	1700	160	250	160	130	1400	350	250	250	310	250	1900	1850	70	700	550	450	350	550	300	250	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27257	575	654	603	653	545	655	685	709	789	623	797	642	642	733	663	633	409	589	597	572	566	568	526	516	605	531	541	466	122	251	158	386	558	263	450	257	133	272	50	307	204	216	312	117	67	146	360	173	42	753	71	73	71	55	532	164	82	48	148	133	746	1040	31	246	199	145	157	218	140	113	161									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6510	196	283	99	42	110	206	82	112	42	66	71	61	47	46	57	86	43	50	63	108	73	55	100	106	52	162	78	107	67	30	62	185	267	75	292	71	93	95	140	107	95	30	157	34	37	48	155	141	28	222	64	47	22	10	110	37	58	86	39	17	212	329	5	97	102	44	36	102	39	20	0									
6	Число погашенных избирательных бюллетеней	35358	929	863	898	1005	945	839	1033	979	869	811	932	797	911	921	880	881	948	861	940	820	861	877	874	878	943	807	881	927	111	219	80	429	175	112	458	322	174	83	110	286	301	104	531	99	66	106	485	186	55	725	25	130	67	65	758	149	110	116	123	100	942	481	34	357	249	261	157	230	121	117	439									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6510	196	283	99	42	110	206	82	112	42	66	71	61	47	46	57	86	43	50	63	108	73	55	100	106	52	162	78	107	67	30	62	185	267	75	292	71	93	95	140	107	95	30	157	34	37	48	155	141	28	222	64	47	22	10	110	37	58	86	39	17	212	329	5	97	102	44	36	102	39	20	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27256	575	654	603	653	545	655	685	709	789	623	797	642	642	733	663	633	409	589	597	571	566	568	526	516	605	531	541	466	122	251	158	386	558	263	450	257	133	272	50	307	204	216	312	117	67	146	360	173	42	753	71	73	71	55	532	164	82	48	148	133	746	1040	31	246	199	145	157	218	140	113	161									
9	Число недействительных избирательных бюллетеней	558	10	16	6	16	17	13	7	14	10	6	9	12	13	10	12	7	12	11	9	13	14	13	11	9	19	12	16	19	1	9	2	5	5	2	19	5	3	5	4	7	9	8	12	2	0	4	10	1	3	18	1	5	0	1	5	9	1	2	3	4	14	18	0	3	6	2	0	11	1	2	0									
10	Число действительных избирательных бюллетеней	33208	761	921	696	679	638	848	760	807	821	683	859	691	676	769	708	712	440	628	651	666	625	610	615	613	638	681	603	554	188	272	218	566	820	336	723	323	223	362	186	407	290	238	457	149	104	190	505	313	67	957	134	115	93	64	637	192	139	132	184	146	944	1351	36	340	295	187	193	309	178	131	161									
