Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Шекснинская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23947	510	1940	2030	1321	2507	2333	1720	1353	822	2192	485	99	100	298	130	162	132	303	88	220	69	529	94	586	545	365	304	267	350	78	207	327	260	1221									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21755	440	1760	1790	1200	2300	2130	1550	1200	750	1950	425	85	85	250	120	140	120	285	75	245	65	450	70	550	510	325	290	250	300	70	180	295	245	1255									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11290	248	1017	1053	569	1152	1011	752	471	346	917	200	37	49	140	61	32	42	153	35	113	43	188	53	312	277	167	83	119	127	40	79	147	104	1153									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1409	13	12	68	10	26	7	18	132	30	40	86	23	12	38	19	65	56	51	25	61	11	80	3	65	32	26	105	35	43	11	46	36	78	46									
6	Число погашенных избирательных бюллетеней	9056	179	731	669	621	1122	1112	780	597	374	993	139	25	24	72	40	43	22	81	15	71	11	182	14	173	201	132	102	96	130	19	55	112	63	56									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1409	13	12	68	10	26	7	18	132	30	40	86	23	12	38	19	65	56	51	25	61	11	80	3	65	32	26	105	35	43	11	46	36	78	46									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11288	248	1017	1051	569	1152	1011	752	471	346	917	200	37	49	140	61	32	42	153	35	113	43	188	53	312	277	167	83	119	127	40	79	147	104	1153									
9	Число недействительных избирательных бюллетеней	494	9	31	18	8	32	7	12	12	7	17	3	0	0	5	2	2	1	5	2	6	0	2	0	3	9	2	4	1	6	2	5	4	5	272									
10	Число действительных избирательных бюллетеней	12203	252	998	1101	571	1146	1011	758	591	369	940	283	60	61	173	78	95	97	199	58	168	54	266	56	374	300	191	184	153	164	49	120	179	177	927									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1015	20	50	50	50	50	100	50	20	20	50	30	10	10	40	15	10	15	40	15	60	15	20	5	50	30	20	20	20	20	10	10	20	20	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	638	5	45	47	26	44	43	23	12	17	18	30	1	5	11	11	1	7	33	8	59	12	6	1	48	23	6	20	14	6	0	1	3	20	32									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	449	20	22	46	10	20	19	11	30	10	19	43	10	6	16	5	10	6	18	7	10	6	14	15	12	4	3	5	8	6	3	4	7	8	16									
14	Число погашенных неиспользованных открепительных удостоверений	377	15	5	3	24	6	57	27	8	3	32	0	9	5	29	4	9	8	7	7	1	3	14	4	2	7	14	0	6	14	10	9	17	0	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	153	1	7	6	3	5	2	5	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	1	0	1	0	0	0	113									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	109	5	10	7	4	15	8	4	7	1	11	3	0	2	4	0	2	1	1	0	2	0	5	2	0	1	1	1	2	2	1	1	3	2	1									
		0.86%	1.92%	0.97%	0.63%	0.69%	1.27%	0.79%	0.52%	1.16%	0.27%	1.15%	1.05%	0.00%	3.28%	2.25%	0.00%	2.06%	1.02%	0.49%	0.00%	1.15%	0.00%	1.87%	3.57%	0.00%	0.32%	0.52%	0.53%	1.30%	1.18%	1.96%	0.80%	1.64%	1.10%	0.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	397	14	32	35	21	38	41	21	32	11	32	8	1	1	6	2	3	1	5	1	3	5	11	3	7	12	5	2	4	6	2	6	7	12	7									
		3.13%	5.36%	3.11%	3.13%	3.63%	3.23%	4.03%	2.73%	5.31%	2.93%	3.34%	2.80%	1.67%	1.64%	3.37%	2.50%	3.09%	1.02%	2.45%	1.67%	1.72%	9.26%	4.10%	5.36%	1.86%	3.88%	2.59%	1.06%	2.60%	3.53%	3.92%	4.80%	3.83%	6.59%	0.58%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	506	10	43	56	22	50	57	35	15	18	34	10	3	1	4	2	2	6	9	0	20	4	18	0	10	14	9	4	8	9	4	5	4	9	11									
		3.99%	3.83%	4.18%	5.00%	3.80%	4.24%	5.60%	4.55%	2.49%	4.79%	3.55%	3.50%	5.00%	1.64%	2.25%	2.50%	2.06%	6.12%	4.41%	0.00%	11.49%	7.41%	6.72%	0.00%	2.65%	4.53%	4.66%	2.13%	5.19%	5.29%	7.84%	4.00%	2.19%	4.95%	0.92%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4993	104	338	373	175	379	343	236	248	158	246	137	38	25	52	33	50	48	89	32	65	19	112	24	171	123	87	103	71	80	27	76	84	78	769									
		39.32%	39.85%	32.85%	33.33%	30.22%	32.17%	33.69%	30.65%	41.13%	42.02%	25.71%	47.90%	63.33%	40.98%	29.21%	41.25%	51.55%	48.98%	43.63%	53.33%	37.36%	35.19%	41.79%	42.86%	45.36%	39.81%	45.08%	54.79%	46.10%	47.06%	52.94%	60.80%	45.90%	42.86%	64.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	91	0	8	12	6	5	9	5	6	1	9	1	0	0	3	0	1	2	2	0	0	1	4	0	5	1	2	0	1	1	1	0	0	0	5									
		0.72%	0.00%	0.78%	1.07%	1.04%	0.42%	0.88%	0.65%	0.99%	0.27%	0.94%	0.35%	0.00%	0.00%	1.69%	0.00%	1.03%	2.04%	0.98%	0.00%	0.00%	1.85%	1.49%	0.00%	1.33%	0.32%	1.04%	0.00%	0.65%	0.59%	1.96%	0.00%	0.00%	0.00%	0.42%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	1	0	3	1	2	1	1	2	0	2	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	2									
		0.17%	0.38%	0.00%	0.27%	0.17%	0.17%	0.10%	0.13%	0.33%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	1.67%	1.15%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2393	51	176	200	124	238	215	165	135	81	221	60	10	22	47	20	27	23	27	16	39	9	35	16	91	76	34	41	23	23	8	17	42	28	53									
		18.85%	19.54%	17.10%	17.87%	21.42%	20.20%	21.12%	21.43%	22.39%	21.54%	23.09%	20.98%	16.67%	36.07%	26.40%	25.00%	27.84%	23.47%	13.24%	26.67%	22.41%	16.67%	13.06%	28.57%	24.14%	24.60%	17.62%	21.81%	14.94%	13.53%	15.69%	13.60%	22.95%	15.38%	4.42%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	70	5	3	16	2	12	7	4	1	1	3	3	1	0	0	0	0	1	3	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	4									
