Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Арзамасская																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100					
1	"Число избирателей, внесенных в список"	35820	1134	140	137	346	485	630	112	233	2006	1620	397	1226	517	1385	213	65	151	57	1325	1647	2043	1148	465	467	531	109	171	237	1851	625	1203	311	288	1037	808	143	584	525	609	43	58	192	105	90	351	379	385	622	165	124	484	122	710	1203	647	920	593	1384	126	136					
2	Число полученных избирательных бюллетеней	31795	1000	140	130	340	450	600	110	230	1700	1400	390	1100	500	1200	200	65	200	55	1000	1400	1600	1000	450	460	500	100	160	230	1500	600	1000	300	280	900	750	120	550	500	550	85	55	180	95	90	350	350	380	570	160	120	450	115	650	1000	600	850	580	1100	120	135					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18917	543	75	72	182	247	478	40	174	1128	843	151	629	277	506	119	39	99	31	698	705	901	658	235	217	252	53	76	97	1074	331	739	159	130	477	386	93	267	325	445	37	55	118	76	39	180	170	251	336	112	45	284	85	393	642	400	502	312	771	73	85					
5	"Число избирательных бюллетеней, выданных вне помещения"	1616	57	0	11	16	125	28	53	0	30	0	46	58	22	123	12	6	2	0	15	18	17	5	8	42	67	16	27	30	12	13	55	23	13	39	46	11	56	0	20	0	0	18	4	15	17	24	10	20	26	36	23	11	52	44	10	49	61	34	28	12					
6	Число погашенных избирательных бюллетеней	11262	400	65	47	142	78	94	17	56	542	557	193	413	201	571	69	20	99	24	287	677	682	337	207	201	181	31	57	103	414	256	206	118	137	384	318	16	227	175	85	48	0	44	15	36	153	156	119	214	22	39	143	19	205	314	190	299	207	295	19	38					
7	Число избирательных бюллетеней в переносных ящиках	1616	57	0	11	16	125	28	53	0	30	0	46	58	22	123	12	6	2	0	15	18	17	5	8	42	67	16	27	30	12	13	55	23	13	39	46	11	56	0	20	0	0	18	4	15	17	24	10	20	26	36	23	11	52	44	10	49	61	34	28	12					
8	Число бюллетеней в стационарных ящиках для голосования	18916	543	75	72	182	247	478	40	174	1128	843	151	629	277	506	119	39	99	31	698	705	901	658	235	217	252	53	76	97	1074	331	739	159	130	477	386	93	267	325	445	37	55	118	76	39	180	170	251	336	112	45	284	85	393	642	400	502	311	771	73	85					
9	Число недействительных избирательных бюллетеней	334	10	0	0	2	0	4	1	2	19	9	4	15	7	11	2	0	1	0	9	15	10	3	11	2	1	0	0	6	25	10	12	5	3	6	17	0	5	4	0	0	2	1	0	0	4	8	1	15	7	0	9	0	7	19	1	6	7	14	2	0					
10	Число действительных избирательных бюллетеней	20198	590	75	83	196	372	502	92	172	1139	834	193	672	292	618	129	45	100	31	704	708	908	660	232	257	318	69	103	121	1061	334	782	177	140	510	415	104	318	321	465	37	53	135	80	54	193	186	260	341	131	81	298	96	438	667	409	545	365	791	99	97					
