Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Новокузнецкая																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22760	563	210	565	131	309	426	343	406	510	299	564	411	619	667	529	378	507	201	424	364	425	224	334	1519	1773	842	293	134	233	107	489	84	83	233	128	48	155	287	523	367	582	587	399	143	557	254	553	311	593	627	638	141	159	270	239									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22625	575	200	585	125	300	430	330	420	495	300	560	400	620	640	540	380	510	195	420	370	410	220	340	1510	1750	850	290	125	235	100	490	80	85	225	125	50	155	290	535	370	580	570	390	140	550	250	540	305	590	635	640	145	160	260	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20297	524	194	544	60	283	359	265	369	448	261	525	363	533	556	463	304	326	158	303	276	323	188	291	1439	1691	801	282	121	222	90	468	80	79	213	113	48	126	263	490	278	533	540	371	132	490	244	499	301	549	613	613	105	104	250	233									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	764	17	6	21	6	12	10	61	17	46	36	10	6	26	9	15	8	24	7	24	48	70	8	10	16	16	22	3	2	5	2	15	0	0	7	0	0	16	9	11	3	32	18	8	0	27	5	5	0	11	4	11	2	5	10	2									
6	Число погашенных избирательных бюллетеней	1564	34	0	20	59	5	61	4	34	1	3	25	31	61	75	62	68	160	30	93	46	17	24	39	55	43	27	5	2	8	8	7	0	6	5	12	2	13	18	34	89	15	12	11	8	33	1	36	4	30	18	16	38	51	0	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	764	17	6	21	6	12	10	61	17	46	36	10	6	26	9	15	8	24	7	24	48	70	8	10	16	16	22	3	2	5	2	15	0	0	7	0	0	16	9	11	3	32	18	8	0	27	5	5	0	11	4	11	2	5	10	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20297	524	194	544	60	283	359	265	369	448	261	525	363	533	556	463	304	326	158	303	276	323	188	291	1439	1691	801	282	121	222	90	468	80	79	213	113	48	126	263	490	278	533	540	371	132	490	244	499	301	549	613	613	105	104	250	233									
9	Число недействительных избирательных бюллетеней	185	1	2	2	0	2	1	2	1	2	2	0	7	7	10	0	14	0	15	7	5	2	1	15	2	2	0	0	1	31	0	0	0	0	0	0	0	0	2	1	4	2	6	3	0	1	3	4	4	13	1	5	0	2	0	0									
10	Число действительных избирательных бюллетеней	20876	540	198	563	66	293	368	324	385	492	295	535	362	552	555	478	298	350	150	320	319	391	195	286	1453	1705	823	285	122	196	92	483	80	79	220	113	48	142	270	500	277	563	552	376	132	516	246	500	297	547	616	619	107	107	260	235									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	698	17	6	18	4	10	12	11	13	15	10	17	13	19	19	16	12	16	6	13	12	13	7	11	45	51	26	9	4	7	3	16	3	3	7	4	2	5	9	17	11	18	18	12	4	17	8	17	10	18	19	19	5	5	8	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	445	17	6	18	4	4	12	8	13	2	10	5	5	14	10	16	10	16	2	8	12	13	7	11	7	9	22	9	4	7	0	16	0	3	0	4	2	5	9	17	11	13	9	1	4	1	4	4	2	6	15	12	5	5	8	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	173	0	0	2	8	5	2	6	1	4	0	1	6	4	7	2	0	2	1	12	5	20	3	3	4	14	1	7	8	4	1	2	2	0	2	0	0	1	2	2	1	0	2	1	3	2	2	7	2	0	2	1	0	0	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	253	0	0	0	0	6	0	3	0	13	0	12	8	5	9	0	2	0	4	5	0	0	0	0	38	42	4	0	0	0	3	0	3	0	7	0	0	0	0	0	0	5	9	11	0	16	4	13	8	12	4	7	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	77	1	1	1	0	0	0	0	0	0	0	2	4	3	4	0	5	0	0	7	0	2	1	3	0	0	0	0	4	3	0	0	0	0	4	6	0	2	0	2	4	2	3	0	0	0	0	8	2	3	0	0	0	0	0	0									
		0.37%	0.18%	0.50%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	1.08%	0.54%	0.71%	0.00%	1.60%	0.00%	0.00%	2.14%	0.00%	0.51%	0.51%	0.99%	0.00%	0.00%	0.00%	0.00%	3.25%	1.32%	0.00%	0.00%	0.00%	0.00%	1.82%	5.31%	0.00%	1.41%	0.00%	0.40%	1.42%	0.35%	0.54%	0.00%	0.00%	0.00%	0.00%	1.59%	0.66%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	137	0	2	3	2	3	0	0	5	0	0	6	10	7	11	0	1	0	0	2	0	10	0	7	0	0	0	0	0	1	1	0	0	0	3	4	0	4	0	0	2	0	7	0	0	0	0	9	1	6	0	0	1	1	1	27									
		0.65%	0.00%	1.00%	0.53%	3.03%	1.02%	0.00%	0.00%	1.30%	0.00%	0.00%	1.12%	2.71%	1.25%	1.95%	0.00%	0.32%	0.00%	0.00%	0.61%	0.00%	2.54%	0.00%	2.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	1.09%	0.00%	0.00%	0.00%	1.36%	3.54%	0.00%	2.82%	0.00%	0.00%	0.71%	0.00%	1.25%	0.00%	0.00%	0.00%	0.00%	1.79%	0.33%	1.07%	0.00%	0.00%	0.93%	0.92%	0.38%	11.49%									
