Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    район Восточный															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №940	УИК №941	УИК №942	УИК №943									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7760	2046	1730	2911	1073									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5700	1600	1300	2000	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3370	845	777	1273	475									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	212	60	32	48	72									
6	Число погашенных избирательных бюллетеней	2118	695	491	679	253									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	212	60	32	48	72									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3357	844	776	1262	475									
9	Число недействительных избирательных бюллетеней	96	19	20	37	20									
10	Число действительных избирательных бюллетеней	3473	885	788	1273	527									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	49	11	10	18	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	41	11	5	18	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	171	15	20	114	22									
14	Число погашенных неиспользованных открепительных удостоверений	8	0	5	0	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	5	4	8	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	93	31	16	27	19									
		2.61%	3.43%	1.98%	2.06%	3.47%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	44	14	8	12	10									
		1.23%	1.55%	0.99%	0.92%	1.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	115	33	22	38	22									
		3.22%	3.65%	2.72%	2.90%	4.02%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1581	401	358	595	227									
		44.30%	44.36%	44.31%	45.42%	41.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	53	13	19	15	6									
		1.49%	1.44%	2.35%	1.15%	1.10%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	4	2	0	0									
		0.17%	0.44%	0.25%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	550	118	123	221	88									
		15.41%	13.05%	15.22%	16.87%	16.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	61	13	18	21	9									
		1.71%	1.44%	2.23%	1.60%	1.65%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	65	24	11	23	7									
		1.82%	2.65%	1.36%	1.76%	1.28%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	4	4	2	1									
		0.31%	0.44%	0.50%	0.15%	0.18%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	146	28	45	61	12									
		4.09%	3.10%	5.57%	4.66%	2.19%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	481	122	102	176	81									
		13.48%	13.50%	12.62%	13.44%	14.81%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	6	7	7	1									
		0.59%	0.66%	0.87%	0.53%	0.18%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	246	74	53	75	44									
		6.89%	8.19%	6.56%	5.73%	8.04%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
