Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Чишминская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №3372	УИК №3373	УИК №3374	УИК №3375	УИК №3376	УИК №3377	УИК №3378	УИК №3379	УИК №3380	УИК №3381	УИК №3382	УИК №3383	УИК №3384	УИК №3385	УИК №3386	УИК №3387	УИК №3388	УИК №3389	УИК №3390	УИК №3391	УИК №3392	УИК №3393	УИК №3394	УИК №3395	УИК №3396	УИК №3397	УИК №3398	УИК №3399	УИК №3400	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427					
1	"Число избирателей, внесенных в список избирателей"	37738	270	636	188	346	358	574	486	628	237	353	256	218	404	146	215	394	228	498	522	324	295	259	365	153	264	505	442	2093	1838	476	230	314	776	329	1392	507	452	284	327	299	334	347	268	963	1074	418	907	2129	939	658	2102	2209	1697	1285	1681	1846					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38745	283	624	183	353	363	579	503	650	248	356	262	217	421	153	235	416	226	509	571	340	319	252	365	162	299	519	458	2151	2000	499	244	347	792	340	1436	511	452	285	334	305	352	354	271	969	1077	427	907	2190	941	666	2164	2275	1718	1285	1711	1876					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	30873	241	467	167	326	172	424	397	603	212	305	238	197	351	139	193	320	184	388	350	291	269	241	318	91	191	370	415	1367	1288	352	168	255	721	324	1014	469	432	221	266	265	230	305	255	835	970	364	804	1875	901	609	1926	1789	1511	678	1512	1307					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2777	24	157	15	16	185	107	63	21	22	45	13	19	46	0	20	66	33	58	60	31	19	8	41	29	53	125	20	57	78	119	59	53	40	0	173	30	20	58	54	34	87	38	10	107	82	48	14	41	29	10	44	18	42	85	19	32					
6	Число погашенных избирательных бюллетеней	5095	18	0	1	11	6	48	43	26	14	6	11	1	24	14	22	30	9	63	161	18	31	3	6	42	55	24	23	727	634	28	17	39	31	16	249	12	0	6	14	6	35	11	6	27	25	15	89	274	11	47	194	468	165	522	180	537					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2777	24	157	15	16	185	107	63	21	22	45	13	19	46	0	20	66	33	58	60	31	19	8	41	29	53	125	20	57	78	119	59	53	40	0	173	30	20	58	54	34	87	38	10	107	82	48	14	41	29	10	44	18	42	85	19	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30822	241	467	167	326	172	424	397	603	212	305	238	197	351	139	193	309	184	388	350	291	269	241	318	91	191	370	415	1367	1285	352	168	255	721	324	1014	469	432	221	266	265	230	305	255	835	970	364	804	1875	901	609	1926	1771	1511	678	1493	1307					
9	Число недействительных избирательных бюллетеней	288	1	1	0	1	0	17	2	4	0	0	1	0	0	0	20	6	0	8	1	0	2	0	6	2	2	4	0	27	20	1	9	0	0	13	14	2	4	0	0	2	0	2	12	6	0	0	0	6	2	2	10	25	0	14	25	14					
10	Число действительных избирательных бюллетеней	33311	264	623	182	341	357	514	458	620	234	350	250	216	397	139	193	369	217	438	409	322	286	249	353	118	242	491	435	1397	1343	470	218	308	761	311	1173	497	448	279	320	297	317	341	253	936	1052	412	818	1910	928	617	1960	1764	1553	749	1487	1325					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	678	15	10	0	3	3	26	2	8	5	4	3	5	15	5	5	17	5	8	4	8	6	5	5	5	7	7	13	38	50	16	10	23	10	4	25	3	5	3	9	3	8	3	3	15	15	9	15	30	15	10	43	25	17	22	20	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	651	15	10	0	3	3	26	2	8	5	4	3	5	15	5	5	17	3	8	4	8	6	2	3	5	7	7	11	38	50	16	10	23	10	4	25	3	5	3	9	1	8	2	0	9	13	5	15	30	15	10	43	25	17	22	20	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	240	3	12	0	3	2	7	2	1	1	4	1	1	10	0	2	3	5	4	3	0	1	1	1	1	1	2	2	4	18	4	6	1	10	2	7	6	3	1	1	1	2	3	0	1	7	2	5	12	5	6	9	5	16	6	11	13					
14	Число погашенных неиспользованных открепительных удостоверений	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	6	2	4	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0					
