Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    Чишминская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №3383	УИК №3384	УИК №3385	УИК №3386	УИК №3387	УИК №3388	УИК №3389	УИК №3390	УИК №3391	УИК №3392	УИК №3393	УИК №3394	УИК №3395	УИК №3396	УИК №3397	УИК №3398	УИК №3399	УИК №3400	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441					
1	"Число избирателей, внесенных в списки избирателей"	36039	268	604	346	174	202	154	536	472	536	254	324	218	259	465	98	92	136	393	230	446	547	299	333	236	327	156	260	474	455	1810	1940	209	256	218	327	273	323	788	354	445	281	1270	326	139	338	291	442	2030	280	761	2112	896	347	2104	1373	1848	934	2174	1856					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	36227	259	616	348	174	198	149	524	482	532	246	319	223	268	461	99	94	137	394	222	462	562	302	350	238	331	153	260	472	453	1903	2045	227	272	233	371	274	323	797	348	445	281	1209	320	144	349	291	452	2063	278	784	2030	907	344	2139	1380	1810	899	2139	1842					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33395	243	586	325	161	149	142	380	449	498	215	281	201	239	443	97	83	131	333	209	413	509	278	277	222	308	153	225	456	441	1647	1789	149	230	202	249	273	228	714	328	431	275	1163	294	130	273	263	440	1930	267	736	1941	812	342	2016	1322	1754	864	2082	1804					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1604	16	0	13	13	45	7	136	19	21	24	34	13	17	18	0	9	5	53	10	33	29	15	48	11	10	0	24	12	0	76	54	55	21	11	71	0	83	61	0	14	6	46	26	7	57	28	0	52	11	25	66	42	2	52	8	47	24	18	6					
6	Число погашенных избирательных бюллетеней	1228	0	30	10	0	4	0	8	14	13	7	4	9	12	0	2	2	1	8	3	16	24	9	25	5	13	0	11	4	12	180	202	23	21	20	51	1	12	22	20	0	0	0	0	7	19	0	12	81	0	23	23	53	0	71	50	9	11	39	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1604	16	0	13	13	45	7	136	19	21	24	34	13	17	18	0	9	5	53	10	33	29	15	48	11	10	0	24	12	0	76	54	55	21	11	71	0	83	61	0	14	6	46	26	7	57	28	0	52	11	25	66	42	2	52	8	47	24	18	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33395	243	586	325	161	149	142	380	449	498	215	281	201	239	443	97	83	131	333	209	413	509	278	277	222	308	153	225	456	441	1647	1789	149	230	202	249	273	228	714	328	431	275	1163	294	130	273	263	440	1930	267	736	1941	812	342	2016	1322	1754	864	2082	1804					
9	Число недействительных избирательных бюллетеней	250	3	0	0	4	0	0	0	0	3	0	2	0	1	3	0	0	1	5	2	1	0	0	12	1	1	10	34	0	0	0	0	0	0	5	1	0	0	1	1	47	24	0	1	0	0	0	0	3	0	0	9	0	0	6	4	0	0	12	53					
10	Число действительных избирательных бюллетеней	34749	256	586	338	170	194	149	516	468	516	239	313	214	255	458	97	92	135	381	217	445	538	293	313	232	317	143	215	468	441	1723	1843	204	251	208	319	273	311	774	327	398	257	1209	319	137	330	291	440	1979	278	761	1998	854	344	2062	1326	1801	888	2088	1757					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	790	15	18	5	5	1	5	26	5	5	5	5	5	5	6	5	0	0	10	5	18	10	5	5	5	5	2	5	8	15	80	79	15	15	15	40	5	5	30	10	5	1	15	3	5	10	5	2	20	2	10	31	14	10	45	21	35	15	18	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	760	15	18	5	1	1	5	26	5	5	5	5	4	4	6	1	0	0	8	5	18	7	5	5	5	5	2	5	8	12	80	79	15	15	15	40	0	5	30	10	4	1	15	3	4	8	3	2	20	2	10	31	13	10	45	21	35	15	18	20					
