Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Перелюбская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11993	993	873	919	784	1001	568	558	321	390	161	598	526	156	344	119	711	389	248	277	639	765	192	461									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12600	1040	960	1010	795	885	630	660	330	390	160	640	540	150	405	150	735	400	280	280	690	780	195	495									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6326	392	335	393	283	408	334	388	261	340	139	271	366	62	207	94	369	237	244	179	352	356	130	186									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	812	33	4	10	50	14	75	25	10	18	0	23	67	79	35	18	106	18	4	28	51	62	27	55									
6	Число погашенных избирательных бюллетеней	5462	615	621	607	462	463	221	247	59	32	21	346	107	9	163	38	260	145	32	73	287	362	38	254									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	812	33	4	10	50	14	75	25	10	18	0	23	67	79	35	18	106	18	4	28	51	62	27	55									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6326	392	335	393	283	408	334	388	261	340	139	271	366	62	207	94	369	237	244	179	352	356	130	186									
9	Число недействительных избирательных бюллетеней	158	32	13	19	7	5	3	13	1	0	0	10	5	0	6	0	12	6	2	0	11	8	0	5									
10	Число действительных избирательных бюллетеней	6980	393	326	384	326	417	406	400	270	358	139	284	428	141	236	112	463	249	246	207	392	410	157	236									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	402	25	25	25	25	25	51	10	13	5	5	15	10	5	40	30	16	5	5	2	40	10	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	320	12	8	6	12	7	51	10	13	5	5	15	10	5	40	30	16	5	5	2	40	10	5	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	3	5	0	2	2	1	1	1	1	1	1	1	0	2	0	2	2	5	1	3	3	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	82	13	17	19	13	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	2	5	4	4	2	0	2	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	42	2	4	11	0	4	3	2	2	0	0	0	0	0	0	0	5	0	3	0	4	2	0	0									
		0.59%	0.47%	1.18%	2.73%	0.00%	0.95%	0.73%	0.48%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.05%	0.00%	1.21%	0.00%	0.99%	0.48%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	136	13	8	10	1	7	3	2	5	7	1	13	9	0	1	1	15	3	10	4	9	7	4	3									
		1.91%	3.06%	2.36%	2.48%	0.30%	1.66%	0.73%	0.48%	1.85%	1.96%	0.72%	4.42%	2.08%	0.00%	0.41%	0.89%	3.16%	1.18%	4.03%	1.93%	2.23%	1.67%	2.55%	1.24%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	69	5	10	8	0	11	3	3	3	3	0	1	1	0	1	0	4	0	7	0	4	3	0	2									
		0.97%	1.18%	2.95%	1.99%	0.00%	2.61%	0.73%	0.73%	1.11%	0.84%	0.00%	0.34%	0.23%	0.00%	0.41%	0.00%	0.84%	0.00%	2.82%	0.00%	0.99%	0.72%	0.00%	0.83%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4998	207	166	186	251	229	344	331	228	312	109	184	345	134	174	105	310	192	187	183	246	293	138	144									
		70.02%	48.71%	48.97%	46.15%	75.38%	54.27%	84.11%	80.15%	84.13%	87.15%	78.42%	62.59%	79.68%	95.04%	71.90%	93.75%	65.26%	75.29%	75.40%	88.41%	61.04%	70.10%	87.90%	59.75%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	25	2	2	6	1	3	0	0	1	0	0	3	0	0	1	1	3	0	0	1	0	1	0	0									
		0.35%	0.47%	0.59%	1.49%	0.30%	0.71%	0.00%	0.00%	0.37%	0.00%	0.00%	1.02%	0.00%	0.00%	0.41%	0.89%	0.63%	0.00%	0.00%	0.48%	0.00%	0.24%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0									
		0.07%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	852	81	78	102	29	86	23	30	18	10	21	31	32	3	24	2	64	27	19	8	74	56	8	26									
		11.94%	19.06%	23.01%	25.31%	8.71%	20.38%	5.62%	7.26%	6.64%	2.79%	15.11%	10.54%	7.39%	2.13%	9.92%	1.79%	13.47%	10.59%	7.66%	3.86%	18.36%	13.40%	5.10%	10.79%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	4	0	1	0	0	3	3	0	0	0	1	7	0	0	0	3	0	0	0	0	1	0	3									
		0.36%	0.94%	0.00%	0.25%	0.00%	0.00%	0.73%	0.73%	0.00%	0.00%	0.00%	0.34%	1.62%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	1.24%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	18	2	1	0	0	5	0	0	0	0	0	3	0	0	0	0	4	0	0	0	3	0	0	0									
		0.25%	0.47%	0.29%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	0.00%	0.00%	1.02%	0.00%	0.00%	0.00%	0.00%	0.84%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	2	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	1	1	0	0									
		0.17%	0.47%	0.29%	0.25%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.34%	0.23%	0.00%	0.41%	0.00%	0.21%	0.00%	0.40%	0.00%	0.25%	0.24%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	32	5	2	4	0	4	3	1	0	0	0	1	0	0	2	0	2	0	0	0	3	4	0	1									
		0.45%	1.18%	0.59%	0.99%	0.00%	0.95%	0.73%	0.24%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.83%	0.00%	0.42%	0.00%	0.00%	0.00%	0.74%	0.96%	0.00%	0.41%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	677	62	50	41	42	60	21	22	10	24	7	40	30	4	29	3	41	22	16	11	42	42	6	52									
