Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Малмыжская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК  753					
1	"Число избирателей, внесенных в списки"	22852	647	540	293	853	274	572	950	892	149	144	559	143	464	186	248	661	1097	783	417	374	332	1079	252	1047	368	590	639	678	343	199	268	902	1042	890	960	876	932	1080	129					
2	"Число бюллетеней, полученных участковыми комиссиями"	23036	1000	500	250	900	270	600	1000	900	150	150	600	150	450	200	250	700	1000	716	400	400	400	1000	300	1000	400	600	600	600	300	200	300	1000	1000	900	900	900	900	1000	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13508	612	364	185	409	80	195	611	531	85	109	325	91	230	140	172	445	578	415	296	228	218	603	162	567	204	392	381	399	201	130	178	513	609	475	561	553	557	593	111					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1709	35	18	10	63	128	205	21	32	19	20	71	23	48	24	23	43	45	86	21	36	28	77	13	141	61	51	35	19	15	18	13	17	26	41	26	53	71	33	0					
6	Число погашенных бюллетеней	7819	353	118	55	428	62	200	368	337	46	21	204	36	172	36	55	212	377	215	83	136	154	320	125	292	135	157	184	182	84	52	109	470	365	384	313	294	272	374	39					
7	Число бюллетеней в переносных ящиках для голосования	1709	35	18	10	63	128	205	21	32	19	20	71	23	48	24	23	43	45	86	21	36	28	77	13	141	61	51	35	19	15	18	13	17	26	41	26	53	71	33	0					
8	Число бюллетеней в стационарных ящиках для голосования	13506	612	364	185	409	80	195	611	531	85	109	325	91	230	140	172	445	578	415	296	228	218	603	162	567	204	392	381	399	201	130	178	513	607	475	561	553	557	593	111					
9	Число недействительных бюллетеней	250	7	8	0	11	0	6	10	3	7	0	6	1	3	2	3	12	5	13	3	0	3	6	1	9	4	8	12	9	8	2	1	17	5	13	10	8	9	18	7					
10	Число действительных бюллетеней	14965	640	374	195	461	208	394	622	560	97	129	390	113	275	162	192	476	618	488	314	264	243	674	174	699	261	435	404	409	208	146	190	513	628	503	577	598	619	608	104					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	289	9	5	5	10	10	7	15	5	5	5	5	5	5	5	5	10	5	10	5	5	5	15	5	15	5	5	5	15	5	5	5	10	10	10	10	10	13	5	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	63	2	1	0	0	5	4	2	0	0	0	0	0	0	3	0	1	0	1	0	1	0	5	0	6	0	2	1	0	0	0	1	3	7	1	8	6	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	4	0	3	2	0	5	3	0	2	1	3	0	3	0	1	0	1	2					
14	Число погашенных открепительных удостоверений	226	7	4	5	10	5	3	13	5	5	5	5	5	5	2	5	9	5	9	5	4	5	10	5	9	5	3	4	15	5	5	4	7	3	9	2	4	11	4	0					
15	Число открепительных удостоверений выданных ТИК	10	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
