Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Радищевская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9990	1049	742	933	952	471	471	340	105	271	516	63	225	229	64	98	1203	629	217	521	104	233	206	202	59	87									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10484	1100	750	950	1000	500	550	370	117	290	500	69	240	260	74	110	1200	650	220	560	115	240	240	215	66	98									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7086	721	509	627	641	357	349	269	85	218	248	44	172	168	48	77	907	394	155	401	91	195	159	130	50	71									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1070	73	56	108	61	50	84	35	5	21	50	12	39	27	9	9	93	127	26	62	8	22	35	46	4	8									
6	Число погашенных избирательных бюллетеней	2328	306	185	215	298	93	117	66	27	51	202	13	29	65	17	24	200	129	39	97	16	23	46	39	12	19									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1070	73	56	108	61	50	84	35	5	21	50	12	39	27	9	9	93	127	26	62	8	22	35	46	4	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7086	721	509	627	641	357	349	269	85	218	248	44	172	168	48	77	907	394	155	401	91	195	159	130	50	71									
9	Число недействительных избирательных бюллетеней	40	3	4	4	0	2	4	0	0	2	0	0	2	3	0	0	12	2	0	0	0	0	1	1	0	0									
10	Число действительных избирательных бюллетеней	8116	791	561	731	702	405	429	304	90	237	298	56	209	192	57	86	988	519	181	463	99	217	193	175	54	79									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	830	50	40	40	50	40	80	40	10	20	30	10	20	30	10	10	80	40	20	80	20	30	30	30	10	10									
