Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Седельниковская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №1555	УИК №1556	УИК №1557	УИК №1559	УИК №1561	УИК №1562	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8282	201	96	351	689	175	163	185	104	122	203	151	340	66	70	72	240	122	65	265	710	751	691	747	799	755	149									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8450	208	107	365	720	183	175	188	109	123	217	161	343	67	74	74	258	130	68	274	720	740	690	750	800	760	146									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4700	128	64	258	437	106	120	116	66	82	146	104	274	58	63	69	151	69	40	151	330	355	369	286	338	410	110									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	591	24	17	44	51	25	23	11	7	9	23	18	5	0	0	0	12	13	6	36	42	47	52	65	27	24	10									
6	Число погашенных избирательных бюллетеней	3159	56	26	63	232	52	32	61	36	32	48	39	64	9	11	5	95	48	22	87	348	338	269	399	435	326	26									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	591	24	17	44	51	25	23	11	7	9	23	18	5	0	0	0	12	13	6	36	42	47	52	65	27	24	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4700	128	64	258	437	106	120	116	66	82	146	104	274	58	63	69	151	69	40	151	330	355	369	286	338	410	110									
9	Число недействительных избирательных бюллетеней	112	4	2	0	5	7	4	5	3	2	1	0	4	1	0	1	6	0	3	3	13	13	13	10	5	7	0									
10	Число действительных избирательных бюллетеней	5179	148	79	302	483	124	139	122	70	89	168	122	275	57	63	68	157	82	43	184	359	389	408	341	360	427	120									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	247	4	5	10	30	4	7	7	2	2	10	5	7	2	2	2	14	4	2	6	20	20	20	20	20	20	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	136	1	1	9	30	4	7	4	2	0	9	5	1	0	0	0	14	4	2	0	5	5	7	8	8	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	2	2	1	1	1	1	5	1	1	3	1	0	1	1	1	1	1	1	2	4	1	0	3	1	4	1									
14	Число погашенных неиспользованных открепительных удостоверений	111	3	4	1	0	0	0	3	0	2	1	0	6	2	2	2	0	0	0	6	15	15	13	12	12	10	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	5	1	1	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	1	0	2	10	0	1	2	1	0	4	0	2	0	0	0	0	0	1	2	1	3	2	8	1	3	1									
		0.85%	0.66%	0.00%	0.66%	2.05%	0.00%	0.70%	1.57%	1.37%	0.00%	2.37%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	2.17%	1.07%	0.27%	0.75%	0.48%	2.28%	0.27%	0.69%	0.83%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	248	6	2	22	30	8	4	3	3	5	7	2	10	4	0	2	7	2	1	16	20	16	22	16	20	10	10									
		4.69%	3.95%	2.47%	7.28%	6.15%	6.11%	2.80%	2.36%	4.11%	5.49%	4.14%	1.64%	3.58%	6.90%	0.00%	2.90%	4.29%	2.44%	2.17%	8.56%	5.38%	3.98%	5.23%	4.56%	5.48%	2.30%	8.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	73	0	0	1	3	4	1	2	0	1	5	2	8	0	0	2	7	0	0	0	12	3	5	7	4	6	0									
		1.38%	0.00%	0.00%	0.33%	0.61%	3.05%	0.70%	1.57%	0.00%	1.10%	2.96%	1.64%	2.87%	0.00%	0.00%	2.90%	4.29%	0.00%	0.00%	0.00%	3.23%	0.75%	1.19%	1.99%	1.10%	1.38%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2319	91	50	194	238	48	72	53	32	66	87	66	115	38	41	31	88	44	29	66	115	135	163	127	138	157	35									
		43.83%	59.87%	61.73%	64.24%	48.77%	36.64%	50.35%	41.73%	43.84%	72.53%	51.48%	54.10%	41.22%	65.52%	65.08%	44.93%	53.99%	53.66%	63.04%	35.29%	30.91%	33.58%	38.72%	36.18%	37.81%	36.18%	29.17%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	1	0	0	1	1	1	0	0	0	3	1	0	0	0	0	1	0	0	1	0	2	7	1	1	1	0									
		0.42%	0.66%	0.00%	0.00%	0.20%	0.76%	0.70%	0.00%	0.00%	0.00%	1.78%	0.82%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.53%	0.00%	0.50%	1.66%	0.28%	0.27%	0.23%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	4	1	1	0	1									
		0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.59%	0.00%	0.36%	0.00%	1.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.95%	0.28%	0.27%	0.00%	0.83%									
