Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Рузская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578					
1	"Число избирателей, внесенных в список избирателей"	55647	2021	2282	2469	1267	1802	1885	372	1984	1939	1246	757	1695	2017	1910	1808	1895	1381	1495	485	686	749	214	2219	1296	514	1229	2409	1097	321	1360	223	2871	2088	1623	1191	2564	732	1551					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51320	1800	2100	2300	1100	1700	1800	350	1900	1800	1100	700	1600	1900	1800	1700	1800	1300	1400	450	650	700	210	2100	1100	450	1100	2200	1000	300	1300	210	2600	1700	1400	1100	2400	700	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25004	940	1292	1268	627	986	939	198	942	884	556	354	762	993	810	667	772	623	722	200	339	364	74	648	429	212	452	869	505	129	630	207	1226	1107	780	552	1090	367	489					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1881	104	11	25	23	25	50	11	89	27	16	8	8	13	8	21	29	47	68	32	55	41	130	87	131	44	89	114	23	24	50	0	64	61	42	65	89	35	122					
6	Число погашенных избирательных бюллетеней	24435	756	797	1007	450	689	811	141	869	889	528	338	830	894	982	1012	999	630	610	218	256	295	6	1365	540	194	559	1217	472	147	620	3	1310	532	578	483	1221	298	889					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1880	103	11	25	23	25	50	11	89	27	16	8	8	13	8	21	29	47	68	32	55	41	130	87	131	44	89	114	23	24	50	0	64	61	42	65	89	35	122					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24970	940	1291	1268	627	986	936	198	942	883	556	353	761	989	810	665	769	623	722	190	338	364	74	648	429	212	452	869	503	129	630	207	1225	1104	780	552	1089	367	489					
9	Число недействительных избирательных бюллетеней	824	26	37	27	27	37	25	8	26	32	16	6	30	28	25	19	29	17	19	5	24	18	9	22	15	5	16	24	16	5	28	11	34	27	36	18	39	12	26					
10	Число действительных избирательных бюллетеней	26026	1017	1265	1266	623	974	961	201	1005	878	556	355	739	974	793	667	769	653	771	217	369	387	195	713	545	251	525	959	510	148	652	196	1255	1138	786	599	1139	390	585					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1040	30	50	40	30	30	30	10	30	30	30	15	30	40	30	30	30	30	45	10	10	25	0	40	30	10	30	40	30	10	30	0	35	30	30	30	40	20	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	659	27	43	33	9	21	21	9	30	15	9	11	14	21	15	15	11	27	38	4	10	15	0	22	22	2	14	40	14	3	8	0	27	22	22	16	15	14	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	979	47	68	25	6	18	25	12	27	18	50	12	10	4	6	12	12	20	33	22	22	11	0	22	72	14	18	49	31	9	21	10	23	147	38	18	32	8	7					
14	Число погашенных неиспользованных открепительных удостоверений	381	3	7	7	21	9	9	1	0	15	21	4	16	19	15	15	19	3	7	6	0	10	0	18	8	8	16	0	16	7	22	0	8	8	8	14	25	6	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	0	2	1	3	1	1	0	2	0	1	2	1	1	1	1	0	1	0	2	0	0	0	3	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4650	141	217	226	91	156	152	34	243	224	119	81	183	225	192	144	155	86	105	23	60	60	30	110	61	40	83	160	80	26	97	34	226	200	142	84	184	52	124					
		17.32%	13.52%	16.67%	17.48%	14.00%	15.43%	15.42%	16.27%	23.57%	24.62%	20.80%	22.44%	23.80%	22.46%	23.47%	20.99%	19.42%	12.84%	13.29%	10.36%	15.27%	14.81%	14.71%	14.97%	10.89%	15.63%	15.34%	16.28%	15.21%	16.99%	14.26%	16.43%	17.53%	17.17%	17.27%	13.61%	15.62%	12.94%	20.29%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5029	214	228	207	116	175	165	43	159	163	96	77	144	172	154	125	152	132	214	60	47	72	18	165	119	41	112	160	121	34	129	48	250	244	148	115	221	81	108					
