Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Наровчатская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509					
1	"Число избирателей, внесенных в списки"	10665	79	75	470	426	152	278	64	261	599	62	531	226	97	412	153	640	159	151	210	244	106	152	263	165	158	249	161	312	1927	1468	284	131					
2	"Число бюллетеней, полученных участковыми комиссиями"	10590	78	71	443	426	152	282	62	263	593	62	531	226	97	411	150	640	157	148	208	244	105	153	262	165	158	249	158	312	1901	1472	284	127					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7392	53	56	283	299	99	172	47	134	367	50	436	175	86	298	103	411	138	142	203	213	75	139	249	150	133	207	135	219	1145	843	231	101					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	482	6	7	58	20	38	45	9	22	24	0	5	0	0	12	7	13	0	0	0	15	13	11	0	0	0	23	12	35	40	53	6	8					
6	Число погашенных бюллетеней	2716	19	8	102	107	15	65	6	107	202	12	90	51	11	101	40	216	19	6	5	16	17	3	13	15	25	19	11	58	716	576	47	18					
7	Число бюллетеней в переносных ящиках для голосования	482	6	7	58	20	38	45	9	22	24	0	5	0	0	12	7	13	0	0	0	15	13	11	0	0	0	23	12	35	40	53	6	8					
8	Число бюллетеней в стационарных ящиках для голосования	7392	53	56	283	299	99	172	47	134	367	50	436	175	86	298	103	411	138	142	203	213	75	139	249	150	133	207	135	219	1145	843	231	101					
9	Число недействительных бюллетеней	201	0	0	2	17	0	1	1	4	18	3	4	0	3	26	5	4	15	6	2	8	4	3	12	0	0	1	7	14	21	17	3	0					
10	Число действительных бюллетеней	7673	59	63	339	302	137	216	55	152	373	47	437	175	83	284	105	420	123	136	201	220	84	147	237	150	133	229	140	240	1164	879	234	109					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	140	1	1	5	5	2	4	1	5	7	1	7	3	2	5	2	8	2	2	3	3	2	2	3	2	2	3	2	4	25	20	4	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	33	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	13	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	1	1	1	0	0	1	2	0	4	0	0	0	1	1	2	1	1	1	1	1	1	0	1	0	0	0	1	0	4	1	1	0					
14	Число погашенных открепительных удостоверений	107	1	1	5	5	1	0	1	5	6	1	7	3	2	5	2	8	2	2	3	2	2	2	3	2	2	3	2	4	12	7	4	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
