Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Дальнегорская городская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38824	2005	853	1195	1871	2123	1436	1420	1394	1924	1920	2015	2107	1959	2046	1828	1815	1983	2344	2055	1136	2214	1181									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35550	1850	750	1100	1750	1950	1300	1300	1300	1750	1750	1850	1900	1800	1850	1700	1700	1800	2150	1850	1050	2000	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13095	721	287	384	607	732	529	474	503	686	566	741	768	572	648	652	630	675	703	606	412	702	497									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	424	61	10	18	12	8	18	5	5	7	9	13	56	14	10	5	3	8	16	10	10	85	41									
6	Число погашенных избирательных бюллетеней	22031	1068	453	698	1131	1210	753	821	792	1057	1175	1096	1076	1214	1192	1043	1067	1117	1431	1234	628	1213	562									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	424	61	10	18	12	8	18	5	5	7	9	13	56	14	10	5	3	8	16	10	10	85	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13085	720	287	383	607	730	529	474	502	686	566	741	767	570	648	650	630	675	703	606	412	702	497									
9	Число недействительных избирательных бюллетеней	641	48	11	18	21	40	23	26	25	26	29	30	31	20	34	23	25	44	26	31	26	53	31									
10	Число действительных избирательных бюллетеней	12868	733	286	383	598	698	524	453	482	667	546	724	792	564	624	632	608	639	693	585	396	734	507									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	625	50	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	50	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	171	6	3	10	5	5	12	5	7	11	14	12	17	9	12	5	8	9	2	4	2	6	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	132	2	7	7	3	6	9	4	6	11	5	12	8	10	8	3	2	8	2	5	5	5	4									
14	Число погашенных неиспользованных открепительных удостоверений	454	44	22	15	20	20	13	20	18	14	11	13	8	16	13	20	17	16	23	21	23	44	43									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	2	0	2	3	6	2	4	4	5	2	2	5	2	5	0	1	1	4	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	177	15	4	4	15	3	6	8	5	8	12	13	12	5	17	11	4	7	8	8	2	9	1									
		1.31%	1.92%	1.35%	0.99%	2.42%	0.41%	1.10%	1.67%	0.99%	1.15%	2.09%	1.72%	1.46%	0.86%	2.58%	1.68%	0.63%	1.02%	1.11%	1.30%	0.47%	1.14%	0.19%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	657	38	17	19	23	37	31	31	17	30	33	40	33	23	34	27	39	37	35	31	20	39	23									
		4.86%	4.87%	5.72%	4.74%	3.72%	5.01%	5.67%	6.47%	3.35%	4.33%	5.74%	5.31%	4.01%	3.94%	5.17%	4.12%	6.16%	5.42%	4.87%	5.03%	4.74%	4.96%	4.28%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	577	35	10	8	31	31	19	27	14	34	31	29	46	21	21	35	29	23	29	36	20	25	23									
		4.27%	4.48%	3.37%	1.99%	5.01%	4.20%	3.47%	5.64%	2.76%	4.91%	5.39%	3.85%	5.59%	3.60%	3.19%	5.34%	4.58%	3.37%	4.03%	5.84%	4.74%	3.18%	4.28%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3765	238	91	112	141	214	160	109	125	181	142	223	257	159	180	164	150	175	172	156	138	261	217									
		27.87%	30.47%	30.64%	27.93%	22.78%	28.99%	29.25%	22.76%	24.65%	26.12%	24.70%	29.58%	31.23%	27.23%	27.36%	25.04%	23.70%	25.62%	23.92%	25.32%	32.70%	33.16%	40.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	83	8	1	1	3	6	3	1	6	7	1	3	4	2	1	11	3	3	4	7	0	3	5									
		0.61%	1.02%	0.34%	0.25%	0.48%	0.81%	0.55%	0.21%	1.18%	1.01%	0.17%	0.40%	0.49%	0.34%	0.15%	1.68%	0.47%	0.44%	0.56%	1.14%	0.00%	0.38%	0.93%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	1	1	0	0	1	2	0	2	3	0	0	1	0	1	0	1	1	2	0	1	4	1									
		0.16%	0.13%	0.34%	0.00%	0.00%	0.14%	0.37%	0.00%	0.39%	0.43%	0.00%	0.00%	0.12%	0.00%	0.15%	0.00%	0.16%	0.15%	0.28%	0.00%	0.24%	0.51%	0.19%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3047	178	69	107	159	145	112	109	121	168	125	161	181	124	159	154	158	172	178	150	76	135	106									
		22.56%	22.79%	23.23%	26.68%	25.69%	19.65%	20.48%	22.76%	23.87%	24.24%	21.74%	21.35%	21.99%	21.23%	24.16%	23.51%	24.96%	25.18%	24.76%	24.35%	18.01%	17.15%	19.70%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	70	5	3	0	1	3	3	3	5	2	0	8	4	2	3	4	6	3	6	3	2	2	2									
		0.52%	0.64%	1.01%	0.00%	0.16%	0.41%	0.55%	0.63%	0.99%	0.29%	0.00%	1.06%	0.49%	0.34%	0.46%	0.61%	0.95%	0.44%	0.83%	0.49%	0.47%	0.25%	0.37%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	126	4	2	9	10	4	6	6	4	10	4	8	4	9	8	4	4	8	8	1	2	6	5									
		0.93%	0.51%	0.67%	2.24%	1.62%	0.54%	1.10%	1.25%	0.79%	1.44%	0.70%	1.06%	0.49%	1.54%	1.22%	0.61%	0.63%	1.17%	1.11%	0.16%	0.47%	0.76%	0.93%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	0	1	1	0	1	0	0	2	3	1	0	1	2	0	0	1	0	1	1	0	2	2									
		0.14%	0.00%	0.34%	0.25%	0.00%	0.14%	0.00%	0.00%	0.39%	0.43%	0.17%	0.00%	0.12%	0.34%	0.00%	0.00%	0.16%	0.00%	0.14%	0.16%	0.00%	0.25%	0.37%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	186	7	3	3	8	12	7	7	8	6	13	4	13	14	15	12	8	12	12	6	2	11	3									
		1.38%	0.90%	1.01%	0.75%	1.29%	1.63%	1.28%	1.46%	1.58%	0.87%	2.26%	0.53%	1.58%	2.40%	2.28%	1.83%	1.26%	1.76%	1.67%	0.97%	0.47%	1.40%	0.56%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3363	155	68	96	172	208	152	124	140	178	161	191	187	163	154	172	170	160	183	149	99	191	90									
		24.89%	19.85%	22.90%	23.94%	27.79%	28.18%	27.79%	25.89%	27.61%	25.69%	28.00%	25.33%	22.72%	27.91%	23.40%	26.26%	26.86%	23.43%	25.45%	24.19%	23.46%	24.27%	16.73%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	49	1	0	3	5	3	0	2	1	3	3	3	1	5	0	7	2	0	2	3	2	1	2									
		0.36%	0.13%	0.00%	0.75%	0.81%	0.41%	0.00%	0.42%	0.20%	0.43%	0.52%	0.40%	0.12%	0.86%	0.00%	1.07%	0.32%	0.00%	0.28%	0.49%	0.47%	0.13%	0.37%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	727	48	16	20	30	30	23	26	32	34	20	41	48	35	31	31	33	38	53	34	32	45	27									
