Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Междуреченская городская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	77997	851	1151	1222	2220	1819	1165	1870	1540	1867	1863	2075	1950	1459	1523	1672	183	729	385	370	501	146	1305	609	1033	1955	2099	2174	2269	2016	2372	1937	1794	2224	2503	1758	1427	2265	2520	2765	2831	1639	1405	1998	1386	2342	1444	1293	2073									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	78000	850	1150	1220	2210	1820	1170	1875	1545	1865	1860	2065	1950	1460	1520	1675	185	735	390	375	505	150	1305	615	1030	1960	2090	2170	2270	2020	2370	1940	1795	2225	2500	1760	1430	2265	2520	2750	2830	1640	1405	2000	1385	2340	1440	1290	2080									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	62923	711	951	1064	1899	1510	972	1595	1144	1488	1406	1788	1702	1277	1222	1277	154	565	291	311	350	65	1040	541	888	1440	1472	1824	1838	1561	1942	1686	1409	1938	1897	1524	1258	1683	1889	1977	2472	1355	1097	1531	1099	1889	1088	1077	1766									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2672	32	44	29	36	27	15	33	215	131	61	37	48	17	41	69	18	27	37	7	99	71	131	10	21	145	297	57	53	56	61	15	23	37	17	39	15	11	42	173	5	30	31	72	24	38	103	45	27									
6	Число погашенных избирательных бюллетеней	12405	107	155	127	275	283	183	247	186	246	393	240	200	166	257	329	13	143	62	57	56	14	134	64	121	375	321	289	379	403	367	239	363	250	586	197	157	571	589	600	353	255	277	397	262	413	249	168	287									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2672	32	44	29	36	27	15	33	215	131	61	37	48	17	41	69	18	27	37	7	99	71	131	10	21	145	297	57	53	56	61	15	23	37	17	39	15	11	42	173	5	30	31	72	24	38	103	45	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	62923	711	951	1064	1899	1510	972	1595	1144	1488	1406	1788	1702	1277	1222	1277	154	565	291	311	350	65	1040	541	888	1440	1472	1824	1838	1561	1942	1686	1409	1938	1897	1524	1258	1683	1889	1977	2472	1355	1097	1531	1099	1889	1088	1077	1766									
9	Число недействительных избирательных бюллетеней	214	2	2	2	8	4	3	5	4	5	5	6	4	2	3	5	0	1	0	1	2	0	2	1	2	6	7	7	8	6	7	7	6	9	9	6	2	8	9	7	5	6	2	6	2	8	2	2	8									
10	Число действительных избирательных бюллетеней	65381	741	993	1091	1927	1533	984	1623	1355	1614	1462	1819	1746	1292	1260	1341	172	591	328	317	447	136	1169	550	907	1579	1762	1874	1883	1611	1996	1694	1426	1966	1905	1557	1271	1686	1922	2143	2472	1379	1126	1597	1121	1919	1189	1120	1785									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1400	20	20	20	40	40	20	20	20	20	20	40	40	40	20	20	15	40	45	35	45	10	20	15	20	50	20	30	30	30	30	30	30	30	30	20	20	45	30	30	30	30	30	40	30	50	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	475	3	1	11	20	10	9	13	11	3	5	14	15	7	7	3	0	1	14	0	0	0	2	0	0	2	2	20	25	8	16	22	11	3	18	12	6	14	14	22	21	12	8	5	9	7	30	15	24									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	382	21	15	7	10	11	17	3	6	8	6	8	5	7	2	2	3	5	4	8	2	10	7	17	6	11	4	9	9	11	10	9	8	8	3	7	1	12	15	9	10	11	6	4	3	6	14	8	4									
14	Число погашенных неиспользованных открепительных удостоверений	925	17	19	9	20	30	11	7	9	17	15	26	25	33	13	17	15	39	31	35	45	10	18	15	20	48	18	10	5	22	14	8	19	27	12	8	14	31	16	8	9	18	22	35	21	43	0	15	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	96	3	1	2	2	1	3	2	1	1	0	1	3	0	1	0	1	0	2	29	0	0	2	0	1	1	0	3	0	3	2	0	4	1	4	2	0	2	2	5	2	0	1	1	1	3	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	65	1	1	2	2	1	1	1	2	1	2	3	2	1	2	2	1	0	0	2	2	1	1	1	0	1	2	2	1	1	1	2	1	1	1	2	0	1	2	2	2	2	1	2	1	3	0	1	1									
		0.10%	0.13%	0.10%	0.18%	0.10%	0.07%	0.10%	0.06%	0.15%	0.06%	0.14%	0.16%	0.11%	0.08%	0.16%	0.15%	0.58%	0.00%	0.00%	0.63%	0.45%	0.74%	0.09%	0.18%	0.00%	0.06%	0.11%	0.11%	0.05%	0.06%	0.05%	0.12%	0.07%	0.05%	0.05%	0.13%	0.00%	0.06%	0.10%	0.09%	0.08%	0.14%	0.09%	0.12%	0.09%	0.16%	0.00%	0.09%	0.06%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	66	1	1	1	1	1	2	2	1	2	1	3	1	1	2	2	1	1	1	1	0	0	1	0	1	2	1	1	2	1	2	1	1	2	1	1	1	2	3	2	2	1	1	2	1	2	2	1	3									
		0.10%	0.13%	0.10%	0.09%	0.05%	0.07%	0.20%	0.12%	0.07%	0.12%	0.07%	0.16%	0.06%	0.08%	0.16%	0.15%	0.58%	0.17%	0.30%	0.31%	0.00%	0.00%	0.09%	0.00%	0.11%	0.13%	0.06%	0.05%	0.11%	0.06%	0.10%	0.06%	0.07%	0.10%	0.05%	0.06%	0.08%	0.12%	0.16%	0.09%	0.08%	0.07%	0.09%	0.12%	0.09%	0.10%	0.17%	0.09%	0.17%									
