Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Алатырская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12959	690	284	408	489	595	584	694	775	573	449	222	185	347	269	549	327	565	889	511	602	670	1123	960	199									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13469	718	301	422	484	621	613	722	806	602	476	240	186	382	278	565	338	587	926	536	618	689	1148	1002	209									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8437	584	213	308	346	380	445	299	366	254	261	163	115	261	168	475	184	321	483	424	449	374	804	611	149									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1653	71	44	43	104	73	57	192	103	70	84	37	38	33	23	34	28	83	102	56	34	62	151	100	31									
6	Число погашенных избирательных бюллетеней	3379	63	44	71	34	168	111	231	337	278	131	40	33	88	87	56	126	183	341	56	135	253	193	291	29									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1653	71	44	43	104	73	57	192	103	70	84	37	38	33	23	34	28	83	102	56	34	62	151	100	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8436	584	213	308	346	380	445	299	366	254	261	163	115	261	168	475	183	321	483	424	449	374	804	611	149									
9	Число недействительных избирательных бюллетеней	188	0	0	0	3	0	8	16	8	11	10	2	3	0	10	3	20	10	5	23	12	15	18	8	3									
10	Число действительных избирательных бюллетеней	9901	655	257	351	447	453	494	475	461	313	335	198	150	294	181	506	191	394	580	457	471	421	937	703	177									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	418	18	12	10	10	20	20	20	20	20	31	17	3	18	6	20	10	20	25	20	20	20	28	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	396	18	12	10	4	20	20	20	20	20	31	17	1	18	4	10	10	20	25	20	20	20	28	20	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	95	3	2	4	8	2	3	3	4	2	9	1	2	3	1	4	8	3	7	3	4	3	7	8	1									
14	Число погашенных неиспользованных открепительных удостоверений	22	0	0	0	6	0	0	0	0	0	0	0	2	0	2	10	0	0	0	0	0	0	0	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	82	3	3	5	1	3	1	2	2	1	0	1	0	1	1	1	5	0	4	1	1	9	7	23	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	53	2	0	3	1	0	3	2	3	2	2	0	0	1	1	6	0	1	9	0	3	3	4	7	0									
		0.53%	0.31%	0.00%	0.85%	0.22%	0.00%	0.60%	0.41%	0.64%	0.62%	0.58%	0.00%	0.00%	0.34%	0.52%	1.18%	0.00%	0.25%	1.54%	0.00%	0.62%	0.69%	0.42%	0.98%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	162	7	4	4	18	25	7	9	8	4	1	0	3	3	3	6	8	7	6	4	8	6	10	8	3									
		1.61%	1.07%	1.56%	1.14%	4.00%	5.52%	1.39%	1.83%	1.71%	1.23%	0.29%	0.00%	1.96%	1.02%	1.57%	1.18%	3.79%	1.73%	1.03%	0.83%	1.66%	1.38%	1.05%	1.13%	1.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	132	11	1	5	4	0	8	5	5	4	5	0	6	1	1	9	3	7	18	0	8	7	11	12	1									
		1.31%	1.68%	0.39%	1.42%	0.89%	0.00%	1.59%	1.02%	1.07%	1.23%	1.45%	0.00%	3.92%	0.34%	0.52%	1.77%	1.42%	1.73%	3.08%	0.00%	1.66%	1.61%	1.15%	1.69%	0.56%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6839	512	185	277	370	311	407	320	290	195	239	164	99	212	106	361	112	235	341	380	291	274	616	433	109									
		67.79%	78.17%	71.98%	78.92%	82.22%	68.65%	81.08%	65.17%	61.83%	60.19%	69.28%	82.00%	64.71%	72.11%	55.50%	70.92%	53.08%	58.17%	58.29%	79.17%	60.25%	62.84%	64.50%	60.90%	60.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	31	2	0	0	1	0	2	2	3	3	0	0	0	2	0	1	1	3	3	0	1	1	2	3	1									
		0.31%	0.31%	0.00%	0.00%	0.22%	0.00%	0.40%	0.41%	0.64%	0.93%	0.00%	0.00%	0.00%	0.68%	0.00%	0.20%	0.47%	0.74%	0.51%	0.00%	0.21%	0.23%	0.21%	0.42%	0.56%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	0	0	0	1	0	1	1	0	0	1	0	0	2	0	0	0	2	1	0	0	0	0	0	0									
		0.09%	0.00%	0.00%	0.00%	0.22%	0.00%	0.20%	0.20%	0.00%	0.00%	0.29%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.50%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1067	71	19	36	38	42	28	54	48	49	34	18	20	30	19	42	25	43	94	26	32	40	99	128	32									
		10.58%	10.84%	7.39%	10.26%	8.44%	9.27%	5.58%	10.99%	10.23%	15.12%	9.86%	9.00%	13.07%	10.20%	9.95%	8.25%	11.85%	10.64%	16.07%	5.42%	6.63%	9.17%	10.37%	18.00%	17.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	23	0	0	0	1	0	0	12	1	0	0	0	0	1	0	1	0	1	1	0	1	0	2	2	0									
		0.23%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	2.44%	0.21%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.20%	0.00%	0.25%	0.17%	0.00%	0.21%	0.00%	0.21%	0.28%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	37	0	0	0	1	0	2	2	4	1	2	0	2	2	0	0	1	0	4	1	2	3	3	7	0									
		0.37%	0.00%	0.00%	0.00%	0.22%	0.00%	0.40%	0.41%	0.85%	0.31%	0.58%	0.00%	1.31%	0.68%	0.00%	0.00%	0.47%	0.00%	0.68%	0.21%	0.41%	0.69%	0.31%	0.98%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	0	0	0	0	0	0	0	1	2	0	0	0	2	1	0	0	0	2	2	0	1	1	1	1									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.62%	0.00%	0.00%	0.00%	0.68%	0.52%	0.00%	0.00%	0.00%	0.34%	0.42%	0.00%	0.23%	0.10%	0.14%	0.56%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	21	3	0	1	0	0	1	0	3	1	2	0	0	0	0	0	0	1	2	0	1	1	3	2	0									
		0.21%	0.46%	0.00%	0.28%	0.00%	0.00%	0.20%	0.00%	0.64%	0.31%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.34%	0.00%	0.21%	0.23%	0.31%	0.28%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1098	37	31	20	2	67	19	51	72	38	40	16	19	32	43	48	30	82	78	42	73	71	100	62	25									
		10.88%	5.65%	12.06%	5.70%	0.44%	14.79%	3.78%	10.39%	15.35%	11.73%	11.59%	8.00%	12.42%	10.88%	22.51%	9.43%	14.22%	20.30%	13.33%	8.75%	15.11%	16.28%	10.47%	8.72%	13.89%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	0	0	2	1	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	2	3	4	1	0									
		0.18%	0.00%	0.00%	0.57%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.34%	0.52%	0.39%	0.00%	0.00%	0.00%	0.00%	0.41%	0.69%	0.42%	0.14%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	397	10	17	3	9	8	16	17	23	14	8	0	1	5	6	30	11	12	21	2	49	11	82	37	5									
		3.93%	1.53%	6.61%	0.85%	2.00%	1.77%	3.19%	3.46%	4.90%	4.32%	2.32%	0.00%	0.65%	1.70%	3.14%	5.89%	5.21%	2.97%	3.59%	0.42%	10.14%	2.52%	8.59%	5.20%	2.78%									
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
