Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
"Наименование Избирательной комиссии:    Волгоград, Советская"																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	83326	2371	1984	2153	2653	2697	2673	2915	2802	2021	2651	2083	493	2490	2884	2335	1856	696	2549	2638	2448	1108	2343	2126	3178	2816	2477	2708	2765	2428	2581	1963	2711	779	1586	374	813	380	784	2343	1249	422									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79060	2200	1800	2000	2500	2500	2400	2700	2600	1800	2500	1600	410	2400	2700	2200	1700	650	2400	2500	2400	2700	2200	2000	2600	2800	2300	2500	2600	2300	2400	1500	2500	750	1500	350	800	350	750	2100	1100	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30654	1000	821	828	864	1009	954	1147	1158	555	746	627	230	878	1024	918	665	185	936	932	815	1091	573	819	1101	843	848	1105	841	795	777	1273	1208	295	615	135	318	147	296	937	329	16									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1757	35	14	12	26	16	168	31	35	50	6	17	171	28	21	26	101	5	12	34	48	17	10	11	26	11	18	17	13	22	119	135	6	36	16	11	11	5	7	16	4	390									
6	Число погашенных избирательных бюллетеней	46649	1165	965	1160	1610	1475	1278	1522	1407	1195	1748	956	9	1494	1655	1256	934	460	1452	1534	1537	1592	1617	1170	1473	1946	1434	1378	1746	1483	1504	92	1286	419	869	204	471	198	447	1147	767	594									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1756	35	14	12	26	16	168	31	35	50	6	17	171	28	21	26	101	5	12	34	48	17	10	11	26	11	18	17	13	22	119	135	6	36	16	11	11	5	7	16	4	389									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30654	1000	821	828	864	1009	954	1147	1158	555	746	627	230	878	1024	918	665	185	936	932	815	1091	573	819	1101	843	848	1105	841	795	777	1273	1208	295	615	135	318	147	296	937	329	16									
9	Число недействительных избирательных бюллетеней	703	16	14	17	13	25	22	33	8	7	16	17	21	12	24	37	12	6	21	11	21	17	6	15	36	12	15	10	16	17	17	55	27	6	37	4	10	2	12	22	4	10									
10	Число действительных избирательных бюллетеней	31707	1019	821	823	877	1000	1100	1145	1185	598	736	627	380	894	1021	907	754	184	927	955	842	1091	577	815	1091	842	851	1112	838	800	879	1353	1187	325	594	142	319	150	291	931	329	395									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1550	45	40	40	50	50	50	50	50	40	50	40	10	50	50	45	30	10	50	50	50	50	45	40	50	50	50	50	50	50	50	10	50	15	30	10	15	10	15	40	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	732	18	18	22	27	24	20	21	25	18	29	11	0	17	25	20	13	1	24	32	30	25	22	29	18	24	18	33	12	14	15	10	35	3	21	7	6	1	3	21	20	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	896	19	18	38	25	19	13	71	35	22	18	39	33	23	14	11	23	6	24	30	20	16	17	27	16	11	15	70	10	24	30	14	9	14	22	3	3	17	6	11	14	46									
14	Число погашенных неиспользованных открепительных удостоверений	818	27	22	18	23	26	30	29	25	22	21	29	10	33	25	25	17	9	26	18	20	25	23	11	32	26	32	17	38	36	35	0	15	12	9	3	9	9	12	19	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	111	4	2	0	2	4	3	3	3	1	9	1	0	2	0	3	1	0	4	2	4	5	3	6	6	6	3	2	3	2	3	0	7	3	1	0	0	2	0	7	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	522	18	11	9	25	29	15	25	10	3	16	10	3	20	18	24	6	3	25	8	15	15	18	12	24	17	16	15	11	10	12	14	19	6	5	6	6	1	1	15	4	2									
		1.61%	1.74%	1.32%	1.07%	2.81%	2.83%	1.34%	2.12%	0.84%	0.50%	2.13%	1.55%	0.75%	2.21%	1.72%	2.54%	0.78%	1.58%	2.64%	0.83%	1.74%	1.35%	3.09%	1.45%	2.13%	1.99%	1.85%	1.34%	1.29%	1.22%	1.34%	0.99%	1.57%	1.81%	0.79%	4.11%	1.82%	0.66%	0.33%	1.57%	1.20%	0.49%									
