Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Протвинская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29789	2473	2575	2462	2302	2406	2500	2410	2398	2473	2630	2617	2543									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11388	930	854	924	1033	919	977	998	842	1022	1006	1038	845									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	154	18	9	13	22	10	10	21	11	15	11	6	8									
6	Число погашенных избирательных бюллетеней	12458	1052	1137	1063	945	1071	1013	981	1147	963	983	956	1147									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	154	18	9	13	22	10	10	21	11	15	11	6	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11332	923	853	924	1021	917	976	981	841	1014	1006	1031	845									
9	Число недействительных избирательных бюллетеней	401	30	38	35	29	45	34	67	32	22	27	19	23									
10	Число действительных избирательных бюллетеней	11085	911	824	902	1014	882	952	935	820	1007	990	1018	830									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	514	45	42	42	42	42	42	42	42	55	36	42	42									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	361	44	34	24	24	23	30	17	25	50	29	23	38									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	130	10	12	19	13	12	7	2	15	10	12	9	9									
14	Число погашенных неиспользованных открепительных удостоверений	153	1	8	18	18	19	12	25	17	5	7	19	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	131	15	12	14	13	8	12	6	5	19	6	8	13									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	374	38	28	37	30	33	18	35	21	29	44	34	27									
		3.26%	4.04%	3.25%	3.95%	2.88%	3.56%	1.83%	3.49%	2.46%	2.82%	4.33%	3.28%	3.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	260	24	16	14	27	23	16	33	21	23	29	13	21									
		2.26%	2.55%	1.86%	1.49%	2.59%	2.48%	1.62%	3.29%	2.46%	2.24%	2.85%	1.25%	2.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	362	30	24	24	27	22	34	33	21	33	41	45	28									
		3.15%	3.19%	2.78%	2.56%	2.59%	2.37%	3.45%	3.29%	2.46%	3.21%	4.03%	4.34%	3.28%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3536	331	271	277	315	253	316	292	254	332	325	301	269									
		30.79%	35.18%	31.44%	29.56%	30.20%	27.29%	32.05%	29.14%	29.81%	32.26%	31.96%	29.03%	31.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	177	12	12	11	11	26	12	19	21	7	14	20	12									
		1.54%	1.28%	1.39%	1.17%	1.05%	2.80%	1.22%	1.90%	2.46%	0.68%	1.38%	1.93%	1.41%									
24	"6. Политическая партия ""Гражданская Платформа"""	32	0	2	3	2	1	4	3	0	3	5	6	3									
		0.28%	0.00%	0.23%	0.32%	0.19%	0.11%	0.41%	0.30%	0.00%	0.29%	0.49%	0.58%	0.35%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1556	149	134	89	129	133	145	112	110	140	138	141	136									
		13.55%	15.83%	15.55%	9.50%	12.37%	14.35%	14.71%	11.18%	12.91%	13.61%	13.57%	13.60%	15.94%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	220	9	10	39	20	14	19	22	21	24	14	18	10									
		1.92%	0.96%	1.16%	4.16%	1.92%	1.51%	1.93%	2.20%	2.46%	2.33%	1.38%	1.74%	1.17%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	313	14	21	29	32	21	38	22	16	31	38	30	21									
		2.73%	1.49%	2.44%	3.09%	3.07%	2.27%	3.85%	2.20%	1.88%	3.01%	3.74%	2.89%	2.46%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	2	0	1	0	1	1	1	1	3	1	2	0									
		0.11%	0.21%	0.00%	0.11%	0.00%	0.11%	0.10%	0.10%	0.12%	0.29%	0.10%	0.19%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	548	42	35	63	45	38	32	53	42	56	50	66	26									
		4.77%	4.46%	4.06%	6.72%	4.31%	4.10%	3.25%	5.29%	4.93%	5.44%	4.92%	6.36%	3.05%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2141	170	148	211	224	172	181	170	151	196	162	209	147									
		18.64%	18.07%	17.17%	22.52%	21.48%	18.55%	18.36%	16.97%	17.72%	19.05%	15.93%	20.15%	17.23%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	63	6	6	4	7	3	7	7	3	3	4	8	5									
		0.55%	0.64%	0.70%	0.43%	0.67%	0.32%	0.71%	0.70%	0.35%	0.29%	0.39%	0.77%	0.59%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1490	84	117	100	145	142	129	133	138	127	125	125	125									
		12.97%	8.93%	13.57%	10.67%	13.90%	15.32%	13.08%	13.27%	16.20%	12.34%	12.29%	12.05%	14.65%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
