Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Кинешемская городская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251					
1	"Число избирателей, внесенных в списки"	72487	1027	1446	1916	1437	2020	2222	2540	2651	2539	2113	2260	2717	2406	2066	2644	2506	1100	1254	2451	2581	2454	2247	1190	1865	1494	1740	1129	1087	1288	1136	2045	1324	1642	2307	2394	1652	1445	2014	138					
2	"Число бюллетеней, полученных участковыми комиссиями"	73051	1001	1401	1867	1390	1978	2158	2331	2597	2449	2094	2186	2622	2353	1990	2506	2450	1082	2570	2299	2444	2409	2205	1172	1808	1446	1732	2342	1052	1321	1076	2008	1400	1630	2249	2236	1634	1430	1994	139					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	33566	389	649	830	553	903	881	1159	1171	1086	939	1085	1276	1089	952	1109	1226	471	1210	1179	1265	1088	1099	583	947	570	784	1099	529	696	463	844	546	604	944	1094	758	610	748	138					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1455	30	46	45	20	29	60	25	27	50	46	17	19	56	46	59	72	8	41	31	53	71	20	28	33	40	28	30	24	44	53	35	62	26	19	32	53	48	29	0					
6	Число погашенных бюллетеней	38027	582	706	992	817	1046	1217	1147	1399	1313	1109	1084	1327	1208	992	1338	1152	603	1316	1089	1126	1250	1086	561	828	836	920	1213	499	581	560	1129	792	1000	1286	1110	823	772	1217	1					
7	Число бюллетеней в переносных ящиках для голосования	1455	30	46	45	20	29	60	25	27	50	46	17	19	56	46	59	72	8	41	31	53	71	20	28	33	40	28	30	24	44	53	35	62	26	19	32	53	48	29	0					
8	Число бюллетеней в стационарных ящиках для голосования	33556	389	649	830	553	903	880	1154	1169	1086	939	1085	1276	1089	952	1109	1226	471	1210	1179	1265	1088	1099	583	947	570	784	1097	529	696	463	844	546	604	944	1094	758	610	748	138					
9	Число недействительных бюллетеней	375	1	5	4	4	43	10	10	13	13	21	12	4	6	8	12	10	4	11	4	15	7	9	7	15	6	8	12	10	6	5	9	13	4	11	11	12	9	10	1					
10	Число действительных бюллетеней	34636	418	690	871	569	889	930	1169	1183	1123	964	1090	1291	1139	990	1156	1288	475	1240	1206	1303	1152	1110	604	965	604	804	1115	543	734	511	870	595	626	952	1115	799	649	767	137					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	630	15	15	15	15	15	15	15	15	25	15	15	15	25	15	15	25	15	20	15	15	20	20	15	15	15	15	30	15	15	15	15	15	15	15	15	15	15	15	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	335	1	6	7	7	10	9	15	11	14	15	13	12	18	9	8	14	5	18	10	3	15	16	6	6	2	11	24	2	10	4	9	1	2	10	7	3	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	254	1	2	2	6	8	7	10	5	9	4	1	16	11	3	12	5	4	6	7	9	5	7	5	2	8	4	4	10	18	15	9	1	3	5	9	7	9	3	2					
14	Число погашенных открепительных удостоверений	295	14	9	8	8	5	6	0	4	11	0	2	3	7	6	7	11	10	2	5	12	5	4	9	9	13	4	6	13	5	11	6	14	13	5	8	12	14	14	0					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	362	9	6	11	10	9	10	12	17	11	14	11	9	8	7	21	10	3	11	7	9	13	6	5	6	5	8	7	9	10	4	12	14	7	10	5	7	9	16	4					
		1.03%	2.14%	0.86%	1.25%	1.74%	0.96%	1.06%	1.01%	1.42%	0.96%	1.42%	0.99%	0.69%	0.69%	0.70%	1.79%	0.77%	0.62%	0.87%	0.57%	0.68%	1.12%	0.53%	0.81%	0.61%	0.81%	0.98%	0.62%	1.62%	1.35%	0.77%	1.36%	2.30%	1.11%	1.03%	0.44%	0.86%	1.36%	2.05%	2.89%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	617	2	12	16	11	13	18	17	34	22	25	24	25	20	18	18	24	12	25	32	32	13	20	5	20	2	5	17	7	16	11	20	4	3	19	12	12	14	9	8					
		1.76%	0.47%	1.72%	1.82%	1.91%	1.39%	1.91%	1.44%	2.84%	1.93%	2.53%	2.17%	1.93%	1.74%	1.80%	1.54%	1.84%	2.50%	1.99%	2.64%	2.42%	1.12%	1.78%	0.81%	2.04%	0.32%	0.61%	1.50%	1.26%	2.16%	2.13%	2.27%	0.65%	0.47%	1.97%	1.06%	1.47%	2.12%	1.15%	5.79%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1046	13	21	38	18	18	26	36	29	28	40	34	22	28	27	33	44	18	33	27	45	41	23	20	27	17	34	34	18	17	17	22	31	28	26	37	18	22	35	1					
		2.98%	3.10%	3.02%	4.34%	3.14%	1.93%	2.76%	3.05%	2.42%	2.46%	4.06%	3.08%	1.69%	2.44%	2.70%	2.82%	3.38%	3.75%	2.63%	2.23%	3.41%	3.53%	2.05%	3.27%	2.75%	2.78%	4.18%	3.01%	3.25%	2.29%	3.29%	2.50%	5.09%	4.44%	2.69%	3.28%	2.21%	3.34%	4.50%	0.72%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1322	18	15	25	4	24	43	52	33	40	44	42	67	47	36	43	76	18	51	58	66	24	46	23	32	15	19	39	25	44	20	45	19	15	35	41	32	23	21	2					
		3.77%	4.29%	2.15%	2.85%	0.69%	2.57%	4.57%	4.41%	2.75%	3.52%	4.46%	3.81%	5.17%	4.10%	3.60%	3.68%	5.85%	3.75%	4.07%	4.79%	5.00%	2.07%	4.11%	3.76%	3.26%	2.45%	2.33%	3.46%	4.52%	5.94%	3.87%	5.11%	3.12%	2.38%	3.63%	3.64%	3.94%	3.49%	2.70%	1.44%					
22	"5. ""За Русь Святую"""	171	4	6	5	2	4	6	10	5	7	6	5	7	2	1	7	7	0	5	4	7	8	11	2	7	0	2	7	3	4	4	3	1	5	4	1	4	2	2	1					
		0.48%	0.95%	0.86%	0.57%	0.34%	0.42%	0.63%	0.84%	0.41%	0.61%	0.60%	0.45%	0.54%	0.17%	0.10%	0.59%	0.53%	0.0%	0.39%	0.33%	0.53%	0.69%	0.98%	0.32%	0.71%	0.0%	0.24%	0.62%	0.54%	0.54%	0.77%	0.34%	0.16%	0.79%	0.41%	0.08%	0.49%	0.30%	0.25%	0.72%					
23	"6. ""Объединенная Российская партия ""Русь"""	58	0	1	0	0	1	1	3	4	4	1	0	1	5	0	2	2	0	3	2	2	0	0	2	3	0	0	0	1	2	1	4	1	2	3	0	2	1	3	1					
		0.16%	0.0%	0.14%	0.0%	0.0%	0.10%	0.10%	0.25%	0.33%	0.35%	0.10%	0.0%	0.07%	0.43%	0.0%	0.17%	0.15%	0.0%	0.23%	0.16%	0.15%	0.0%	0.0%	0.32%	0.30%	0.0%	0.0%	0.0%	0.18%	0.27%	0.19%	0.45%	0.16%	0.31%	0.31%	0.0%	0.24%	0.15%	0.38%	0.72%					
24	"7. ""Новый курс - Автомобильная Россия"""	218	3	1	4	2	8	9	6	6	6	6	9	6	14	9	6	4	3	10	11	12	4	6	5	8	2	5	17	1	4	1	2	5	2	5	8	3	0	5	0					
		0.62%	0.71%	0.14%	0.45%	0.34%	0.85%	0.95%	0.50%	0.50%	0.52%	0.60%	0.81%	0.46%	1.22%	0.90%	0.51%	0.30%	0.62%	0.79%	0.90%	0.91%	0.34%	0.53%	0.81%	0.81%	0.32%	0.61%	1.50%	0.18%	0.54%	0.19%	0.22%	0.82%	0.31%	0.51%	0.71%	0.36%	0.0%	0.64%	0.0%					
25	"8. ""Народно-республиканская партия России"""	30	0	0	0	3	1	0	0	1	0	3	0	0	2	0	2	0	0	0	1	0	2	0	1	2	0	0	0	0	1	2	1	4	0	0	0	1	2	1	0					
		0.08%	0.0%	0.0%	0.0%	0.52%	0.10%	0.0%	0.0%	0.08%	0.0%	0.30%	0.0%	0.0%	0.17%	0.0%	0.17%	0.0%	0.0%	0.0%	0.08%	0.0%	0.17%	0.0%	0.16%	0.20%	0.0%	0.0%	0.0%	0.0%	0.13%	0.38%	0.11%	0.65%	0.0%	0.0%	0.0%	0.12%	0.30%	0.12%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	118	2	3	3	3	4	4	3	5	6	0	7	5	5	2	6	2	1	6	3	3	2	8	4	5	2	2	4	0	0	2	1	3	2	1	3	2	2	1	1					
		0.33%	0.47%	0.43%	0.34%	0.52%	0.42%	0.42%	0.25%	0.41%	0.52%	0.0%	0.63%	0.38%	0.43%	0.20%	0.51%	0.15%	0.20%	0.47%	0.24%	0.22%	0.17%	0.71%	0.65%	0.51%	0.32%	0.24%	0.35%	0.0%	0.0%	0.38%	0.11%	0.49%	0.31%	0.10%	0.26%	0.24%	0.30%	0.12%	0.72%					
27	"10. ""Аграрная партия России"""	1258	18	25	24	28	29	26	32	23	31	38	44	44	39	20	35	54	14	67	47	51	56	39	38	29	22	49	38	18	28	16	35	25	35	40	27	24	25	25	0					
		3.59%	4.29%	3.59%	2.74%	4.88%	3.11%	2.76%	2.71%	1.92%	2.72%	3.85%	3.99%	3.39%	3.40%	2.00%	2.99%	4.16%	2.92%	5.35%	3.88%	3.86%	4.83%	3.48%	6.21%	2.95%	3.60%	6.03%	3.37%	3.25%	3.78%	3.10%	3.98%	4.11%	5.55%	4.15%	2.39%	2.95%	3.79%	3.21%	0.0%					
28	"11. ""Истинные патриоты России"""	31	0	0	1	0	0	1	2	0	0	2	0	1	1	0	1	0	1	0	2	3	3	1	0	1	0	0	6	2	1	0	1	0	0	1	0	0	0	0	0					
		0.08%	0.0%	0.0%	0.11%	0.0%	0.0%	0.10%	0.16%	0.0%	0.0%	0.20%	0.0%	0.07%	0.08%	0.0%	0.08%	0.0%	0.20%	0.0%	0.16%	0.22%	0.25%	0.08%	0.0%	0.10%	0.0%	0.0%	0.53%	0.36%	0.13%	0.0%	0.11%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	461	10	6	14	5	12	8	17	15	16	16	5	14	19	12	18	23	3	8	18	24	22	21	3	7	7	8	18	11	8	10	12	3	13	9	18	11	2	15	0					
