Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    Щекинская																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	80655	2570	2461	2428	2535	2684	2699	2548	1533	1018	2449	1087	2244	1351	2397	2282	2318	1719	1451	1735	458	2280	2241	351	2472	2210	2442	1018	585	2001	2395	938	970	1079	601	248	474	696	893	715	782	514	905	370	718	365	1332	784	1511	2108	688	355	358	177	226	665	693	2049	203	1276									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76530	2400	2300	2300	2300	2500	2400	2400	1400	950	2500	1000	2100	1250	2200	2200	2200	1550	1400	1700	900	2200	2300	340	2300	2000	2300	950	550	1900	2200	900	950	1000	600	230	450	650	850	650	700	450	850	350	700	350	1250	750	1500	2000	650	350	300	160	220	630	660	2000	190	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31668	1085	1075	943	1046	1148	1035	1009	642	385	995	427	809	510	911	911	917	715	619	841	387	989	910	202	1063	1028	1099	408	242	965	829	341	231	414	210	105	239	235	376	167	115	133	202	173	229	197	354	251	503	685	170	123	158	100	91	310	244	741	87	339									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4306	28	45	36	19	9	97	34	94	67	59	5	24	18	26	37	26	6	114	27	71	167	83	138	40	33	60	15	6	54	46	41	61	195	62	56	20	231	89	146	136	86	94	87	165	64	88	135	311	152	94	62	85	24	43	25	50	78	47	95									
6	Число погашенных избирательных бюллетеней	40556	1287	1180	1321	1235	1343	1268	1357	664	498	1446	568	1267	722	1263	1252	1257	829	667	832	442	1044	1307	0	1197	939	1141	527	302	881	1325	518	658	391	328	69	191	184	385	337	449	231	554	90	306	89	808	364	686	1163	386	165	57	36	86	295	366	1181	56	766									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4306	28	45	36	19	9	97	34	94	67	59	5	24	18	26	37	26	6	114	27	71	167	83	138	40	33	60	15	6	54	46	41	61	195	62	56	20	231	89	146	136	86	94	87	165	64	88	135	311	152	94	62	85	24	43	25	50	78	47	95									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31646	1083	1075	943	1046	1148	1025	1009	642	385	995	427	809	510	911	911	917	715	619	841	387	987	910	202	1055	1028	1099	408	242	965	829	341	231	414	210	105	239	235	376	167	115	133	202	173	229	197	354	251	503	685	170	123	158	100	91	310	244	741	87	339									
9	Число недействительных избирательных бюллетеней	649	30	11	24	17	26	3	30	7	5	21	14	40	6	23	21	7	14	14	0	14	14	27	0	22	16	29	15	10	14	23	0	9	17	8	0	5	1	10	3	3	5	5	0	12	1	8	3	9	16	0	0	1	0	1	5	6	20	0	4									
10	Число действительных избирательных бюллетеней	35303	1081	1109	955	1048	1131	1119	1013	729	447	1033	418	793	522	914	927	936	707	719	868	444	1140	966	340	1073	1045	1130	408	238	1005	852	382	283	592	264	161	254	465	455	310	248	214	291	260	382	260	434	383	805	821	264	185	242	124	133	330	288	799	134	430									
