Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Палкинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7142	2569	271	427	283	259	185	610	287	247	270	239	354	203	938									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6830	2500	250	400	250	250	180	600	250	250	250	200	350	200	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2398	980	78	145	149	73	82	209	109	63	58	69	132	64	187									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1045	88	73	84	42	83	33	111	22	54	95	65	60	53	182									
6	Число погашенных избирательных бюллетеней	3387	1432	99	171	59	94	65	280	119	133	97	66	158	83	531									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1045	88	73	84	42	83	33	111	22	54	95	65	60	53	182									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2398	980	78	145	149	73	82	209	109	63	58	69	132	64	187									
9	Число недействительных избирательных бюллетеней	67	19	4	3	12	2	3	9	3	1	3	2	2	2	2									
10	Число действительных избирательных бюллетеней	3376	1049	147	226	179	154	112	311	128	116	150	132	190	115	367									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	190	50	10	25	5	5	5	10	10	10	10	10	10	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	49	25	2	2	0	1	0	4	6	2	3	1	0	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	14	3	3	3	8	0	4	3	1	5	5	1	3	9									
