Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Акбулакская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20630	2076	2049	2241	2307	2263	198	188	345	123	135	143	666	364	581	215	470	146	529	484	473	235	800	423	919	112	143	205	596	686	515									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20490	2080	2060	2240	2320	2230	190	190	345	115	130	140	660	360	585	210	460	140	525	480	480	230	815	415	910	110	135	190	575	665	505									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8332	721	727	873	870	884	74	72	138	44	72	62	244	114	253	73	235	60	236	225	230	106	328	202	429	59	57	105	258	303	278									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	670	30	32	41	24	87	1	7	0	0	5	2	68	50	22	20	19	0	22	4	20	8	46	7	28	0	13	6	43	43	22									
6	Число погашенных избирательных бюллетеней	11488	1329	1301	1326	1426	1259	115	111	207	71	53	76	348	196	310	117	206	80	267	251	230	116	441	206	453	51	65	79	274	319	205									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	670	30	32	41	24	87	1	7	0	0	5	2	68	50	22	20	19	0	22	4	20	8	46	7	28	0	13	6	43	43	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8332	721	727	873	870	884	74	72	138	44	72	62	244	114	253	73	235	60	236	225	230	106	328	202	429	59	57	105	258	303	278									
9	Число недействительных избирательных бюллетеней	311	24	27	22	32	25	0	6	5	1	8	2	6	7	8	1	2	5	13	4	10	5	9	10	17	4	4	6	16	14	18									
10	Число действительных избирательных бюллетеней	8691	727	732	892	862	946	75	73	133	43	69	62	306	157	267	92	252	55	245	225	240	109	365	199	440	55	66	105	285	332	282									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	101	5	5	6	14	9	0	6	0	0	4	1	2	4	2	1	3	1	3	4	8	4	5	2	3	1	1	1	1	3	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	101	5	5	6	14	9	0	6	0	0	4	1	2	4	2	1	3	1	3	4	8	4	5	2	3	1	1	1	1	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	1	0	4	5	4	2	1	0	0	3	0	1	0	1	1	0	1	0	1	3	1	0	1	2	0	3	0	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	7	4	7	5	9	0	1	3	0	0	1	0	0	2	0	1	0	0	0	0	0	4	0	4	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
