Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    Красногвардейская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №1793					
1	"Число избирателей, внесенных в списки избирателей"	18390	360	449	419	377	273	181	331	462	555	373	149	189	754	118	582	281	283	1310	1315	1210	607	241	320	252	190	276	593	792	315	326	570	205	295	138	601	115	235	750	264	214	53	87	562	418					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18370	350	450	440	380	280	180	330	470	570	360	150	190	760	110	620	290	300	1270	1240	1220	610	240	320	250	190	280	600	800	310	330	570	200	300	140	580	110	230	750	260	210	50	80	570	430					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10991	250	285	204	229	212	128	238	279	365	241	102	117	365	75	339	205	152	701	736	682	382	163	166	147	130	182	352	453	188	212	328	138	194	92	345	84	132	359	155	137	39	70	389	249					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1133	22	35	57	14	15	0	30	64	14	15	8	8	44	6	26	6	46	32	92	15	8	8	24	22	6	11	32	35	20	17	19	32	9	2	64	12	39	102	17	15	5	4	42	39					
6	Число погашенных избирательных бюллетеней	6246	78	130	179	137	53	52	62	127	191	104	40	65	351	29	255	79	102	537	412	523	220	69	130	81	54	87	216	312	102	101	223	30	97	46	171	14	59	289	88	58	6	6	139	142					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1133	22	35	57	14	15	0	30	64	14	15	8	8	44	6	26	6	46	32	92	15	8	8	24	22	6	11	32	35	20	17	19	32	9	2	64	12	39	102	17	15	5	4	42	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10991	250	285	204	229	212	128	238	279	365	241	102	117	365	75	339	205	152	701	736	682	382	163	166	147	130	182	352	453	188	212	328	138	194	92	345	84	132	359	155	137	39	70	389	249					
9	Число недействительных избирательных бюллетеней	65	2	2	1	2	0	0	1	2	0	0	0	0	0	0	6	2	1	3	6	5	3	0	1	3	1	2	4	3	2	1	0	0	0	1	2	0	0	4	0	0	0	0	1	4					
10	Число действительных избирательных бюллетеней	12059	270	318	260	241	227	128	267	341	379	256	110	125	409	81	359	209	197	730	822	692	387	171	189	166	135	191	380	485	206	228	347	170	203	93	407	96	171	457	172	152	44	74	430	284					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	394	7	5	14	8	2	2	22	12	11	10	2	2	15	2	36	5	21	26	26	21	11	5	3	3	3	5	10	8	5	9	8	3	4	4	10	3	3	15	3	3	2	0	9	16					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	394	7	5	14	8	2	2	22	12	11	10	2	2	15	2	36	5	21	26	26	21	11	5	3	3	3	5	10	8	5	9	8	3	4	4	10	3	3	15	3	3	2	0	9	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	110	2	1	1	1	0	1	22	1	1	2	3	1	5	1	8	2	2	7	9	2	3	2	1	2	1	0	1	2	2	0	5	0	2	1	3	2	1	3	3	1	0	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	1.Политическая партия «Аграрная партия России»	541	45	14	22	11	9	5	13	15	18	9	1	1	26	2	12	11	11	21	41	21	21	7	6	1	3	0	8	16	2	7	17	13	4	9	31	6	6	26	9	2	8	0	7	24					
		4.46%	16.54%	4.38%	8.43%	4.53%	3.96%	3.91%	4.85%	4.37%	4.75%	3.52%	0.91%	0.80%	6.36%	2.47%	3.29%	5.21%	5.56%	2.86%	4.95%	3.01%	5.38%	4.09%	3.16%	0.59%	2.21%	0.00%	2.08%	3.28%	0.96%	3.06%	4.90%	7.65%	1.97%	9.57%	7.58%	6.25%	3.51%	5.64%	5.23%	1.32%	18.18%	0.00%	1.62%	8.33%					
