Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																		
Дата голосования: 02.12.2007																																																		
																																																		
Наименование Избирательной комиссии:    Прокопьевская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340					
1	"Число избирателей, внесенных в списки избирателей"	22884	1350	975	887	328	507	185	218	328	1078	209	735	78	652	373	428	159	159	125	797	955	215	1062	221	494	353	405	167	1118	765	198	575	1191	1236	108	1028	89	606	413	423	231	877	369	214					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22000	1415	820	869	331	485	176	215	318	1017	204	696	72	574	326	431	152	152	126	754	923	204	1032	207	464	341	403	166	1044	754	181	543	1121	1175	99	966	74	603	401	414	228	911	406	207					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18461	1180	612	620	237	457	151	202	290	905	147	487	68	524	274	407	143	125	111	513	743	175	902	171	289	307	372	161	916	698	160	501	933	1085	97	834	74	520	363	385	174	675	303	170					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2462	170	187	138	91	24	19	13	19	112	57	163	4	45	46	13	7	8	8	229	143	27	39	36	138	25	21	3	128	19	15	20	101	63	2	84	0	26	16	13	26	129	18	17					
6	Число погашенных избирательных бюллетеней	1077	65	21	111	3	4	6	0	9	0	0	46	0	5	6	11	2	19	7	12	37	2	91	0	37	9	10	2	0	37	6	22	87	27	0	48	0	57	22	16	28	107	85	20					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2461	170	187	138	91	24	19	13	19	112	57	163	4	45	45	13	7	8	8	229	143	27	39	36	138	25	21	3	128	19	15	20	101	63	2	84	0	26	16	13	26	129	18	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18460	1180	612	620	237	457	151	202	290	905	147	486	68	524	274	407	143	125	111	513	743	175	902	171	289	307	372	161	916	698	160	501	933	1085	97	834	74	520	363	385	174	675	303	170					
9	Число недействительных избирательных бюллетеней	262	3	61	58	17	28	6	0	1	0	0	0	0	8	5	2	0	0	2	5	3	0	6	0	1	3	0	0	7	3	1	14	0	6	0	0	0	0	7	3	3	0	4	5					
10	Число действительных избирательных бюллетеней	20659	1347	738	700	311	453	164	215	308	1017	204	649	72	561	314	418	150	133	117	737	883	202	935	207	426	329	393	164	1037	714	174	507	1034	1142	99	918	74	546	372	395	197	804	317	182					
