Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Суксунская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719	УИК №3720	УИК №3721	УИК №3722	УИК №3723	УИК №3724					
1	"Число избирателей, внесенных в список"	16465	718	1309	1454	1241	2061	530	233	180	839	813	313	541	266	300	1322	310	921	351	681	633	137	516	437	359					
2	Число полученных избирательных бюллетеней	15833	700	1300	1400	1200	2000	500	230	180	800	800	300	500	250	280	1200	300	900	350	650	600	143	500	400	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9972	423	782	866	716	1314	321	163	111	486	431	167	343	182	224	811	202	567	238	340	380	82	326	251	246					
5	"Число избирательных бюллетеней, выданных вне помещения"	1352	31	41	79	66	81	68	27	20	86	127	59	40	14	10	105	22	109	73	85	65	13	74	28	29					
6	Число погашенных избирательных бюллетеней	4509	246	477	455	418	605	111	40	49	228	242	74	117	54	46	284	76	224	39	225	155	48	100	121	75					
7	Число избирательных бюллетеней в переносных ящиках	1352	31	41	79	66	81	68	27	20	86	127	59	40	14	10	105	22	109	73	85	65	13	74	28	29					
8	Число бюллетеней в стационарных ящиках для голосования	9970	423	780	866	716	1314	321	163	111	486	431	167	343	182	224	811	202	567	238	340	380	82	326	251	246					
9	Число недействительных избирательных бюллетеней	108	4	8	14	4	5	8	2	2	7	1	0	9	0	3	9	3	3	3	5	8	0	1	3	6					
10	Число действительных избирательных бюллетеней	11214	450	813	931	778	1390	381	188	129	565	557	226	374	196	231	907	221	673	308	420	437	95	399	276	269					
11	Число полученных открепительных  удостоверений	293	15	15	15	15	24	15	5	5	10	15	10	10	10	5	10	10	10	10	19	18	12	15	10	10					
12	Число выданных открепительных удостоверений	176	7	9	14	8	19	4	3	2	4	11	9	4	3	0	2	2	5	5	16	18	11	15	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	165	11	8	11	7	7	2	3	2	0	1	6	1	1	2	85	0	1	1	3	6	1	1	5	0					
14	Число неиспользованных открепительных удостоверений	117	8	6	1	7	5	11	2	3	6	4	1	6	7	5	8	8	5	5	3	0	1	0	10	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	256	15	21	24	30	34	10	5	1	7	9	0	9	1	0	15	6	33	6	3	8	5	5	5	4					
		2.26%	3.30%	2.56%	2.54%	3.84%	2.44%	2.57%	2.63%	0.76%	1.22%	1.61%	0.00%	2.35%	0.51%	0.00%	1.64%	2.68%	4.88%	1.93%	0.71%	1.80%	5.26%	1.25%	1.79%	1.45%					
19	. Малышкин Олег Александрович	382	17	30	48	18	41	4	9	3	20	18	7	25	6	4	27	8	21	8	13	19	3	14	12	7					
		3.37%	3.74%	3.65%	5.08%	2.30%	2.94%	1.03%	4.74%	2.29%	3.50%	3.23%	3.10%	6.53%	3.06%	1.71%	2.95%	3.57%	3.11%	2.57%	3.06%	4.27%	3.16%	3.50%	4.30%	2.55%					
20	. Миронов Сергей Михайлович	91	3	9	7	11	8	2	3	0	6	5	1	2	2	1	5	1	5	3	3	5	1	4	2	2					
		0.80%	0.66%	1.10%	0.74%	1.41%	0.57%	0.51%	1.58%	0.00%	1.05%	0.90%	0.44%	0.52%	1.02%	0.43%	0.55%	0.45%	0.74%	0.96%	0.71%	1.12%	1.05%	1.00%	0.72%	0.73%					
21	. Путин Владимир Владимирович	7771	292	535	633	542	908	262	135	94	388	451	174	246	127	99	693	140	510	164	307	339	64	278	206	184					
		68.64%	64.32%	65.16%	66.98%	69.31%	65.09%	67.35%	71.05%	71.76%	67.83%	80.82%	76.99%	64.23%	64.80%	42.31%	75.66%	62.50%	75.44%	52.73%	72.24%	76.18%	67.37%	69.50%	73.84%	66.91%					
22	. Хакамада Ирина Муцуовна	244	14	19	34	12	44	6	4	2	4	8	1	10	5	5	25	4	13	5	3	7	1	6	2	10					
		2.16%	3.08%	2.31%	3.60%	1.53%	3.15%	1.54%	2.11%	1.53%	0.70%	1.43%	0.44%	2.61%	2.55%	2.14%	2.73%	1.79%	1.92%	1.61%	0.71%	1.57%	1.05%	1.50%	0.72%	3.64%					
23	. Харитонов Николай Михайлович	2286	96	173	168	144	326	88	31	29	130	58	43	78	54	119	129	58	91	120	88	56	19	88	42	58					
		20.19%	21.15%	21.07%	17.78%	18.41%	23.37%	22.62%	16.32%	22.14%	22.73%	10.39%	19.03%	20.37%	27.55%	50.85%	14.08%	25.89%	13.46%	38.59%	20.71%	12.58%	20.00%	22.00%	15.05%	21.09%					
																															
24	Против всех	184	13	26	17	21	29	9	1	0	10	8	0	4	1	3	13	4	0	2	3	3	2	4	7	4					
		1.63%	2.86%	3.17%	1.80%	2.69%	2.08%	2.31%	0.53%	0.00%	1.75%	1.43%	0.00%	1.04%	0.51%	1.28%	1.42%	1.79%	0.00%	0.64%	0.71%	0.67%	2.11%	1.00%	2.51%	1.45%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
